theme3_id,theme_label,target_mode,claim_type_mode,chatgpt_status_at_eval,chatgpt_confidence,selected_claude_cluster_id,bridge_confidence,mapping_status,manual_review,claude_claims_in_window,claude_supported_pct,claude_contradicted_pct,claude_mixed_pct,claude_pending_pct,claude_untestable_pct,claude_primary_status,hybrid_status,agreement_band,goalpost_shift_flag,goalpost_shift_score,first_date,last_date,claim_occurrences
theme3_a258d61593cc,self_driving_robotics,tesla,causal,unresolved,medium,musk_ai_hypocrisy,medium,mapped,no,2,100.0,0.0,0.0,0.0,0.0,supported,lean_supported,medium,no,0,2023-02-13,2023-02-13,1
theme3_e38d5e6599b8,self_driving_robotics,general_ai,descriptive,unresolved,medium,musk_ai_hypocrisy,medium,mapped,no,6,66.7,0.0,0.0,16.7,16.7,supported,lean_supported,medium,no,0,2025-07-15,2025-07-15,1
theme3_90cdb2bb15e4,agents_reliability,llms,descriptive,unresolved,medium,llm_agents_premature,high,mapped,no,3,33.3,0.0,0.0,33.3,33.3,supported,mixed_or_unresolved,medium,no,0,2024-02-10,2024-02-10,1
theme3_1c72faf37cd5,agi_timeline,regulation,normative,untestable,high,agi_not_imminent,high,mapped,no,51,43.1,0.0,15.7,31.4,9.8,supported,mixed_or_unresolved,medium,no,0,2025-05-14,2025-05-14,1
theme3_3c553598e33f,agi_timeline,agi,predictive,unresolved,high,agi_not_imminent,high,mapped,no,46,41.3,0.0,17.4,30.4,10.9,supported,mixed_or_unresolved,medium,yes,4,2023-02-11,2025-12-01,41
theme3_4acd3c028f35,agi_timeline,meta,normative,untestable,high,agi_not_imminent,high,mapped,no,51,43.1,0.0,15.7,31.4,9.8,supported,mixed_or_unresolved,medium,no,0,2025-01-14,2025-01-14,1
theme3_4c6df10ac954,agi_timeline,general_ai,normative,untestable,high,agi_not_imminent,high,mapped,no,51,43.1,0.0,15.7,31.4,9.8,supported,mixed_or_unresolved,medium,no,0,2022-05-29,2022-05-29,1
theme3_4d4764672c3e,agi_timeline,agi,normative,untestable,high,agi_not_imminent,high,mapped,no,43,41.9,0.0,18.6,30.2,9.3,supported,mixed_or_unresolved,medium,yes,3,2023-02-03,2025-11-21,19
theme3_65d13d74dd78,agi_timeline,openai,normative,untestable,high,agi_not_imminent,high,mapped,no,51,43.1,0.0,15.7,31.4,9.8,supported,mixed_or_unresolved,medium,no,0,2024-03-01,2024-03-01,1
theme3_74fdd247ed10,agi_timeline,anthropic,descriptive,unresolved,medium,agi_not_imminent,high,mapped,no,4,25.0,0.0,25.0,25.0,25.0,mixed,mixed_or_unresolved,medium,no,0,2025-03-05,2025-03-05,1
theme3_8e1a0d0af076,agi_timeline,openai,causal,unresolved,medium,agi_not_imminent,high,mapped,no,1,0.0,0.0,0.0,100.0,0.0,contradicted,mixed_or_unresolved,medium,no,0,2023-02-16,2023-02-16,1
theme3_cb87e9ec1415,agi_timeline,agi,causal,unresolved,medium,agi_not_imminent,high,mapped,no,46,39.1,0.0,17.4,32.6,10.9,supported,mixed_or_unresolved,medium,no,0,2023-02-16,2025-12-23,8
theme3_df801cea5953,agi_timeline,openai,predictive,unresolved,high,agi_not_imminent,high,mapped,no,20,30.0,0.0,10.0,45.0,15.0,supported,mixed_or_unresolved,medium,no,1,2024-06-05,2025-08-07,2
theme3_e8ec12058b83,agi_timeline,general_ai,predictive,unresolved,high,agi_not_imminent,high,mapped,no,31,32.3,0.0,16.1,38.7,12.9,supported,mixed_or_unresolved,medium,yes,2,2024-03-10,2025-11-21,7
theme3_f3ab8db480f5,agi_timeline,agi,descriptive,unresolved,medium,agi_not_imminent,high,mapped,no,46,41.3,0.0,17.4,30.4,10.9,supported,mixed_or_unresolved,medium,no,0,2023-02-15,2025-12-01,26
theme3_fb1e8f4c72f2,agi_timeline,general_ai,descriptive,unresolved,high,agi_not_imminent,high,mapped,no,1,0.0,0.0,0.0,100.0,0.0,contradicted,mixed_or_unresolved,medium,no,0,2025-05-22,2025-05-22,1
theme3_fe6828136104,agi_timeline,microsoft,predictive,unresolved,medium,agi_not_imminent,high,mapped,no,51,43.1,0.0,15.7,31.4,9.8,supported,mixed_or_unresolved,medium,no,0,2024-02-12,2024-02-12,1
theme3_023d31465c4a,copyright_ip,microsoft,normative,untestable,high,ai_copyright_infringement,high,mapped,no,72,62.5,2.8,16.7,1.4,16.7,supported,mixed_or_unresolved,medium,no,0,2024-05-29,2024-05-29,1
theme3_e35c4f9a12f0,copyright_ip,general_ai,normative,untestable,high,ai_copyright_infringement,high,mapped,no,2,100.0,0.0,0.0,0.0,0.0,supported,mixed_or_unresolved,medium,no,0,2023-02-18,2023-02-18,1
theme3_0b8a4f26a16f,hallucination_misinformation,google,normative,untestable,high,hallucination_unsolvable,high,mapped,no,120,56.7,5.8,28.3,2.5,6.7,supported,mixed_or_unresolved,medium,no,0,2024-04-06,2024-04-06,1
theme3_2ea498a89294,hallucination_misinformation,general_ai,normative,untestable,high,deepfakes_threaten_democracy,high,mapped,no,72,63.9,0.0,15.3,2.8,18.1,supported,mixed_or_unresolved,medium,no,0,2023-02-15,2026-02-25,4
theme3_847967e079b6,hallucination_misinformation,agi,normative,untestable,high,hallucination_unsolvable,high,mapped,no,68,50.0,7.4,32.4,2.9,7.4,supported,mixed_or_unresolved,medium,no,0,2023-05-01,2025-03-05,2
theme3_8f587a704cfd,hallucination_misinformation,llms,normative,untestable,high,hallucination_unsolvable,high,mapped,no,60,60.0,3.3,26.7,3.3,6.7,supported,mixed_or_unresolved,medium,no,0,2024-03-15,2026-01-06,5
theme3_919f4cd32961,hallucination_misinformation,microsoft,normative,untestable,high,hallucination_unsolvable,high,mapped,no,120,56.7,5.8,28.3,2.5,6.7,supported,mixed_or_unresolved,medium,no,0,2024-04-17,2024-04-17,1
theme3_a49d43352868,hallucination_misinformation,openai,normative,untestable,high,hallucination_unsolvable,high,mapped,no,120,56.7,5.8,28.3,2.5,6.7,supported,mixed_or_unresolved,medium,no,0,2023-03-18,2023-03-18,1
theme3_c20b717d1357,hallucination_misinformation,google,predictive,supported,high,hallucination_unsolvable,high,mapped,no,3,0.0,0.0,100.0,0.0,0.0,mixed,mixed_or_unresolved,medium,no,0,2023-08-13,2023-08-13,1
theme3_c34d7523982e,hallucination_misinformation,ai_safety,normative,untestable,high,hallucination_unsolvable,high,mapped,no,107,57.0,4.7,28.0,2.8,7.5,supported,mixed_or_unresolved,medium,no,0,2023-02-15,2026-01-23,4
theme3_1844084fccbe,market_hype_bubble,llms,descriptive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,10,20.0,10.0,40.0,10.0,20.0,mixed,mixed_or_unresolved,medium,no,1,2025-01-14,2025-08-20,3
theme3_1ebd4ce067d9,market_hype_bubble,llms,normative,untestable,high,genai_bubble_will_burst,high,mapped,no,63,11.1,27.0,27.0,23.8,11.1,contradicted,mixed_or_unresolved,medium,no,0,2023-02-18,2023-02-18,1
theme3_66474188f998,market_hype_bubble,google,predictive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,2,0.0,0.0,0.0,50.0,50.0,contradicted,mixed_or_unresolved,medium,no,0,2025-12-01,2025-12-01,1
theme3_c36d63426d0a,market_hype_bubble,google,descriptive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,2,0.0,0.0,0.0,50.0,50.0,contradicted,mixed_or_unresolved,medium,no,0,2025-12-01,2025-12-01,1
theme3_d623e8944184,market_hype_bubble,general_ai,normative,untestable,high,genai_bubble_will_burst,high,mapped,no,63,11.1,27.0,27.0,23.8,11.1,contradicted,mixed_or_unresolved,medium,no,0,2025-03-09,2025-03-09,1
theme3_1171c23b8fe5,openai_governance,openai,normative,untestable,high,openai_wont_stay_dominant,high,mapped,no,32,31.2,25.0,34.4,6.2,3.1,mixed,mixed_or_unresolved,medium,no,1,2023-02-21,2024-10-24,5
theme3_3d0db8f9faae,openai_governance,general_ai,descriptive,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,87,40.2,12.6,32.2,11.5,3.4,supported,mixed_or_unresolved,medium,no,0,2024-03-06,2024-03-06,1
theme3_855ae3bb7be1,openai_governance,llms,descriptive,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,87,40.2,12.6,32.2,11.5,3.4,supported,mixed_or_unresolved,medium,no,0,2023-08-14,2023-08-14,1
theme3_8d9a23510bf7,openai_governance,general_ai,normative,untestable,high,openai_wont_stay_dominant,high,mapped,no,54,38.9,14.8,35.2,7.4,3.7,supported,mixed_or_unresolved,medium,no,0,2023-12-07,2025-11-18,7
theme3_bcade1f0ce6f,openai_governance,general_ai,predictive,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,87,40.2,12.6,32.2,11.5,3.4,supported,mixed_or_unresolved,medium,no,0,2025-02-11,2025-02-11,1
theme3_e0bf578dbd19,openai_governance,general_ai,causal,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,56,39.3,14.3,35.7,7.1,3.6,supported,mixed_or_unresolved,medium,no,1,2023-11-26,2025-11-18,2
theme3_f122aba746fc,openai_governance,llms,causal,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,87,40.2,12.6,32.2,11.5,3.4,supported,mixed_or_unresolved,medium,no,0,2025-11-18,2025-11-18,1
theme3_051f3b425aa5,reasoning_common_sense,llms,predictive,unresolved,medium,llms_no_real_understanding,high,mapped,no,28,28.6,10.7,32.1,3.6,25.0,mixed,mixed_or_unresolved,medium,no,1,2023-02-15,2025-12-30,12
theme3_0572199dc099,reasoning_common_sense,general_ai,normative,untestable,high,llms_no_real_understanding,high,mapped,no,35,31.4,8.6,34.3,2.9,22.9,mixed,mixed_or_unresolved,medium,yes,3,2023-02-11,2026-02-14,10
theme3_08ea1f8f4bfc,reasoning_common_sense,google,descriptive,unresolved,medium,llms_lack_world_models,high,mapped,no,2,0.0,0.0,100.0,0.0,0.0,mixed,mixed_or_unresolved,medium,no,0,2022-05-29,2022-05-29,1
theme3_0f1476ce91f4,reasoning_common_sense,openai,descriptive,unresolved,medium,llms_no_real_understanding,high,mapped,no,17,41.2,5.9,29.4,5.9,17.6,supported,mixed_or_unresolved,medium,no,0,2024-02-04,2025-07-13,2
theme3_0fb5a9767582,reasoning_common_sense,general_ai,predictive,unresolved,medium,llms_no_real_understanding,high,mapped,no,22,31.8,13.6,36.4,4.5,13.6,mixed,mixed_or_unresolved,medium,no,1,2023-02-16,2025-07-15,14
theme3_16db13f00387,reasoning_common_sense,google,causal,unresolved,medium,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2025-01-01,2025-01-01,1
theme3_33ffa6bb38e1,reasoning_common_sense,llms,descriptive,unresolved,medium,llms_no_real_understanding,high,mapped,no,22,31.8,13.6,36.4,4.5,13.6,mixed,mixed_or_unresolved,medium,no,0,2023-02-16,2025-07-13,5
theme3_4fc5744321e5,reasoning_common_sense,agi,normative,untestable,high,llms_lack_world_models,high,mapped,no,121,30.6,4.1,38.0,1.7,25.6,mixed,mixed_or_unresolved,medium,no,0,2022-05-29,2025-12-17,5
theme3_5bb7238346d7,reasoning_common_sense,agi,predictive,unresolved,medium,llms_no_real_understanding,high,mapped,no,22,31.8,13.6,36.4,4.5,13.6,mixed,mixed_or_unresolved,medium,no,1,2023-02-16,2025-08-09,6
theme3_641e64cb86a3,reasoning_common_sense,anthropic,causal,unresolved,medium,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2026-02-04,2026-02-04,1
theme3_6f07286a29dd,reasoning_common_sense,ai_safety,normative,untestable,high,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2024-08-20,2024-08-20,1
theme3_91ef632a8c27,reasoning_common_sense,tesla,normative,untestable,high,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2023-08-20,2023-08-20,1
theme3_a6b68bc85bcf,reasoning_common_sense,agi,descriptive,unresolved,medium,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2025-07-13,2025-07-13,1
theme3_ab190e6108e8,reasoning_common_sense,general_ai,causal,unresolved,medium,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2026-01-06,2026-01-06,1
theme3_c1d277607edd,reasoning_common_sense,google,normative,untestable,high,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2025-01-05,2025-01-05,1
theme3_c41ab86ca4e1,reasoning_common_sense,regulation,causal,unresolved,medium,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2023-08-28,2023-08-28,1
theme3_d59b750b4574,reasoning_common_sense,openai,normative,untestable,high,llms_no_real_understanding,high,mapped,no,16,37.5,6.2,31.2,6.2,18.8,supported,mixed_or_unresolved,medium,no,0,2024-02-11,2025-07-13,2
theme3_e1bb6980432f,reasoning_common_sense,general_ai,descriptive,unresolved,medium,llms_no_real_understanding,high,mapped,no,30,30.0,10.0,33.3,3.3,23.3,mixed,mixed_or_unresolved,medium,no,0,2023-02-13,2026-01-06,17
theme3_ef9572842556,reasoning_common_sense,llms,normative,untestable,high,llms_no_real_understanding,high,mapped,no,18,27.8,16.7,38.9,5.6,11.1,mixed,mixed_or_unresolved,medium,no,0,2023-02-15,2025-04-17,2
theme3_f018463815f0,reasoning_common_sense,microsoft,normative,untestable,high,llms_no_real_understanding,high,mapped,no,40,35.0,7.5,30.0,2.5,25.0,supported,mixed_or_unresolved,medium,no,0,2023-09-22,2023-09-22,1
theme3_1035472658e9,regulation_policy,regulation,normative,untestable,high,ai_needs_regulation,high,mapped,no,164,31.1,1.2,15.9,3.7,48.2,supported,mixed_or_unresolved,medium,no,0,2022-05-29,2026-02-26,16
theme3_10988792d03a,regulation_policy,openai,normative,untestable,high,industry_self_regulation_fails,high,mapped,yes,6,33.3,0.0,50.0,0.0,16.7,mixed,mixed_or_unresolved,medium,no,1,2023-10-17,2024-04-08,2
theme3_174bb7f1a1a1,regulation_policy,regulation,causal,mixed,medium,industry_self_regulation_fails,high,mapped,yes,31,45.2,0.0,25.8,6.5,22.6,supported,mixed_or_unresolved,medium,no,0,2024-06-28,2024-06-28,1
theme3_374373bb7ddc,regulation_policy,general_ai,normative,untestable,high,industry_self_regulation_fails,high,mapped,yes,20,45.0,0.0,30.0,5.0,20.0,supported,mixed_or_unresolved,medium,no,0,2023-09-21,2025-07-13,3
theme3_4092af813ca4,regulation_policy,llms,normative,untestable,high,industry_self_regulation_fails,high,mapped,yes,2,50.0,0.0,0.0,50.0,0.0,supported,mixed_or_unresolved,medium,no,0,2025-04-03,2025-12-13,2
theme3_419123be14a2,regulation_policy,general_ai,descriptive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,31,45.2,0.0,25.8,6.5,22.6,supported,mixed_or_unresolved,medium,no,0,2023-09-21,2023-09-21,1
theme3_4d4c7585d973,regulation_policy,openai,predictive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,10,30.0,0.0,40.0,0.0,30.0,mixed,mixed_or_unresolved,high,no,0,2024-02-06,2024-08-23,2
theme3_5e564709c39c,regulation_policy,openai,descriptive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,31,45.2,0.0,25.8,6.5,22.6,supported,mixed_or_unresolved,medium,no,0,2025-05-22,2025-05-22,1
theme3_68780a9144b2,regulation_policy,llms,predictive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,25,44.0,0.0,24.0,8.0,24.0,supported,mixed_or_unresolved,medium,no,0,2023-03-12,2025-11-27,5
theme3_7e94375ad3bc,regulation_policy,general_ai,predictive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,14,42.9,0.0,28.6,7.1,21.4,supported,mixed_or_unresolved,medium,yes,2,2024-02-21,2025-04-17,3
theme3_8fe53b7d86e3,regulation_policy,regulation,predictive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,27,44.4,0.0,25.9,7.4,22.2,supported,mixed_or_unresolved,medium,no,0,2023-02-26,2026-02-01,8
theme3_9f755cccecc5,regulation_policy,tesla,normative,untestable,high,industry_self_regulation_fails,high,mapped,yes,31,45.2,0.0,25.8,6.5,22.6,supported,mixed_or_unresolved,medium,no,0,2024-04-09,2024-04-09,1
theme3_b0820e15e283,regulation_policy,regulation,descriptive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,19,42.1,0.0,26.3,10.5,21.1,supported,mixed_or_unresolved,medium,no,0,2023-11-20,2025-12-13,6
theme3_cefbd7e78334,regulation_policy,llms,descriptive,mixed,medium,industry_self_regulation_fails,high,mapped,yes,23,43.5,0.0,26.1,8.7,21.7,supported,mixed_or_unresolved,medium,no,0,2023-08-13,2026-01-06,3
theme3_1153785f29bf,safety_alignment,ai_safety,predictive,mixed,medium,ai_child_safety,high,mapped,no,8,50.0,0.0,25.0,0.0,25.0,supported,mixed_or_unresolved,medium,no,0,2023-02-16,2026-02-23,11
theme3_2a82b0d65531,safety_alignment,general_ai,predictive,mixed,medium,ai_safety_requires_understanding,high,mapped,no,7,57.1,14.3,14.3,0.0,14.3,supported,mixed_or_unresolved,medium,no,0,2023-10-26,2025-05-22,3
theme3_331c20da7676,safety_alignment,regulation,normative,untestable,high,ai_safety_requires_understanding,high,mapped,no,8,50.0,12.5,0.0,0.0,37.5,supported,mixed_or_unresolved,medium,no,0,2023-02-26,2025-05-14,7
theme3_35dcaa96810a,safety_alignment,openai,predictive,mixed,medium,ai_safety_requires_understanding,high,mapped,no,2,100.0,0.0,0.0,0.0,0.0,supported,mixed_or_unresolved,medium,no,0,2023-11-19,2024-08-23,4
theme3_3c58fbaf4439,safety_alignment,openai,normative,untestable,high,ai_safety_requires_understanding,high,mapped,no,13,30.8,7.7,15.4,7.7,38.5,supported,mixed_or_unresolved,medium,no,0,2024-02-04,2024-02-04,1
theme3_45dd29a88dd4,safety_alignment,ai_safety,descriptive,mixed,medium,ai_existential_risk_real_but_misframed,high,mapped,no,16,43.8,0.0,0.0,6.2,50.0,supported,mixed_or_unresolved,medium,no,0,2023-04-02,2026-02-13,15
theme3_4cd923f75a30,safety_alignment,regulation,predictive,mixed,medium,ai_safety_requires_understanding,high,mapped,no,13,30.8,7.7,15.4,7.7,38.5,supported,mixed_or_unresolved,medium,no,0,2025-01-01,2025-01-01,1
theme3_5050e9c2cf3b,safety_alignment,regulation,descriptive,mixed,medium,ai_existential_risk_real_but_misframed,high,mapped,no,14,50.0,0.0,0.0,0.0,50.0,supported,mixed_or_unresolved,medium,no,0,2023-06-08,2026-02-01,5
theme3_696ea994cd91,safety_alignment,ai_safety,causal,mixed,medium,ai_safety_requires_understanding,high,mapped,no,9,44.4,11.1,11.1,0.0,33.3,supported,mixed_or_unresolved,medium,no,0,2023-08-27,2025-06-23,9
theme3_8cc71dd645bf,safety_alignment,microsoft,descriptive,mixed,medium,ai_safety_requires_understanding,high,mapped,no,13,30.8,7.7,15.4,7.7,38.5,supported,mixed_or_unresolved,medium,no,0,2023-02-26,2023-02-26,1
theme3_8e4a7ba67b7e,safety_alignment,llms,causal,mixed,medium,ai_safety_requires_understanding,high,mapped,no,9,44.4,11.1,11.1,0.0,33.3,supported,mixed_or_unresolved,medium,no,1,2023-04-04,2025-06-23,2
theme3_8fabf966d580,safety_alignment,regulation,causal,mixed,medium,ai_safety_requires_understanding,high,mapped,no,13,30.8,7.7,15.4,7.7,38.5,supported,mixed_or_unresolved,medium,no,0,2025-05-16,2025-05-16,1
theme3_9b38ae8cd486,safety_alignment,ai_safety,normative,untestable,high,ai_safety_requires_understanding,high,mapped,no,9,44.4,11.1,11.1,11.1,22.2,supported,mixed_or_unresolved,medium,no,0,2023-10-26,2025-07-15,9
theme3_aa23f30fb332,safety_alignment,llms,predictive,mixed,medium,ai_child_safety,high,mapped,no,7,42.9,0.0,28.6,0.0,28.6,supported,mixed_or_unresolved,medium,no,1,2023-02-15,2025-12-09,7
