cluster_id,canonical_statement,claim_count,date_first,date_last,span_days,pct_supported,pct_mixed,pct_contradicted,pct_untestable,pct_pending,specificity_high_pct,falsifiability_yes_pct,revision_notes
llms_cannot_reason_reliably,"LLMs cannot perform genuine, reliable reasoning; they approximate it through statistical pattern matching that breaks on novel problems.",64,2023-02-11,2026-02-17,1102,40.6,32.8,3.1,20.3,3.1,6.2,6.2,"Consistent core thesis with minor adaptations to new evidence. 2023: 'LLMs are inherently weak at reasoning.' After o1/o3 (2024): acknowledged improvements but maintained 'chain-of-thought reasoning is brittle beyond training distributions.' 2025-2026: 'LLMs lack persistent goals, struggle with long-horizon reasoning.' Language shifted from 'cannot reason at all' to 'cannot reason reliably' as models showed genuine but inconsistent improvement."
genai_bubble_will_burst,The generative AI industry is a financial bubble with massive spending relative to revenue that will eventually burst.,63,2023-02-12,2026-02-17,1101,11.1,27.0,27.0,11.1,23.8,20.6,14.3,"Escalating certainty. Early (2023): framed as possibility ('potential AI winter'). Mid (2024): 'spending $50B while generating only $3B in revenue is not sustainable.' Late (2025-2026): 'greatest capital destruction in history,' '$800B revenue shortfall by 2030,' actively predicting government bailout scenarios. The magnitude of predicted damage grew with each iteration."
gpt4_overhyped,"GPT-4 was overhyped; it represents incremental improvement, not a paradigm shift, with the same fundamental limitations.",61,2023-02-11,2025-10-27,989,50.8,32.8,16.4,0.0,0.0,60.7,27.9,Thesis set early and maintained. 2023: 'GPT-4 was overhyped' with detailed documentation of failures. Persistent assertion through 2025 that GPT-4 had 'same fundamental limitations as prior models' despite industry claims of breakthrough.
openai_untrustworthy,"OpenAI has become untrustworthy, prioritizing profit over safety, breaking promises, and misleading the public.",56,2023-03-25,2026-02-27,1070,64.3,17.9,0.0,16.1,1.8,28.6,17.9,"Thesis strengthened dramatically over time. Early (2023): general concerns about safety culture. November 2023: Altman firing provided major evidence. 2024-2025: documented safety team attrition (50%+ left), NDA controversies, board drama vindication, for-profit conversion criticism. Late 2025-2026: 'vendor financing dressed up as venture capital,' 'OpenAI's finances don't make sense.' Each new controversy reinforced the original thesis."
musk_ai_hypocrisy,"Elon Musk is hypocritical on AI safety; his ventures (xAI, DOGE, Tesla) demonstrate reckless deployment and pursuit of power.",55,2023-02-11,2026-02-13,1098,65.5,14.5,3.6,10.9,5.5,40.0,23.6,"Broadened scope over time. 2023: focused on Musk's contradictory AI safety positions. 2024: expanded to include DOGE and political power. 2025-2026: Tesla Optimus dismissed as 'mostly demos,' xAI valuations called 'irrational.' The critique shifted from 'hypocritical on safety' to 'dangerous wielder of power.'"
agi_not_imminent,AGI is not imminent and claims of near-term AGI by AI labs are unfounded hype.,51,2023-02-15,2026-02-23,1104,43.1,15.7,0.0,9.8,31.4,17.6,19.6,Consistent thesis from 2023-2026 but framing shifts: early claims (2023) stated 'LLMs are not close to AGI' generally; by 2025 shifted to specific rebuttals of named timelines (Amodei pushed from 2025-2026 to 2026-2027; Marcus bets 10:1 against 8/10 AGI tasks by 2027). Language evolved from 'not close' to 'almost zero chance within 2-3 years.' Concedes AGI is 'not logically impossible' and 'will be achieved someday' but 'not on the imminent timeline industry claims.'
need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,46,2022-05-29,2025-12-17,1298,32.6,26.1,0.0,26.1,15.2,23.9,19.6,Remarkably consistent thesis across entire period. 2022: 'neural networks have not demonstrated ability to reliably create and manipulate symbols.' 2025: 'neurosymbolic AI will become much more prominent' and 'AlphaProof/AlphaGeometry prove symbolic integration works.' Claimed growing vindication as DeepMind's hybrid systems outperformed pure LLMs on formal reasoning.
o3_not_breakthrough,OpenAI's o1/o3 reasoning models are not the breakthrough claimed; they still exhibit fundamental LLM limitations.,45,2024-02-29,2026-02-10,712,64.4,28.9,0.0,4.4,2.2,53.3,37.8,"Emerged with o1 announcement in late 2024, peak activity after o3. Consistent thesis: inference-time scaling is expensive, unreliable, and subject to same diminishing returns as training-time scaling. 'Chain-of-thought reasoning is brittle capability that fails when pushed beyond training distributions.'"
llm_reliability_fundamental,"LLM unreliability is a fundamental architectural issue, not a bug fixable with more training or RLHF.",43,2023-02-11,2026-02-23,1108,48.8,32.6,4.7,11.6,2.3,9.3,9.3,Asserted 43 times across 37 distinct dates from 2023-02-11 to 2026-02-23
ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",41,2023-01-31,2026-02-17,1113,58.5,17.1,0.0,19.5,4.9,17.1,14.6,Asserted 41 times across 33 distinct dates from 2023-01-31 to 2026-02-17
llms_no_real_understanding,LLMs are fundamentally statistical pattern matchers / next-word predictors without genuine understanding.,40,2023-01-31,2026-02-25,1121,35.0,30.0,7.5,25.0,2.5,0.0,0.0,Asserted 40 times across 26 distinct dates from 2023-01-31 to 2026-02-25
llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",40,2022-05-29,2026-02-17,1360,57.5,15.0,5.0,10.0,12.5,15.0,15.0,Asserted 40 times across 23 distinct dates from 2022-05-29 to 2026-02-17
ai_academic_integrity,"AI threatens scientific/academic integrity through plagiarism, fake research, and information pollution.",40,2022-05-29,2026-02-23,1366,52.5,15.0,0.0,22.5,10.0,12.5,12.5,Asserted 40 times across 28 distinct dates from 2022-05-29 to 2026-02-23
ai_coding_overhyped,AI coding tools produce unreliable code with security vulnerabilities; productivity gains are exaggerated.,38,2023-08-14,2026-02-11,912,50.0,26.3,5.3,5.3,13.2,26.3,23.7,Shifted from general skepticism to specific documentation. 2023: 'AI code could lead to massive security incident.' 2025: documented 'vibe coding usage declining after initial steep rise' and 'projects typically start well but end badly.' Gained specificity as real-world deployment data became available.
llm_agents_premature,LLM-based autonomous agents are unreliable and not ready for real-world deployment.,35,2023-02-16,2026-02-03,1083,62.9,8.6,0.0,14.3,14.3,8.6,8.6,Asserted 35 times across 17 distinct dates from 2023-02-16 to 2026-02-03
sora_video_unreliable,AI video generation (especially Sora) cannot simulate real physics and produces physically impossible outputs.,34,2023-02-13,2025-10-22,982,82.4,8.8,0.0,2.9,5.9,32.4,14.7,Asserted 34 times across 11 distinct dates from 2023-02-13 to 2025-10-22
ai_military_dangerous,Deploying unreliable AI in military applications and lethal autonomous weapons is extremely dangerous.,33,2023-08-27,2026-03-01,917,27.3,18.2,0.0,42.4,12.1,15.2,12.1,Asserted 33 times across 17 distinct dates from 2023-08-27 to 2026-03-01
china_ai_competition,"The US-China AI competition is consequential, and current US policy may be counterproductive.",32,2023-04-09,2026-01-06,1003,37.5,25.0,3.1,15.6,18.8,12.5,12.5,Asserted 32 times across 19 distinct dates from 2023-04-09 to 2026-01-06
industry_self_regulation_fails,AI companies cannot be trusted to self-regulate; they externalize costs while capturing profits.,31,2023-02-16,2026-02-12,1092,45.2,25.8,0.0,22.6,6.5,6.5,0.0,Asserted 31 times across 28 distinct dates from 2023-02-16 to 2026-02-12
ai_needs_new_paradigm,"Fundamentally new AI approaches are needed because the current deep learning/LLM paradigm has inherent, unfixable limitations.",28,2023-02-11,2026-02-04,1089,17.9,28.6,0.0,35.7,17.9,3.6,7.1,Asserted 28 times across 23 distinct dates from 2023-02-11 to 2026-02-04
ai_worsens_inequality,"AI concentrates power/wealth while harming marginalized communities through bias, discrimination, and denial of services.",25,2023-02-15,2026-02-17,1098,48.0,20.0,0.0,24.0,8.0,4.0,4.0,Asserted 25 times across 21 distinct dates from 2023-02-15 to 2026-02-17
trump_ai_policy_harmful,The Trump administration's AI deregulation and industry capture will harm citizens and benefit only AI companies.,22,2023-02-20,2026-02-27,1103,22.7,18.2,4.5,13.6,40.9,9.1,13.6,Asserted 22 times across 17 distinct dates from 2023-02-20 to 2026-02-27
generalization_failure,"LLMs fail to generalize beyond their training distribution, breaking on novel variations of familiar problems.",22,2023-02-11,2025-12-01,1024,50.0,22.7,4.5,9.1,13.6,13.6,13.6,Asserted 22 times across 17 distinct dates from 2023-02-11 to 2025-12-01
ai_progress_not_linear,AI progress is not linear or exponential; easy gains come first and fundamental problems remain unsolved.,21,2023-11-26,2026-02-02,799,28.6,42.9,19.0,9.5,0.0,4.8,4.8,Asserted 21 times across 18 distinct dates from 2023-11-26 to 2026-02-02
ai_existential_risk_real_but_misframed,"AI poses real risks, but focus on far-future superintelligence distracts from immediate concrete dangers.",20,2023-03-11,2026-02-25,1082,40.0,0.0,0.0,55.0,5.0,0.0,0.0,Asserted 20 times across 17 distinct dates from 2023-03-11 to 2026-02-25
ai_image_gen_unreliable,"AI image generation systems fail at compositional understanding, spatial relationships, and faithful prompt adherence.",17,2023-02-11,2025-08-27,928,41.2,41.2,5.9,11.8,0.0,11.8,11.8,Asserted 17 times across 11 distinct dates from 2023-02-11 to 2025-08-27
ai_job_disruption_overhyped,Claims that AI will massively replace human jobs are premature; AI augments rather than replaces most workers.,17,2023-02-12,2026-02-23,1107,52.9,17.6,0.0,11.8,17.6,29.4,29.4,Asserted 17 times across 16 distinct dates from 2023-02-12 to 2026-02-23
altman_overpromises,"Sam Altman systematically overpromises and underdelivers on AI capabilities, timelines, and ethical commitments.",15,2023-12-07,2026-02-04,790,53.3,26.7,0.0,20.0,0.0,33.3,26.7,"Thesis hardened from skepticism to documented pattern. Early: questioned specific timeline claims. Late 2025-2026: 'Sam Altman publicly denied seeking government loan guarantees while OpenAI had explicitly requested them,' documenting specific dishonesty rather than just overoptimism."
nvidia_vulnerable,Nvidia's dominance and valuation are vulnerable to efficiency gains and potential industry downturn.,14,2024-11-09,2026-02-05,453,35.7,28.6,21.4,7.1,7.1,35.7,28.6,Asserted 14 times across 11 distinct dates from 2024-11-09 to 2026-02-05
llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,14,2022-05-29,2025-08-27,1186,28.6,57.1,14.3,0.0,0.0,7.1,0.0,Asserted 14 times across 9 distinct dates from 2022-05-29 to 2025-08-27
ai_safety_requires_understanding,We cannot make AI safe without understanding how it works; interpretability and formal verification are prerequisites.,13,2023-02-12,2025-10-16,977,30.8,15.4,7.7,38.5,7.7,0.0,0.0,Asserted 13 times across 13 distinct dates from 2023-02-12 to 2025-10-16
lecun_criticism,"Yann LeCun's positions (anti-symbolic, dismissive of risks) have been counterproductive for the AI field.",12,2023-02-04,2026-01-06,1067,8.3,33.3,16.7,25.0,16.7,8.3,8.3,Asserted 12 times across 6 distinct dates from 2023-02-04 to 2026-01-06
ai_media_coverage_uncritical,"Media coverage of AI is overwhelmingly uncritical, amplifying industry hype without adequate scrutiny.",12,2023-04-17,2026-02-12,1032,50.0,25.0,0.0,25.0,0.0,25.0,16.7,Asserted 12 times across 12 distinct dates from 2023-04-17 to 2026-02-12
ai_child_safety,AI systems pose particular dangers to children and teens that remain unaddressed.,11,2022-05-29,2026-02-23,1366,54.5,27.3,0.0,18.2,0.0,9.1,9.1,Asserted 11 times across 11 distinct dates from 2022-05-29 to 2026-02-23
ai_enviro_costs_ignored,"The environmental costs of AI (energy, water, carbon) are substantial, underreported, and growing unsustainably.",11,2023-08-17,2026-02-23,921,27.3,36.4,0.0,18.2,18.2,0.0,0.0,Asserted 11 times across 9 distinct dates from 2023-08-17 to 2026-02-23
ai_surveillance_authoritarian,AI-powered surveillance is inherently authoritarian and its expansion threatens civil liberties.,10,2023-08-28,2026-02-26,913,30.0,30.0,0.0,30.0,10.0,0.0,0.0,Asserted 10 times across 9 distinct dates from 2023-08-28 to 2026-02-26
hinton_criticism,Geoffrey Hinton's late pivot to AI risk advocacy is complicated by decades of dismissing symbolic AI and safety.,9,2023-05-01,2025-08-23,845,66.7,0.0,0.0,33.3,0.0,44.4,44.4,Asserted 9 times across 9 distinct dates from 2023-05-01 to 2025-08-23
agi_definition_diluted,AI labs are diluting the definition of AGI to declare premature victory and justify their business models.,9,2023-08-20,2026-02-17,912,33.3,0.0,0.0,55.6,11.1,11.1,0.0,Asserted 9 times across 6 distinct dates from 2023-08-20 to 2026-02-17
ai_hype_cycle_parallels,"The current AI hype cycle follows historical patterns (dot-com, crypto, AI winters) and will end similarly.",9,2023-02-15,2026-02-23,1104,11.1,33.3,0.0,22.2,33.3,11.1,11.1,Asserted 9 times across 9 distinct dates from 2023-02-15 to 2026-02-23
llm_security_vulnerabilities,"LLMs have fundamental security vulnerabilities (prompt injection, jailbreaking) that cannot be fully patched.",7,2023-02-16,2025-01-03,687,85.7,0.0,0.0,0.0,14.3,28.6,14.3,Asserted 7 times across 6 distinct dates from 2023-02-16 to 2025-01-03
llms_lack_self_correction,"LLMs cannot reliably verify or self-correct their outputs, a fundamental cognitive limitation.",7,2023-02-16,2026-02-11,1091,57.1,28.6,0.0,14.3,0.0,0.0,0.0,Asserted 7 times across 7 distinct dates from 2023-02-16 to 2026-02-11
llms_cannot_plan,"LLMs cannot perform genuine multi-step planning, fundamentally limited in lookahead and strategy tasks.",6,2023-04-09,2025-08-23,867,50.0,16.7,16.7,0.0,16.7,16.7,16.7,Asserted 6 times across 5 distinct dates from 2023-04-09 to 2025-08-23
ai_scientists_overstate,Leading AI researchers and labs systematically overstate capabilities and make misleading claims.,3,2024-06-22,2024-10-30,130,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Asserted 3 times across 3 distinct dates from 2024-06-22 to 2024-10-30
ai_pause_or_slowdown,AI development should be paused or slowed until safety and governance frameworks are in place.,1,2023-03-29,2023-03-29,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,
