id,claim_date,slug,claim,type,target,cluster_id,canonical_statement,specificity,falsifiability,status_at_eval,horizon_type,horizon_value
claim_0053,2023-02-11,noam-chomsky-and-gpt-3,"LLM accuracy on tasks like arithmetic depends heavily on whether specific test items resemble training examples, rather than reflecting abstract understanding.",descriptive,LLM generalization,llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,med,partial,supported,none,
claim_0054,2023-02-11,noam-chomsky-and-gpt-3,LLMs lack genuine abstraction and their comprehension is bound to the particulars of their training data.,descriptive,LLMs,ai_copyright_infringement,Generative AI is built on massive copyright infringement and the industry cannot solve the attribution problem.,low,partial,mixed,none,
claim_0055,2023-02-11,noam-chomsky-and-gpt-3,"The failures of LLMs as blank-slate learners are evidence against empiricist approaches to AI and in favor of Kantian systems with built-in representations of space, time, and causality.",descriptive,AI architecture philosophy,llms_no_real_understanding,LLMs are fundamentally statistical pattern matchers / next-word predictors without genuine understanding.,low,no,untestable,none,
claim_0056,2023-02-11,noam-chomsky-and-gpt-3,Even the largest neural networks with hundreds of billions of parameters can only achieve about 80% accuracy on simple 3-digit math.,descriptive,LLM arithmetic,generalization_failure,"LLMs fail to generalize beyond their training distribution, breaking on novel variations of familiar problems.",high,yes,contradicted,none,
claim_0057,2023-02-11,nonsense-on-stilts,LaMDA and GPT-3 are not remotely intelligent.,descriptive,LaMDA and GPT-3,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0058,2023-02-11,nonsense-on-stilts,LLMs like LaMDA only match patterns from statistical databases of human language rather than exhibiting genuine intelligence.,descriptive,LLMs,llms_no_real_understanding,LLMs are fundamentally statistical pattern matchers / next-word predictors without genuine understanding.,low,partial,mixed,none,
claim_0059,2023-02-11,nonsense-on-stilts,LaMDA is not sentient and has no self-awareness.,descriptive,LaMDA,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0060,2023-02-11,nonsense-on-stilts,LLMs like LaMDA may not play any important role in the future of AI.,predictive,LLMs,miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,med,partial,contradicted,none,
claim_0061,2023-02-11,nonsense-on-stilts,Passing the Turing Test by fooling people is not equivalent to building genuinely intelligent programs.,descriptive,Turing Test,ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",low,no,untestable,none,
claim_0062,2023-02-11,nonsense-on-stilts,No AI system that anyone knows how to build as of 2022 is sentient.,descriptive,AI sentience,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0063,2023-02-11,three-ideas-from-linguistics-that,LLM outputs lack any connection to the external world (reference).,descriptive,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,contradicted,none,
claim_0064,2023-02-11,three-ideas-from-linguistics-that,The LLM field will hit a dead end unless it integrates cognitive models and reference into its systems.,predictive,LLM research direction,ai_needs_new_paradigm,"Fundamentally new AI approaches are needed because the current deep learning/LLM paradigm has inherent, unfixable limitations.",low,no,mixed,none,
claim_0065,2023-02-11,three-ideas-from-linguistics-that,LLM misinformation problems will remain unsolved without integration of cognitive models and reference.,predictive,LLM misinformation,deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",low,partial,mixed,none,
claim_0066,2023-02-11,three-ideas-from-linguistics-that,Current AI systems do not build or use cognitive models of the world in any meaningful way.,descriptive,current AI systems,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,mixed,none,
claim_0067,2023-02-11,three-ideas-from-linguistics-that,"LLMs sidestep the fundamental linguistic issues of reference, cognitive models, and compositionality, and this will prove to be their downfall.",causal,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,contradicted,none,
claim_0068,2023-02-11,three-ideas-from-linguistics-that,LLMs have no grasp whatsoever on truth.,descriptive,LLMs,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,low,partial,contradicted,none,
claim_0069,2023-02-11,three-ideas-from-linguistics-that,Current LLM approaches are implicitly behaviorist and face the same challenges that caused behaviorism to fail as a theory of psychology.,descriptive,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,no,untestable,none,
claim_0070,2023-02-11,three-ideas-from-linguistics-that,"Progress in AI language understanding will require a new approach to machine learning focused on mapping hierarchically structured language onto meanings, rather than predicting word sequences.",predictive,AI language understanding,ai_needs_regulation,AI systems need robust government regulation because industry self-regulation is insufficient to protect the public.,low,no,mixed,none,
claim_0071,2023-02-11,what-does-it-mean-when-an-ai-fails,Improvements from GPT-2 to GPT-3 have not remedied the underlying lack of cognitive models of the world.,descriptive,GPT scaling,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0072,2023-02-11,what-does-it-mean-when-an-ai-fails,"GPT-4, if built on the same basic architecture as GPT-3 but larger, will still exhibit failures in physical, temporal, and causal reasoning that can be easily found.",predictive,GPT-4,gpt4_overhyped,"GPT-4 was overhyped; it represents incremental improvement, not a paradigm shift, with the same fundamental limitations.",high,yes,supported,none,
claim_0073,2023-02-11,what-does-it-mean-when-an-ai-fails,Transformer architecture alone cannot produce a genuine model of how the world works.,descriptive,Transformer architecture,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,mixed,none,
claim_0074,2023-02-11,what-does-it-mean-when-an-ai-fails,LLMs are inherently weak at understanding the physical and psychological world unless hybridized with symbolic systems.,descriptive,LLMs,llms_cannot_reason_reliably,"LLMs cannot perform genuine, reliable reasoning; they approximate it through statistical pattern matching that breaks on novel problems.",med,partial,mixed,none,
claim_0075,2023-02-11,what-does-it-mean-when-an-ai-fails,LLMs like GPT-3 still have a poor grasp of reality despite massive parameter counts and training data.,descriptive,GPT-3,ai_copyright_infringement,Generative AI is built on massive copyright infringement and the industry cannot solve the attribution problem.,med,partial,supported,none,
claim_0076,2023-02-11,what-does-it-mean-when-an-ai-fails,"GPT-3 is fluent but unreliable, unable to reliably interpret the world despite 175 billion parameters.",descriptive,GPT-3,llm_reliability_fundamental,"LLM unreliability is a fundamental architectural issue, not a bug fixable with more training or RLHF.",high,partial,supported,none,
claim_0077,2023-02-11,will-tesla-ever-solve-full-self-driving,Tesla's financial viability depends on solving full self-driving. Marcus endorses Musk's own admission.,descriptive,Tesla,musk_ai_hypocrisy,"Elon Musk is hypocritical on AI safety; his ventures (xAI, DOGE, Tesla) demonstrate reckless deployment and pursuit of power.",high,partial,mixed,none,
claim_0078,2023-02-11,will-tesla-ever-solve-full-self-driving,Neither Tesla nor Waymo is close to producing a fully autonomous vehicle that works everywhere in all conditions.,descriptive,autonomous vehicles,musk_ai_hypocrisy,"Elon Musk is hypocritical on AI safety; his ventures (xAI, DOGE, Tesla) demonstrate reckless deployment and pursuit of power.",med,partial,mixed,none,
claim_0079,2023-02-11,will-tesla-ever-solve-full-self-driving,The core unsolved problem for self-driving is handling outlier situations that are obvious to humans but not in any training database.,descriptive,autonomous vehicles,ai_copyright_infringement,Generative AI is built on massive copyright infringement and the industry cannot solve the attribution problem.,med,partial,supported,none,
claim_0080,2023-02-11,will-tesla-ever-solve-full-self-driving,Full self-driving will remain a pipe dream until someone solves the outlier problem of handling unusual circumstances.,predictive,autonomous vehicles,llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",med,partial,mixed,none,
claim_0081,2023-02-11,will-tesla-ever-solve-full-self-driving,Current Level 2 self-driving operates under easy conditions and is nowhere close to handling real-world complexity.,descriptive,Level 2 self-driving,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0082,2023-02-11,will-tesla-ever-solve-full-self-driving,Fully autonomous Level 5 driverless cars will not arrive any time soon.,predictive,Level 5 autonomous vehicles,llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",med,partial,supported,none,
claim_0083,2023-02-11,will-tesla-ever-solve-full-self-driving,"Tesla's product naming ('Autopilot', 'Full Self Driving') misleads customers into thinking the cars are more capable than they are, potentially causing accidents and deaths.",causal,Tesla marketing,musk_ai_hypocrisy,"Elon Musk is hypocritical on AI safety; his ventures (xAI, DOGE, Tesla) demonstrate reckless deployment and pursuit of power.",high,partial,supported,none,
claim_0084,2023-02-12,learning-language-is-harder-than,Current AI systems that rely on statistical pattern matching without grammar rules are not close to understanding human language.,descriptive,LLMs and language understanding,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,mixed,none,
claim_0085,2023-02-12,learning-language-is-harder-than,No convincing account exists of how human children uniquely learn language.,descriptive,language acquisition,ai_child_safety,AI systems pose particular dangers to children and teens that remain unaddressed.,low,no,supported,none,
claim_0086,2023-02-12,learning-language-is-harder-than,LLMs like GPT-3 are stochastic imitations of their input with very little genuine coherence or comprehension.,descriptive,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0087,2023-02-12,learning-language-is-harder-than,All normal human children acquire language in the sense of going from sentences to meaning and back; no existing machine does this.,descriptive,AI language acquisition,miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,med,partial,mixed,none,
claim_0088,2023-02-12,what-google-should-really-be-worried,"LLMs will be used to mass-produce fake blogs, reviews, and websites to manipulate search engine rankings at industrial scale.",predictive,LLM misuse for SEO manipulation,ai_academic_integrity,"AI threatens scientific/academic integrity through plagiarism, fake research, and information pollution.",med,partial,supported,none,
claim_0089,2023-02-12,what-google-should-really-be-worried,Automatically-generated fake websites powered by LLMs may become the single biggest threat Google has ever faced.,predictive,Google search integrity,ai_job_disruption_overhyped,Claims that AI will massively replace human jobs are premature; AI augments rather than replaces most workers.,med,partial,mixed,none,
claim_0090,2023-02-12,what-google-should-really-be-worried,"If LLM-generated misinformation overwhelms search results, the value of web search could collapse.",predictive,web search,genai_bubble_will_burst,The generative AI industry is a financial bubble with massive spending relative to revenue that will eventually burst.,med,partial,mixed,none,
claim_0091,2023-02-12,whats-wrong-with-googles-new-robot,LLM unreliability becomes even more dangerous when embedded in physical robots that can cause real-world harm.,causal,LLM-powered robots,deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",med,partial,supported,none,
claim_0092,2023-02-12,whats-wrong-with-googles-new-robot,Embedding unreliable LLMs in robots that misunderstand instructions could cause major physical damage.,causal,LLM-powered robots,deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",med,partial,pending,none,
claim_0093,2023-02-12,whats-wrong-with-googles-new-robot,The AI field currently has no compelling solution to the alignment problems in LLMs.,descriptive,AI alignment,ai_safety_requires_understanding,We cannot make AI safe without understanding how it works; interpretability and formal verification are prerequisites.,low,partial,mixed,none,
claim_0094,2023-02-12,whats-wrong-with-googles-new-robot,Building robots on top of LLMs that lack world comprehension cannot succeed.,predictive,LLM-powered robots,deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",med,partial,contradicted,none,
claim_0095,2023-02-12,whats-wrong-with-googles-new-robot,There is typically a vast gulf between AI demos and real-world reliable products.,descriptive,AI demos,ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",low,no,mixed,none,
claim_0096,2023-02-12,whats-wrong-with-googles-new-robot,More data alone is unlikely to solve the core problems of robotics and autonomous driving.,predictive,data-driven robotics,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",low,partial,supported,none,
claim_0097,2023-02-12,whats-wrong-with-googles-new-robot,LLM-powered robots face the same edge-case problems that have plagued self-driving cars.,descriptive,LLM-powered robots,deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",med,partial,supported,none,
claim_0098,2023-02-12,whats-wrong-with-googles-new-robot,Reliable general-purpose household robots will not materialize in the next several years.,predictive,household robots,llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",med,partial,supported,relative,several years
claim_0099,2023-02-13,5-myths-about-learning-and-innateness,"Humans are innately endowed with many distinct learning mechanisms, each with different properties.",descriptive,human cognition,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,untestable,none,
claim_0100,2023-02-13,5-myths-about-learning-and-innateness,The variety of innate learning mechanisms is likely central to what makes human cognition unique.,descriptive,human cognition,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,untestable,none,
