post_id,claim_date,slug,reviewer,reviewed_at_utc,review_status,claims_extracted_count,evidence
post_0016,2023-02-12,learning-language-is-harder-than,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0017,2023-02-12,what-google-should-really-be-worried,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0018,2023-02-12,whats-wrong-with-googles-new-robot,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0019,2023-02-13,5-myths-about-learning-and-innateness,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0020,2023-02-13,deepfakes-versus-deep-understanding,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0021,2023-02-13,did-googleai-just-snooker-one-of,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0022,2023-02-13,form-function-and-the-giant-gulf,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0023,2023-02-13,how-new-are-yann-lecuns-new-ideas,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0024,2023-02-13,sub-optimal,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0025,2023-02-13,the-new-sport-of-misrepresenting,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0026,2023-02-13,too-much-benefit-of-the-doubt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0027,2023-02-13,top-5-reasons-teslas-optimus-announcement,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0028,2023-02-14,a-few-words-about-bullshit,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0029,2023-02-14,bravo-elonmusk-for-wanting-twitter,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0030,2023-02-14,how-come-smart-assistants-have-virtually,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0031,2023-02-14,sentience-and-ai-a-dialog-between,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0032,2023-02-14,what-does-meta-ais-diplomacy-winning,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0033,2023-02-14,what-game-over-for-the-latest-paradigm,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0034,2023-02-15,ais-jurassic-park-moment,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0035,2023-02-15,an-epic-ai-debateand-why-everyone,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0036,2023-02-15,is-chatgpt-really-a-code-red-for,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0037,2023-02-15,is-microsoft-about-to-get-the-deal,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0038,2023-02-15,what-to-expect-when-youre-expecting,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,18,file_read_and_hashed
post_0039,2023-02-16,24-seriously-embarrassing-hours-for,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0040,2023-02-16,agi-will-not-happen-in-your-lifetime,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,18,file_read_and_hashed
post_0041,2023-02-16,scientists-please-dont-let-your-chatbots,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0042,2023-02-16,the-rise-and-fall-of-microsofts-new,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0043,2023-02-16,two-frightening-things-before-breakfast,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0044,2023-02-17,smells-a-little-bit-like-ai-winter,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0045,2023-02-18,david-beats-go-liath,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0046,2023-02-18,how-not-to-test-gpt-3,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,8,file_read_and_hashed
post_0047,2023-02-18,large-language-models-like-chatgpt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0048,2023-02-20,why-is-bing-so-reckless,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0049,2023-02-21,what-did-they-know-and-when-did-they,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0050,2023-02-22,dont-go-breaking-my-heart,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0051,2023-02-26,is-it-time-to-hit-the-pause-button,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,6,file_read_and_hashed
post_0052,2023-02-28,the-threat-of-automated-misinformation,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0053,2023-03-02,dont-look-up-the-ai-edition,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0054,2023-03-11,the-long-shadow-of-gpt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0055,2023-03-12,caricaturing-noam-chomsky,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0056,2023-03-14,should-we-worry-more-about-short,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0057,2023-03-15,gpt-4s-successes-and-gpt-4s-failures,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0058,2023-03-18,this-week-in-ai-doublespeak,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0059,2023-03-25,the-sparks-of-agi-or-the-end-of-science,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0060,2023-03-29,a-temporary-pause-on-training-extra,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0061,2023-03-30,the-open-letter-controversy,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0062,2023-03-31,italian-ban-on-chatgpt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0063,2023-04-02,i-am-not-afraid-of-robots-i-am-afraid,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0064,2023-04-04,the-first-known-chatbot-associated,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0065,2023-04-09,gpt-5-and-irrational-exuberance,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,8,file_read_and_hashed
post_0066,2023-04-17,stop-treating-ai-models-like-people,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0067,2023-04-25,how-china-might-crush-the-west-in,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0068,2023-04-28,inside-the-heart-of-chatgpts-darkness,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0069,2023-05-01,scientists-governments-and-corporations,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0070,2023-05-07,ai-risks-short-term-and-longand-what,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0071,2023-06-08,two-models-of-ai-oversight-and-how,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0072,2023-07-08,jumpstarting-ai-governance,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0073,2023-08-13,what-if-generative-ai-turned-out,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,10,file_read_and_hashed
post_0074,2023-08-14,what-exactly-are-the-economics-of,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,6,file_read_and_hashed
post_0075,2023-08-16,the-imminent-enshittification-of,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0076,2023-08-17,automatic-disinformation-threatens,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0077,2023-08-19,face-it-self-driving-cars-still-havent,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0078,2023-08-20,no-virginia-agi-is-not-imminent,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0079,2023-08-21,sentient-ai-for-the-love-of-darwin,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0080,2023-08-24,the-rise-and-fall-of-chatgpt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0081,2023-08-27,d28,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,13,file_read_and_hashed
post_0082,2023-08-28,the-us-and-china-want-different-things,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0083,2023-08-29,could-we-all-be-doomed-without-ranked,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0084,2023-09-01,doug-lenat-1950-2023,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0085,2023-09-07,karen-bakker-1971-2023,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0086,2023-09-07,the-dirty-underbelly-of-ai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0087,2023-09-21,six-months-after-the-pause-letter,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0088,2023-09-22,elegant-and-powerful-new-result-that,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,6,file_read_and_hashed
post_0089,2023-09-27,top-5-reasons-openai-is-probably,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0090,2023-10-04,seven-lies-in-four-sentences,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0091,2023-10-05,muddles-about-models,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0092,2023-10-10,what-was-60-minutes-thinking-in-that,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,11,file_read_and_hashed
post_0093,2023-10-14,race-statistics-and-the-persistent,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0094,2023-10-16,two-kinds-of-techno-optimism,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0095,2023-10-17,what-if-gpt-5-didnt-meet-expectations,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0096,2023-10-18,reports-of-the-birth-of-agi-are-greatly,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0097,2023-10-19,math-is-hard-if-you-are-an-llm-and,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0098,2023-10-20,how-long-dies-ai-hype-take-to-die,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0099,2023-10-21,hello-multimodal-hallucinations,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0100,2023-10-23,getting-gpt-to-work-with-external,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0101,2023-10-26,a-cern-for-ai-and-the-global-governance,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,10,file_read_and_hashed
post_0102,2023-10-27,why-driverless-cars-mightor-might,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0103,2023-10-30,first-take-on-the-white-house-executive,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0104,2023-11-01,the-uk-ai-summit,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0105,2023-11-03,where-we-are-right-now-on-open-source,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0106,2023-11-05,could-cruise-be-the-theranos-of-ai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0107,2023-11-05,rethinking-driverless-cars,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0108,2023-11-10,crisis-point-in-ai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0109,2023-11-17,has-sam-altman-gone-full-gary-marcus,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0110,2023-11-17,sam-altman-appears-to-have-been-pushed,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0111,2023-11-18,the-biggest-immediate-lesson-from,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0112,2023-11-18,what-went-down-at-openai-a-theory,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0113,2023-11-19,as-the-openai-world-turns-4-vital,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0114,2023-11-19,firing-sam-and-then-trying-to-bring,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0115,2023-11-19,no-one-person-should-be-trusted-here,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0116,2023-11-20,everybodys-out-a65,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0117,2023-11-20,im-not-making-this-up,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0118,2023-11-20,open-letter-to-all-eu-leaders,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0119,2023-11-22,a-tale-of-two-liars,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0120,2023-11-22,massive-scoop,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0121,2023-11-22,openai-is-back-in-business,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0122,2023-11-25,ai-versus-the-clumsy-human-mind,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0123,2023-11-26,about-that-openai-breakthrough,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0124,2023-11-26,top-5-reasons-why-openai-was-probably,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0125,2023-11-27,hinton-vs-lecun-vs-ng-vs-tegmark,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0126,2023-11-28,critical-national-security-questions,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0127,2023-11-28,give-me-compromise-or-give-me-chaos,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0128,2023-12-06,hot-take-on-googles-gemini-and-gpt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0129,2023-12-07,not-consistently-candid,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0130,2023-12-07,the-truth-about-googles-amazing-new,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0131,2023-12-08,we-interrupt-this-programming,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0132,2023-12-09,it-was-always-about-trust,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0133,2023-12-09,nope-the-turing-test-has-not-been,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0134,2023-12-12,metas-chief-ai-officer-is-lying-about,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0135,2023-12-19,sorry-but-funsearch-probably-isnt,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0136,2023-12-21,are-social-media-and-coordinated,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0137,2023-12-23,an-artist-fights-back-and-midjourney,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0138,2023-12-29,things-are-about-to-get-a-lot-worse,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0139,2024-01-06,the-potential-genai-copyright-infringement,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0140,2024-01-08,the-desperate-race-to-save-generative,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0141,2024-01-10,could-openais-nonprofit-be-forced,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0142,2024-01-10,dall-es-new-guardrails-fast-furious,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0143,2024-01-24,no-multimodal-chatgpt-is-not-going,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0144,2024-01-25,wheres-waldo-the-elephant-in-the,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0145,2024-01-27,openais-got-99-problems-and-twitch,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0146,2024-01-29,one-genai-image-ten-errors,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0147,2024-02-01,google-bard-fast-gorgeous-and-out,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0148,2024-02-04,deepfaked-shit-is-getting-real,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0149,2024-02-04,when-looked-at-carefully-openais,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0150,2024-02-06,deconstructing-geoffrey-hintons-weakest,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0151,2024-02-07,could-gpt-5-revolutionize-military,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0152,2024-02-08,further-trouble-in-hinton-city,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0153,2024-02-08,there-must-be-some-misunderstanding,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0154,2024-02-10,what-could-possibly-go-wrong-with,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0155,2024-02-11,seven-reasons-why-the-world-should,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0156,2024-02-12,ai-risk-agi-risk,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0157,2024-02-12,an-open-letter-to-sam-altman,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0158,2024-02-13,horse-rides-astronaut-redux,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0159,2024-02-13,statistics-versus-understanding-the,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0160,2024-02-15,the-hottest-new-programming-language,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0161,2024-02-17,death-of-a-chatbot-body-blow-to-an,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0162,2024-02-18,absolutely-amazing-ant-video-augurs,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0163,2024-02-18,sora-cant-handle-the-truth,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0164,2024-02-18,soras-surreal-physics,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0165,2024-02-21,chatgpt-has-gone-berserk,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0166,2024-02-21,has-google-gone-too-woke-why-even,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0167,2024-02-22,belief-in-magic-may-be-declining,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0168,2024-02-24,no-rag-is-probably-not-going-to-rescue,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,4,file_read_and_hashed
post_0169,2024-02-29,serious-medical-error-from-perplexitys,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0170,2024-02-29,the-last-two-weeks-at-openai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0171,2024-03-01,elon-musk-sues-openai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0172,2024-03-02,no-sora-has-not-learned-physics,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0173,2024-03-03,the-irony-and-the-agony-of-elon-musks,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0174,2024-03-05,covert-racism-in-llms,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
