theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,claim_occurrences,goalpost_shift_candidate,status_at_eval,confidence,as_of_date,reason,sources
theme3_1a14a35b5ae3,hallucination_misinformation,google,descriptive,2023-11-03,2025-10-16,2,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_d1fa2955645a,hallucination_misinformation,llms,causal,2024-02-06,2025-08-04,2,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_f099539befa0,hallucination_misinformation,meta,descriptive,2023-08-27,2024-04-06,2,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_7e42adbbe8cc,hallucination_misinformation,agi,descriptive,2024-10-20,2024-10-20,1,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_884d8ba6d388,hallucination_misinformation,agi,predictive,2023-11-17,2023-11-17,1,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_b9eb41933dd0,hallucination_misinformation,openai,causal,2024-12-08,2024-12-08,1,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_c0445b574603,hallucination_misinformation,general_ai,causal,2025-03-27,2025-03-27,1,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_c20b717d1357,hallucination_misinformation,google,predictive,2023-08-13,2023-08-13,1,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_45dd29a88dd4,safety_alignment,ai_safety,descriptive,2023-04-02,2026-02-13,15,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_1153785f29bf,safety_alignment,ai_safety,predictive,2023-02-16,2026-02-23,11,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_696ea994cd91,safety_alignment,ai_safety,causal,2023-08-27,2025-06-23,9,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_8fe53b7d86e3,regulation_policy,regulation,predictive,2023-02-26,2026-02-01,8,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_aa23f30fb332,safety_alignment,llms,predictive,2023-02-15,2025-12-09,7,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_b0820e15e283,regulation_policy,regulation,descriptive,2023-11-20,2025-12-13,6,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_5050e9c2cf3b,safety_alignment,regulation,descriptive,2023-06-08,2026-02-01,5,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_68780a9144b2,regulation_policy,llms,predictive,2023-03-12,2025-11-27,5,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_b1a2bbb9ed57,safety_alignment,llms,descriptive,2023-02-14,2025-11-18,5,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_35dcaa96810a,safety_alignment,openai,predictive,2023-11-19,2024-08-23,4,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_2a82b0d65531,safety_alignment,general_ai,predictive,2023-10-26,2025-05-22,3,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_7e94375ad3bc,regulation_policy,general_ai,predictive,2024-02-21,2025-04-17,3,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_b801791847b6,safety_alignment,openai,descriptive,2024-05-26,2024-10-24,3,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_cefbd7e78334,regulation_policy,llms,descriptive,2023-08-13,2026-01-06,3,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_d74dcfc359c8,safety_alignment,general_ai,descriptive,2023-03-18,2025-11-19,3,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_4d4c7585d973,regulation_policy,openai,predictive,2024-02-06,2024-08-23,2,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_8e4a7ba67b7e,safety_alignment,llms,causal,2023-04-04,2025-06-23,2,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_baac05bbb9c7,safety_alignment,tesla,predictive,2023-02-13,2025-07-15,2,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_174bb7f1a1a1,regulation_policy,regulation,causal,2024-06-28,2024-06-28,1,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_419123be14a2,regulation_policy,general_ai,descriptive,2023-09-21,2023-09-21,1,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_4cd923f75a30,safety_alignment,regulation,predictive,2025-01-01,2025-01-01,1,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_5e564709c39c,regulation_policy,openai,descriptive,2025-05-22,2025-05-22,1,no,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113
theme3_8cc71dd645bf,safety_alignment,microsoft,descriptive,2023-02-26,2023-02-26,1,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_8fabf966d580,safety_alignment,regulation,causal,2025-05-16,2025-05-16,1,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_e07ab2924ca9,safety_alignment,tesla,descriptive,2025-07-15,2025-07-15,1,no,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_3c553598e33f,agi_timeline,agi,predictive,2023-02-11,2025-12-01,41,yes,unresolved,high,2026-03-02,Timeline horizon extends beyond evaluation date.,https://openai.com/index/introducing-gpt-5/
theme3_f3ab8db480f5,agi_timeline,agi,descriptive,2023-02-15,2025-12-01,26,no,unresolved,medium,2026-03-02,Downgraded from mixed for high-precision pass: claim remains too broad/ambiguous for decisive adjudication.,https://openai.com/index/introducing-gpt-5/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://www.anthropic.com/system-cards
theme3_e1bb6980432f,reasoning_common_sense,general_ai,descriptive,2023-02-13,2026-01-06,17,no,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_0fb5a9767582,reasoning_common_sense,general_ai,predictive,2023-02-16,2025-07-15,14,yes,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_051f3b425aa5,reasoning_common_sense,llms,predictive,2023-02-15,2025-12-30,12,yes,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_9afbf59166e9,copyright_ip,llms,predictive,2023-02-15,2025-07-27,11,no,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_0645fb99675a,copyright_ip,general_ai,descriptive,2022-05-29,2025-07-15,10,no,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
theme3_1229d1997f18,market_hype_bubble,llms,predictive,2023-09-27,2025-08-20,9,yes,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/
theme3_03bbb277b41d,copyright_ip,general_ai,predictive,2023-02-14,2026-02-10,8,yes,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf
