theme3_id,theme_label,step_index,from_cluster2_id,to_cluster2_id,from_date,to_date,from_horizon_values,to_horizon_values,horizon_drift,from_certainty,to_certainty,certainty_drift,lexical_drift,drift_score,from_quote,to_quote
theme3_051f3b425aa5,reasoning_common_sense,4,cluster2_173455421d76,cluster2_1031593ed53f,2025-01-14,2025-04-17,,2023-12-31,more_specific,high_assertion,balanced,changed,0.951,1,"We can never guarantee that broad but shallow AI will be safe, or that it will be human-compatible (in the words of Stuart Russell), or that it will do what we ask of it. § For all these reasons, I propose that we call LLMs broad, shallow intelligence..","Here’s how I put it in an essay here in September 2023 (echoed again in my essay on LLM failures of formal reasoning last year ): LLMs remain pointillistic masses of blurry memory, never as systematic as reasoning machines ought to be. .."
theme3_051f3b425aa5,reasoning_common_sense,5,cluster2_1031593ed53f,cluster2_3f62528bf4cc,2025-04-17,2025-07-03,2023-12-31,within_10_years,less_specific,balanced,balanced,stable,0.944,2,"Here’s how I put it in an essay here in September 2023 (echoed again in my essay on LLM failures of formal reasoning last year ): LLMs remain pointillistic masses of blurry memory, never as systematic as reasoning machines ought to be. ..","At least for the next decade, LLMs (with and without inference time “reasoning”) will continue have their uses, especially for coding and brainstorming and writing."
theme3_051f3b425aa5,reasoning_common_sense,6,cluster2_3f62528bf4cc,cluster2_166b90afee4c,2025-07-03,2025-11-18,within_10_years,,less_specific,balanced,balanced,stable,0.936,2,"At least for the next decade, LLMs (with and without inference time “reasoning”) will continue have their uses, especially for coding and brainstorming and writing.","In the rest of the essay I will try to persuade you of just two things: that LLMs lack world models, and that this is as important and central to understanding their failures as are their failures in reasoning . § For what I think are mostly sociological reasons, people who have built neural networks such as LLMs have mostly tried to do without explicit models, hoping that intelligence would “emerge” from massive statistical analyses of big data."
theme3_051f3b425aa5,reasoning_common_sense,7,cluster2_166b90afee4c,cluster2_927052c5ef1a,2025-11-18,2025-12-01,,,stable,balanced,balanced,stable,0.925,1,"In the rest of the essay I will try to persuade you of just two things: that LLMs lack world models, and that this is as important and central to understanding their failures as are their failures in reasoning . § For what I think are mostly sociological reasons, people who have built neural networks such as LLMs have mostly tried to do without explicit models, hoping that intelligence would “emerge” from massive statistical analyses of big data.","The whole thing looks incredibly fragile. § To put it bluntly, the world has gone “all in” on LLMs, but, as Sutskever’s interview highlights, there are many reasons to doubt that LLMs will ever deliver the rewards that many people expected."
theme3_051f3b425aa5,reasoning_common_sense,8,cluster2_927052c5ef1a,cluster2_a1470c8802f3,2025-12-01,2025-12-30,,,stable,balanced,balanced,stable,0.963,1,"The whole thing looks incredibly fragile. § To put it bluntly, the world has gone “all in” on LLMs, but, as Sutskever’s interview highlights, there are many reasons to doubt that LLMs will ever deliver the rewards that many people expected.",Neurosymbolic AI will displace pure LLMs over time ; here’s why.
theme3_0572199dc099,reasoning_common_sense,1,cluster2_19e8b2680f29,cluster2_666fe4856715,2023-02-11,2023-10-10,,,stable,balanced,balanced,stable,0.968,1,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts.","For example, you should really check out Macarthur Award winner Yejin Choi’s recent TED talk She concludes that we still have a long way to go, saying for example that “So my position is that giving true … common sense to AI, is still moonshot”."
theme3_0572199dc099,reasoning_common_sense,2,cluster2_666fe4856715,cluster2_e8f5b74f7c7b,2023-10-10,2023-10-10,,2016-12-31,more_specific,balanced,balanced,stable,1.000,1,"For example, you should really check out Macarthur Award winner Yejin Choi’s recent TED talk She concludes that we still have a long way to go, saying for example that “So my position is that giving true … common sense to AI, is still moonshot”.",Geoffrey Hinton: I think in five years' time it may well be able to reason better than us Gary Marcus: In 2016 you said that it was “quite obvious that we should stop training radiologists” because deep learning was getting so good.
theme3_0572199dc099,reasoning_common_sense,3,cluster2_e8f5b74f7c7b,cluster2_29a85a7a0dc7,2023-10-10,2023-10-14,2016-12-31,,less_specific,balanced,balanced,stable,0.972,2,Geoffrey Hinton: I think in five years' time it may well be able to reason better than us Gary Marcus: In 2016 you said that it was “quite obvious that we should stop training radiologists” because deep learning was getting so good.,"Our focus should be on figuring on how to build AI that can represent and reason about *values*, rather than simply perpetuating past data ”."
theme3_0572199dc099,reasoning_common_sense,4,cluster2_29a85a7a0dc7,cluster2_897356579f46,2023-10-14,2024-01-08,,,stable,balanced,balanced,stable,0.927,1,"Our focus should be on figuring on how to build AI that can represent and reason about *values*, rather than simply perpetuating past data ”.","If the current batch of AI companies cannot create AI that performs reasonably well based on public domain sources and whatever they are prepared to pay to license, they should go back to the drawing board—and figure out how to build software that doesn’t have a plagiarism problem—rather than fleecing artists, writers, and other content providers."
theme3_0572199dc099,reasoning_common_sense,5,cluster2_897356579f46,cluster2_d3981a54e2ae,2024-01-08,2025-02-09,,2022-12-31,more_specific,balanced,balanced,stable,1.000,1,"If the current batch of AI companies cannot create AI that performs reasonably well based on public domain sources and whatever they are prepared to pay to license, they should go back to the drawing board—and figure out how to build software that doesn’t have a plagiarism problem—rather than fleecing artists, writers, and other content providers.","Another of the key suggestions I made in 2022 was that we should use neurosymbolic techniques, combining neural networks with classical symbolic techniques such as rules."
theme3_0572199dc099,reasoning_common_sense,6,cluster2_d3981a54e2ae,cluster2_39a67cebaa8b,2025-02-09,2025-07-13,2022-12-31,,less_specific,balanced,balanced,stable,0.867,2,"Another of the key suggestions I made in 2022 was that we should use neurosymbolic techniques, combining neural networks with classical symbolic techniques such as rules.","But one of the main points of the paper was its call for the integration of neural networks and symbols: Another place that we should look is towards classic, “symbolic” AI, sometimes referred to as GOFAI (Good Old-Fashioned AI)."
theme3_0572199dc099,reasoning_common_sense,7,cluster2_39a67cebaa8b,cluster2_58b81190bb46,2025-07-13,2026-02-14,,,stable,balanced,balanced,stable,1.000,1,"But one of the main points of the paper was its call for the integration of neural networks and symbols: Another place that we should look is towards classic, “symbolic” AI, sometimes referred to as GOFAI (Good Old-Fashioned AI).","Generative AI systems may still struggle to reason, as discussed here recently, but they were built for mimicry, and their mimicry has gotten to the point where we must do something now."
theme3_0645fb99675a,copyright_ip,1,cluster2_639d1d6870dc,cluster2_e2b89e2a07b2,2022-05-29,2023-02-13,,,stable,balanced,balanced,stable,1.000,1,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out.","The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”."
theme3_0645fb99675a,copyright_ip,2,cluster2_e2b89e2a07b2,cluster2_8c1d9800c957,2023-02-13,2023-02-14,,,stable,balanced,balanced,stable,1.000,1,"The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”.","Although the AI is not yet at or near world champion level, the system was able to integrate language with game play, in an online version of blitz Diplomacy, ranking within the top 10% of mixed crowd of professional and amateurs, with play and language use that were natural enough that only one human player suspected it of being a bot."
theme3_0645fb99675a,copyright_ip,3,cluster2_8c1d9800c957,cluster2_eafd8cc6a66d,2023-02-14,2023-02-14,,,stable,balanced,balanced,stable,0.957,1,"Although the AI is not yet at or near world champion level, the system was able to integrate language with game play, in an online version of blitz Diplomacy, ranking within the top 10% of mixed crowd of professional and amateurs, with play and language use that were natural enough that only one human player suspected it of being a bot.","Cicero the computer program, announced in an article in Science on November 22, is a powerful AI system that plays Diplomacy; its implications for AI are not yet clear three days later, and may not be for a long time."
theme3_0645fb99675a,copyright_ip,4,cluster2_eafd8cc6a66d,cluster2_904ba2ea1010,2023-02-14,2023-10-05,,2019-12-31,more_specific,balanced,balanced,stable,1.000,1,"Cicero the computer program, announced in an article in Science on November 22, is a powerful AI system that plays Diplomacy; its implications for AI are not yet clear three days later, and may not be for a long time.","To encapsulate the heart of what Ernie Davis and I said at length in our 2019 book Rebooting AI , AI is unlikely to ever be trustworthy if its makers continue to skip the step of having explicit cognitive models of the world."
theme3_0645fb99675a,copyright_ip,5,cluster2_904ba2ea1010,cluster2_24202599a360,2023-10-05,2024-01-27,2019-12-31,,less_specific,balanced,balanced,stable,0.974,2,"To encapsulate the heart of what Ernie Davis and I said at length in our 2019 book Rebooting AI , AI is unlikely to ever be trustworthy if its makers continue to skip the step of having explicit cognitive models of the world.","The choice is not between them building AI or not, it is between them building AI for free or building AI by paying for their raw materials, doing what lots of companies like Netflix and Spotify do routinely: licensing copyrighted materials that they commercialize."
theme3_0645fb99675a,copyright_ip,6,cluster2_24202599a360,cluster2_6e6cf4fa038b,2024-01-27,2024-01-27,,,stable,balanced,balanced,stable,0.929,1,"The choice is not between them building AI or not, it is between them building AI for free or building AI by paying for their raw materials, doing what lots of companies like Netflix and Spotify do routinely: licensing copyrighted materials that they commercialize.",The company itself recently claimed that it would be “ impossible ” for its AI to work adequately without drawing heavily on copyrighted materials.
theme3_0645fb99675a,copyright_ip,7,cluster2_6e6cf4fa038b,cluster2_523c4b92c841,2024-01-27,2024-02-07,,,stable,balanced,balanced,stable,0.969,1,The company itself recently claimed that it would be “ impossible ” for its AI to work adequately without drawing heavily on copyrighted materials.,"Special-purpose AI has been great for static, easily-simulated games with rules that have been stable for centuries, like Chess, Go, and even Diplomacy , but never been great at dynamic environments in which the environment itself is unpredictable."
theme3_0645fb99675a,copyright_ip,8,cluster2_523c4b92c841,cluster2_d5362b9b5fab,2024-02-07,2025-01-26,,,stable,balanced,balanced,stable,0.980,1,"Special-purpose AI has been great for static, easily-simulated games with rules that have been stable for centuries, like Chess, Go, and even Diplomacy , but never been great at dynamic environments in which the environment itself is unpredictable.","Building $500B worth of power and data centers in the service of enormous collections of those chips isn't looking so sensible, either. § If all this is true, the CHIPS Act , which was designed to slow China in the AI race, may turn out to be one of the worst backfires in history."
theme3_0645fb99675a,copyright_ip,9,cluster2_d5362b9b5fab,cluster2_f3f3dd741039,2025-01-26,2025-07-15,,,stable,balanced,balanced,stable,0.980,1,"Building $500B worth of power and data centers in the service of enormous collections of those chips isn't looking so sensible, either. § If all this is true, the CHIPS Act , which was designed to slow China in the AI race, may turn out to be one of the worst backfires in history.","I have always thought a lot of the extinction scenarios were contrived, like Bostrom’s famous paper clip example (in which superintelligent AI, instructed to make paper clips, turns everything in the universe, including humans, into paper clips)."
theme3_0d3613992fa7,reasoning_common_sense,1,cluster2_bbc1e7396964,cluster2_4ddc84e3f62a,2023-03-25,2024-08-01,,,stable,balanced,balanced,stable,0.932,1,"The paper’s core claim— “GPT-4 attains a form of general intelligence [as] demonstrated by its core mental capabilities (such as reasoning, creativity, and deduction)”—literally cannot be tested with serious scrutiny, because the scientific community has no access to the training data.","LLMs often stumble on large multiplication problems because such problems are effectively outliers relative to a training set that can’t sample them all; the symbolic algorithms in calculators are suitably abstract, and never falter."
theme3_0d3613992fa7,reasoning_common_sense,2,cluster2_4ddc84e3f62a,cluster2_79763e836e69,2024-08-01,2025-03-28,,,stable,balanced,balanced,stable,0.953,1,"LLMs often stumble on large multiplication problems because such problems are effectively outliers relative to a training set that can’t sample them all; the symbolic algorithms in calculators are suitably abstract, and never falter.","A whopping 90% of the participants said they didn't think CoreWeave had ""sustainable moat” The lack of a moat is of course something I have emphasized often re LLMs themselves, and a key reason why I think GenAI models (and hence chips) are overvalued."
theme3_0ec6975bae97,scaling_limits,1,cluster2_24be6bd7e57a,cluster2_da476509fbf6,2024-09-10,2025-02-19,,,stable,balanced,balanced,stable,1.000,1,"You should be watching to see what the candidates plan to do about fraud and disinformation, as AI contributes to escalation in both.","If AI were (as it used to be, to some degree) a science, people would say: “hey, we put half a trillion dollars into testing the idea of scaling and massive compute and something’s still not right, maybe we should try something else?” Instead, valuations just keep rising, results notwithstanding."
theme3_0ec6975bae97,scaling_limits,2,cluster2_da476509fbf6,cluster2_d8056cd314e2,2025-02-19,2025-02-26,,,stable,balanced,balanced,stable,0.974,1,"If AI were (as it used to be, to some degree) a science, people would say: “hey, we put half a trillion dollars into testing the idea of scaling and massive compute and something’s still not right, maybe we should try something else?” Instead, valuations just keep rising, results notwithstanding.","Investors should also be looking at the prospects for “solving” AI with pure scaling, which is after all much of the vision Nvidia is selling."
theme3_0ec6975bae97,scaling_limits,3,cluster2_d8056cd314e2,cluster2_605278c9f936,2025-02-26,2026-02-10,,2025-12-31,more_specific,balanced,balanced,stable,1.000,1,"Investors should also be looking at the prospects for “solving” AI with pure scaling, which is after all much of the vision Nvidia is selling.","This morning, Steven Rosenbush, in his newsletter for The Wall Street Journal, put together a bunch of facts about AI and debt that should concern everyone , quoting something from yesterday in Bloomberg that I missed (italics) and putting context around it: As Bloomberg reported Monday: Morgan Stanley expects hyperscalers to borrow $400 billion this year, up from $165 billion in 2025."
theme3_0f1476ce91f4,reasoning_common_sense,1,cluster2_9f01c504643b,cluster2_94044be77927,2024-02-04,2025-07-13,,,stable,balanced,balanced,stable,0.981,1,"According to media reports like Bloomberg’s , there is not much to worry about here: OpenAI’s most powerful artificial intelligence software, GPT-4, poses “at most” a slight risk of helping people create biological threats, according to early tests the company carried out to better understand and prevent potential “ catastrophic ” harms from its technology I am here to tell you that OpenAI’s research, analyzed carefully, shows no such thing, and that there is plenty of reason to be concerned.","It’s likely that OpenAI, Anthropic and others are already doing more neurosymbolic AI than they actually make public."
theme3_0f76f2088106,scaling_limits,1,cluster2_9742f5c680c6,cluster2_65331ba8b10b,2025-03-05,2025-08-09,,,stable,balanced,balanced,stable,0.931,1,"If getting to AGI in the next three years is not quite as certain as the sun rising every day from the east, we might want to hedge our bets, and try to focus on what the field of AI need to develop besides scaling.",Nobody with intellectual integrity should still believe that pure scaling will get us to AGI.
theme3_0fb5a9767582,reasoning_common_sense,1,cluster2_a0cf35746917,cluster2_dcd36087260e,2023-02-16,2023-02-16,,,stable,balanced,high_assertion,changed,1.000,1,"But I am cautiously optimistic that we’ll do better in the next 75, that once the hype cools off, people will finally dive deeper into neurosymbolic AI, and start to take some important steps.","And yes, when we have an AI that can say “I don’t know how to do X but I do have the skills to figure out how to do X and so I will go that, play with it a bit, and then keep trying to do X until I get a reasonable result” that will be a momentous shift."
theme3_0fb5a9767582,reasoning_common_sense,2,cluster2_dcd36087260e,cluster2_8c822a078c74,2023-02-16,2023-09-01,,,stable,high_assertion,balanced,changed,1.000,1,"And yes, when we have an AI that can say “I don’t know how to do X but I do have the skills to figure out how to do X and so I will go that, play with it a bit, and then keep trying to do X until I get a reasonable result” that will be a momentous shift.",Gary Marcus has focused his career on integrating neural networks and symbolic approaches; he still hopes that will happen.
theme3_0fb5a9767582,reasoning_common_sense,3,cluster2_8c822a078c74,cluster2_83340773ac40,2023-09-01,2024-12-05,,2024-12-31,more_specific,balanced,balanced,stable,0.882,1,Gary Marcus has focused his career on integrating neural networks and symbolic approaches; he still hopes that will happen.,"This just in, right on the heels of Satya Nadella also publicly acknowledging diminishing returns: From The Information, December 5, 2024 Gary Marcus, who has been challenging hype in neural networks since 1992, anticipates that neurosymbolic AI will be part of the deeper breakthroughs we need."
theme3_0fb5a9767582,reasoning_common_sense,4,cluster2_83340773ac40,cluster2_103af516986c,2024-12-05,2025-01-01,2024-12-31,,less_specific,balanced,balanced,stable,1.000,2,"This just in, right on the heels of Satya Nadella also publicly acknowledging diminishing returns: From The Information, December 5, 2024 Gary Marcus, who has been challenging hype in neural networks since 1992, anticipates that neurosymbolic AI will be part of the deeper breakthroughs we need.",Reasoning flubs will continue to haunt generative AI.
theme3_0fb5a9767582,reasoning_common_sense,5,cluster2_103af516986c,cluster2_34ca700d9050,2025-01-01,2025-01-05,,,stable,balanced,balanced,stable,0.962,1,Reasoning flubs will continue to haunt generative AI.,"In our view, it is only once AI researchers grapple directly with the challenging problems inherent in commonsense reasoning about entities that interact in space and persist in time that the field of general-purpose AI will finally begin to mature."
theme3_0fb5a9767582,reasoning_common_sense,6,cluster2_34ca700d9050,cluster2_f1d42f72cbb8,2025-01-05,2025-04-17,,2029-12-31,more_specific,balanced,high_assertion,changed,1.000,1,"In our view, it is only once AI researchers grapple directly with the challenging problems inherent in commonsense reasoning about entities that interact in space and persist in time that the field of general-purpose AI will finally begin to mature.","In 2029, AI will not be able to reliably construct bug-free code of more than 10,000 lines from natural language specification or by interactions with a non-expert user. [Gluing together code from existing libraries doesn’t count.] In 2029, AI will not be able to take arbitrary proofs from the mathematical literature written in natural language and convert them into a symbolic form suitable for symbolic verification."
theme3_0fb5a9767582,reasoning_common_sense,7,cluster2_f1d42f72cbb8,cluster2_1e55723bd863,2025-04-17,2025-05-03,2029-12-31,,less_specific,high_assertion,balanced,changed,0.982,2,"In 2029, AI will not be able to reliably construct bug-free code of more than 10,000 lines from natural language specification or by interactions with a non-expert user. [Gluing together code from existing libraries doesn’t count.] In 2029, AI will not be able to take arbitrary proofs from the mathematical literature written in natural language and convert them into a symbolic form suitable for symbolic verification.","Extrapolating from neatly drawn graphs, people are tweeting things like, “Within 12 months, AI will do a reasonable job on most >1hr messiest cognitive tasks” – a claim that in our view doesn’t even pass the “circle the r’s in Strawberry” sniff test."
theme3_0fb5a9767582,reasoning_common_sense,8,cluster2_1e55723bd863,cluster2_983b856c7667,2025-05-03,2025-07-01,,,stable,balanced,high_assertion,changed,1.000,1,"Extrapolating from neatly drawn graphs, people are tweeting things like, “Within 12 months, AI will do a reasonable job on most >1hr messiest cognitive tasks” – a claim that in our view doesn’t even pass the “circle the r’s in Strawberry” sniff test.","We have always felt that greater modularity will be a necessary part of future AI, and welcome these kinds of explorations. § Still Alpha Geometry2 is limited to problems that can be expressed in its particular symbolic language."
theme3_0fb5a9767582,reasoning_common_sense,9,cluster2_983b856c7667,cluster2_6ed0f2af2b1c,2025-07-01,2025-07-13,,,stable,high_assertion,balanced,changed,0.974,1,"We have always felt that greater modularity will be a necessary part of future AI, and welcome these kinds of explorations. § Still Alpha Geometry2 is limited to problems that can be expressed in its particular symbolic language.","After a thirty-year journey, I believe that neurosymbolic AI’s moment has finally arrived, in part from an unlikely place. § In her bestseller Empire of AI , Karen Hao crisply sets the stage."
theme3_0fb5a9767582,reasoning_common_sense,10,cluster2_6ed0f2af2b1c,cluster2_8068b9c730bb,2025-07-13,2025-07-13,,2020-12-31,more_specific,balanced,balanced,stable,0.963,1,"After a thirty-year journey, I believe that neurosymbolic AI’s moment has finally arrived, in part from an unlikely place. § In her bestseller Empire of AI , Karen Hao crisply sets the stage.",A neurosymbolic substrate for AI by itself ( as I argued in 2020 ) is likely to be necessary but not sufficient .
theme3_0fb5a9767582,reasoning_common_sense,11,cluster2_8068b9c730bb,cluster2_f674d75649e7,2025-07-13,2025-07-13,2020-12-31,,less_specific,balanced,balanced,stable,0.960,2,A neurosymbolic substrate for AI by itself ( as I argued in 2020 ) is likely to be necessary but not sufficient .,"As we will see in a moment, people are finally pursuing a tool-driven, neurosymbolic vision like this — and getting better results than they were able to get with pure neural networks."
theme3_0fb5a9767582,reasoning_common_sense,12,cluster2_f674d75649e7,cluster2_dd6e2fbc424f,2025-07-13,2025-07-15,,near_term,more_specific,balanced,balanced,stable,1.000,1,"As we will see in a moment, people are finally pursuing a tool-driven, neurosymbolic vision like this — and getting better results than they were able to get with pure neural networks.","Part of my reasoning then was that actual malice on the part of AI was unlikely, at least any time soon."
theme3_1035472658e9,regulation_policy,1,cluster2_7d312d251eb0,cluster2_c48589c180ae,2022-05-29,2023-02-15,,,stable,balanced,balanced,stable,0.972,1,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).","Angela Sheffield , Senior Director of AI at the DC security startup Raft , worried about how decision makers and policymakers should regulate AI, particularly when the actual AI that we currently have is by no stretch truly general intelligence."
theme3_1035472658e9,regulation_policy,2,cluster2_c48589c180ae,cluster2_ddb9b61cf61c,2023-02-15,2023-08-13,,,stable,balanced,hedged,softened,0.963,2,"Angela Sheffield , Senior Director of AI at the DC security startup Raft , worried about how decision makers and policymakers should regulate AI, particularly when the actual AI that we currently have is by no stretch truly general intelligence.","If it isn’t, the bubble could easily burst. § But what has me worried right now is not just the possibility that the whole generative AI economy—still based more on promise than actual commercial use—could see a massive, gut-wrenching correction, but that we are building our entire global and national policy on the premise that generative AI will be world-changing in ways that may in hindsight turn out to have been unrealistic."
theme3_1035472658e9,regulation_policy,3,cluster2_ddb9b61cf61c,cluster2_b00ce5937280,2023-08-13,2023-11-27,,,stable,hedged,balanced,hardened,1.000,1,"If it isn’t, the bubble could easily burst. § But what has me worried right now is not just the possibility that the whole generative AI economy—still based more on promise than actual commercial use—could see a massive, gut-wrenching correction, but that we are building our entire global and national policy on the premise that generative AI will be world-changing in ways that may in hindsight turn out to have been unrealistic.","The main issues were two: does deep learning understand anything, and how should we regulate AI."
theme3_1035472658e9,regulation_policy,4,cluster2_b00ce5937280,cluster2_de6a6e662920,2023-11-27,2023-11-28,,,stable,balanced,balanced,stable,1.000,1,"The main issues were two: does deep learning understand anything, and how should we regulate AI.",The fact that some regulation is bad doesn’t magically mean we should exempt the AI industry; it means we should craft our regulation wisely.
theme3_1035472658e9,regulation_policy,5,cluster2_de6a6e662920,cluster2_9c0c2f55643a,2023-11-28,2024-05-17,,,stable,balanced,balanced,stable,1.000,1,The fact that some regulation is bad doesn’t magically mean we should exempt the AI industry; it means we should craft our regulation wisely.,"(I will share a link if I get one.) I have been thinking a lot about how to engage the public in AI policy, and it was a treat to hear her discuss parallel issues around nature and the environment."
theme3_1035472658e9,regulation_policy,6,cluster2_9c0c2f55643a,cluster2_731f83099a83,2024-05-17,2024-08-20,,,stable,balanced,high_assertion,changed,1.000,1,"(I will share a link if I get one.) I have been thinking a lot about how to engage the public in AI policy, and it was a treat to hear her discuss parallel issues around nature and the environment.","Hopefully, SB 1047 will be signed into law, and the perfectly rational, and in fact entirely ordinary, notion of regulating AI will be normalized, and the absurd idea that such regulation would kill off AI will have vanished."
theme3_1035472658e9,regulation_policy,7,cluster2_731f83099a83,cluster2_04c1fbce74d6,2024-08-20,2025-05-14,,,stable,high_assertion,balanced,changed,0.955,1,"Hopefully, SB 1047 will be signed into law, and the perfectly rational, and in fact entirely ordinary, notion of regulating AI will be normalized, and the absurd idea that such regulation would kill off AI will have vanished.","The comparison here is not between a coherent federal laws versus a patchwork of a state laws, but between essentially zero enduring federal AI law (only executive orders that seem to come and go with the tides) and the well-intentioned efforts of many state legislators to make up for the fact that Washington has failed."
