theme3_id,cluster2_id,target_mode,claim_type_mode,category_mode,occurrences,first_date,last_date,representative_quote
theme3_051f3b425aa5,cluster2_a4b7d7f87e1c,llms,predictive,prediction,2,2023-02-15,2025-07-27,"Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests)."
theme3_051f3b425aa5,cluster2_fc7a0fb9e93e,llms,predictive,prediction,3,2023-02-15,2025-12-01,"Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT."
theme3_051f3b425aa5,cluster2_173455421d76,llms,predictive,prediction,1,2025-01-14,2025-01-14,"We can never guarantee that broad but shallow AI will be safe, or that it will be human-compatible (in the words of Stuart Russell), or that it will do what we ask of it. § For all these reasons, I propose that we call LLMs broad, shallow intelligence.."
theme3_051f3b425aa5,cluster2_1031593ed53f,llms,predictive,prediction,1,2025-04-17,2025-04-17,"Here’s how I put it in an essay here in September 2023 (echoed again in my essay on LLM failures of formal reasoning last year ): LLMs remain pointillistic masses of blurry memory, never as systematic as reasoning machines ought to be. .."
theme3_051f3b425aa5,cluster2_3f62528bf4cc,llms,predictive,prediction,1,2025-07-03,2025-07-03,"At least for the next decade, LLMs (with and without inference time “reasoning”) will continue have their uses, especially for coding and brainstorming and writing."
theme3_051f3b425aa5,cluster2_166b90afee4c,llms,predictive,prediction,1,2025-11-18,2025-11-18,"In the rest of the essay I will try to persuade you of just two things: that LLMs lack world models, and that this is as important and central to understanding their failures as are their failures in reasoning . § For what I think are mostly sociological reasons, people who have built neural networks such as LLMs have mostly tried to do without explicit models, hoping that intelligence would “emerge” from massive statistical analyses of big data."
theme3_051f3b425aa5,cluster2_927052c5ef1a,llms,predictive,prediction,1,2025-12-01,2025-12-01,"The whole thing looks incredibly fragile. § To put it bluntly, the world has gone “all in” on LLMs, but, as Sutskever’s interview highlights, there are many reasons to doubt that LLMs will ever deliver the rewards that many people expected."
theme3_051f3b425aa5,cluster2_a1470c8802f3,llms,predictive,prediction,1,2025-12-30,2025-12-30,Neurosymbolic AI will displace pure LLMs over time ; here’s why.
theme3_0572199dc099,cluster2_19e8b2680f29,general_ai,normative,policy,1,2023-02-11,2023-02-11,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts."
theme3_0572199dc099,cluster2_666fe4856715,general_ai,normative,policy,1,2023-10-10,2023-10-10,"For example, you should really check out Macarthur Award winner Yejin Choi’s recent TED talk She concludes that we still have a long way to go, saying for example that “So my position is that giving true … common sense to AI, is still moonshot”."
theme3_0572199dc099,cluster2_e8f5b74f7c7b,general_ai,normative,policy,3,2023-10-10,2025-03-09,Geoffrey Hinton: I think in five years' time it may well be able to reason better than us Gary Marcus: In 2016 you said that it was “quite obvious that we should stop training radiologists” because deep learning was getting so good.
theme3_0572199dc099,cluster2_29a85a7a0dc7,general_ai,normative,policy,1,2023-10-14,2023-10-14,"Our focus should be on figuring on how to build AI that can represent and reason about *values*, rather than simply perpetuating past data ”."
theme3_0572199dc099,cluster2_897356579f46,general_ai,normative,policy,1,2024-01-08,2024-01-08,"If the current batch of AI companies cannot create AI that performs reasonably well based on public domain sources and whatever they are prepared to pay to license, they should go back to the drawing board—and figure out how to build software that doesn’t have a plagiarism problem—rather than fleecing artists, writers, and other content providers."
theme3_0572199dc099,cluster2_d3981a54e2ae,general_ai,normative,policy,1,2025-02-09,2025-02-09,"Another of the key suggestions I made in 2022 was that we should use neurosymbolic techniques, combining neural networks with classical symbolic techniques such as rules."
theme3_0572199dc099,cluster2_39a67cebaa8b,general_ai,normative,policy,1,2025-07-13,2025-07-13,"But one of the main points of the paper was its call for the integration of neural networks and symbols: Another place that we should look is towards classic, “symbolic” AI, sometimes referred to as GOFAI (Good Old-Fashioned AI)."
theme3_0572199dc099,cluster2_58b81190bb46,general_ai,normative,policy,1,2026-02-14,2026-02-14,"Generative AI systems may still struggle to reason, as discussed here recently, but they were built for mimicry, and their mimicry has gotten to the point where we must do something now."
theme3_0645fb99675a,cluster2_639d1d6870dc,general_ai,descriptive,technical_assessment,1,2022-05-29,2022-05-29,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out."
theme3_0645fb99675a,cluster2_e2b89e2a07b2,general_ai,descriptive,capability,1,2023-02-13,2023-02-13,"The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”."
theme3_0645fb99675a,cluster2_8c1d9800c957,general_ai,descriptive,technical_assessment,1,2023-02-14,2023-02-14,"Although the AI is not yet at or near world champion level, the system was able to integrate language with game play, in an online version of blitz Diplomacy, ranking within the top 10% of mixed crowd of professional and amateurs, with play and language use that were natural enough that only one human player suspected it of being a bot."
theme3_0645fb99675a,cluster2_eafd8cc6a66d,general_ai,descriptive,technical_assessment,1,2023-02-14,2023-02-14,"Cicero the computer program, announced in an article in Science on November 22, is a powerful AI system that plays Diplomacy; its implications for AI are not yet clear three days later, and may not be for a long time."
theme3_0645fb99675a,cluster2_904ba2ea1010,general_ai,descriptive,technical_assessment,1,2023-10-05,2023-10-05,"To encapsulate the heart of what Ernie Davis and I said at length in our 2019 book Rebooting AI , AI is unlikely to ever be trustworthy if its makers continue to skip the step of having explicit cognitive models of the world."
theme3_0645fb99675a,cluster2_24202599a360,general_ai,descriptive,technical_assessment,1,2024-01-27,2024-01-27,"The choice is not between them building AI or not, it is between them building AI for free or building AI by paying for their raw materials, doing what lots of companies like Netflix and Spotify do routinely: licensing copyrighted materials that they commercialize."
theme3_0645fb99675a,cluster2_6e6cf4fa038b,general_ai,descriptive,capability,1,2024-01-27,2024-01-27,The company itself recently claimed that it would be “ impossible ” for its AI to work adequately without drawing heavily on copyrighted materials.
theme3_0645fb99675a,cluster2_523c4b92c841,general_ai,descriptive,technical_assessment,1,2024-02-07,2024-02-07,"Special-purpose AI has been great for static, easily-simulated games with rules that have been stable for centuries, like Chess, Go, and even Diplomacy , but never been great at dynamic environments in which the environment itself is unpredictable."
theme3_0645fb99675a,cluster2_d5362b9b5fab,general_ai,descriptive,technical_assessment,1,2025-01-26,2025-01-26,"Building $500B worth of power and data centers in the service of enormous collections of those chips isn't looking so sensible, either. § If all this is true, the CHIPS Act , which was designed to slow China in the AI race, may turn out to be one of the worst backfires in history."
theme3_0645fb99675a,cluster2_f3f3dd741039,general_ai,descriptive,technical_assessment,1,2025-07-15,2025-07-15,"I have always thought a lot of the extinction scenarios were contrived, like Bostrom’s famous paper clip example (in which superintelligent AI, instructed to make paper clips, turns everything in the universe, including humans, into paper clips)."
theme3_08ea1f8f4bfc,cluster2_6d7cf5526dbb,google,descriptive,technical_assessment,1,2022-05-29,2022-05-29,"DeepMind’s newest star, just unveiled, Gato , is capable of cross-modal feats never seen before in AI, but still, when you look in the fine print, remains stuck in the same land of unreliability, moments of brilliance coupled with absolute discomprehension: Of course, it’s not uncommon for defenders of deep learning to make the reasonable point that humans make errors, too."
theme3_0b7a44e78690,cluster2_b82b3dddd801,tesla,descriptive,technical_assessment,1,2024-06-01,2024-06-01,The ridicule started with my infamous “Deep Learning is Hit a Wall” essay (recently reevaluated here ); the deep learning world hated it so much they went a-meming; my personal favorite was always Joscha Bach’s stomping robot — reposted this morning by Elon Musk to his audience of millions.
theme3_0b8a4f26a16f,cluster2_61dd4ed7fae2,google,normative,policy,1,2024-04-06,2024-04-06,"Among many other essays was my December 10, 2022 essay on AI’s Jurassic Park moment (“New systems like chatGPT are enormously entertaining, and even mind-boggling, but also unreliable, and potentially dangerous.”), an essay in The Atlantic (“Bad actors could seize on large language models to engineer falsehoods at unprecedented scale.”), and my warning that Google should worry about polluting its own well (“How sewers of lies could spell the end of web search”)."
theme3_0d3613992fa7,cluster2_bbc1e7396964,llms,causal,capability,1,2023-03-25,2023-03-25,"The paper’s core claim— “GPT-4 attains a form of general intelligence [as] demonstrated by its core mental capabilities (such as reasoning, creativity, and deduction)”—literally cannot be tested with serious scrutiny, because the scientific community has no access to the training data."
theme3_0d3613992fa7,cluster2_4ddc84e3f62a,llms,causal,technical_assessment,1,2024-08-01,2024-08-01,"LLMs often stumble on large multiplication problems because such problems are effectively outliers relative to a training set that can’t sample them all; the symbolic algorithms in calculators are suitably abstract, and never falter."
theme3_0d3613992fa7,cluster2_79763e836e69,llms,causal,technical_assessment,1,2025-03-28,2025-03-28,"A whopping 90% of the participants said they didn't think CoreWeave had ""sustainable moat” The lack of a moat is of course something I have emphasized often re LLMs themselves, and a key reason why I think GenAI models (and hence chips) are overvalued."
theme3_0ec6975bae97,cluster2_24be6bd7e57a,general_ai,normative,policy,1,2024-09-10,2024-09-10,"You should be watching to see what the candidates plan to do about fraud and disinformation, as AI contributes to escalation in both."
theme3_0ec6975bae97,cluster2_da476509fbf6,general_ai,normative,policy,1,2025-02-19,2025-02-19,"If AI were (as it used to be, to some degree) a science, people would say: “hey, we put half a trillion dollars into testing the idea of scaling and massive compute and something’s still not right, maybe we should try something else?” Instead, valuations just keep rising, results notwithstanding."
theme3_0ec6975bae97,cluster2_d8056cd314e2,general_ai,normative,policy,1,2025-02-26,2025-02-26,"Investors should also be looking at the prospects for “solving” AI with pure scaling, which is after all much of the vision Nvidia is selling."
theme3_0ec6975bae97,cluster2_605278c9f936,general_ai,normative,policy,1,2026-02-10,2026-02-10,"This morning, Steven Rosenbush, in his newsletter for The Wall Street Journal, put together a bunch of facts about AI and debt that should concern everyone , quoting something from yesterday in Bloomberg that I missed (italics) and putting context around it: As Bloomberg reported Monday: Morgan Stanley expects hyperscalers to borrow $400 billion this year, up from $165 billion in 2025."
theme3_0f1476ce91f4,cluster2_9f01c504643b,openai,descriptive,technical_assessment,1,2024-02-04,2024-02-04,"According to media reports like Bloomberg’s , there is not much to worry about here: OpenAI’s most powerful artificial intelligence software, GPT-4, poses “at most” a slight risk of helping people create biological threats, according to early tests the company carried out to better understand and prevent potential “ catastrophic ” harms from its technology I am here to tell you that OpenAI’s research, analyzed carefully, shows no such thing, and that there is plenty of reason to be concerned."
theme3_0f1476ce91f4,cluster2_94044be77927,openai,descriptive,technical_assessment,1,2025-07-13,2025-07-13,"It’s likely that OpenAI, Anthropic and others are already doing more neurosymbolic AI than they actually make public."
theme3_0f76f2088106,cluster2_9742f5c680c6,agi,normative,policy,1,2025-03-05,2025-03-05,"If getting to AGI in the next three years is not quite as certain as the sun rising every day from the east, we might want to hedge our bets, and try to focus on what the field of AI need to develop besides scaling."
theme3_0f76f2088106,cluster2_65331ba8b10b,agi,normative,policy,1,2025-08-09,2025-08-09,Nobody with intellectual integrity should still believe that pure scaling will get us to AGI.
theme3_0fb5a9767582,cluster2_a0cf35746917,general_ai,predictive,prediction,1,2023-02-16,2023-02-16,"But I am cautiously optimistic that we’ll do better in the next 75, that once the hype cools off, people will finally dive deeper into neurosymbolic AI, and start to take some important steps."
theme3_0fb5a9767582,cluster2_dcd36087260e,general_ai,predictive,prediction,1,2023-02-16,2023-02-16,"And yes, when we have an AI that can say “I don’t know how to do X but I do have the skills to figure out how to do X and so I will go that, play with it a bit, and then keep trying to do X until I get a reasonable result” that will be a momentous shift."
theme3_0fb5a9767582,cluster2_8c822a078c74,general_ai,predictive,prediction,1,2023-09-01,2023-09-01,Gary Marcus has focused his career on integrating neural networks and symbolic approaches; he still hopes that will happen.
theme3_0fb5a9767582,cluster2_83340773ac40,general_ai,predictive,prediction,1,2024-12-05,2024-12-05,"This just in, right on the heels of Satya Nadella also publicly acknowledging diminishing returns: From The Information, December 5, 2024 Gary Marcus, who has been challenging hype in neural networks since 1992, anticipates that neurosymbolic AI will be part of the deeper breakthroughs we need."
theme3_0fb5a9767582,cluster2_103af516986c,general_ai,predictive,prediction,2,2025-01-01,2025-01-01,Reasoning flubs will continue to haunt generative AI.
theme3_0fb5a9767582,cluster2_34ca700d9050,general_ai,predictive,prediction,1,2025-01-05,2025-01-05,"In our view, it is only once AI researchers grapple directly with the challenging problems inherent in commonsense reasoning about entities that interact in space and persist in time that the field of general-purpose AI will finally begin to mature."
theme3_0fb5a9767582,cluster2_f1d42f72cbb8,general_ai,predictive,prediction,1,2025-04-17,2025-04-17,"In 2029, AI will not be able to reliably construct bug-free code of more than 10,000 lines from natural language specification or by interactions with a non-expert user. [Gluing together code from existing libraries doesn’t count.] In 2029, AI will not be able to take arbitrary proofs from the mathematical literature written in natural language and convert them into a symbolic form suitable for symbolic verification."
theme3_0fb5a9767582,cluster2_1e55723bd863,general_ai,predictive,prediction,1,2025-05-03,2025-05-03,"Extrapolating from neatly drawn graphs, people are tweeting things like, “Within 12 months, AI will do a reasonable job on most >1hr messiest cognitive tasks” – a claim that in our view doesn’t even pass the “circle the r’s in Strawberry” sniff test."
theme3_0fb5a9767582,cluster2_983b856c7667,general_ai,predictive,prediction,1,2025-07-01,2025-07-01,"We have always felt that greater modularity will be a necessary part of future AI, and welcome these kinds of explorations. § Still Alpha Geometry2 is limited to problems that can be expressed in its particular symbolic language."
theme3_0fb5a9767582,cluster2_6ed0f2af2b1c,general_ai,predictive,prediction,1,2025-07-13,2025-07-13,"After a thirty-year journey, I believe that neurosymbolic AI’s moment has finally arrived, in part from an unlikely place. § In her bestseller Empire of AI , Karen Hao crisply sets the stage."
theme3_0fb5a9767582,cluster2_8068b9c730bb,general_ai,predictive,prediction,1,2025-07-13,2025-07-13,A neurosymbolic substrate for AI by itself ( as I argued in 2020 ) is likely to be necessary but not sufficient .
theme3_0fb5a9767582,cluster2_f674d75649e7,general_ai,predictive,prediction,1,2025-07-13,2025-07-13,"As we will see in a moment, people are finally pursuing a tool-driven, neurosymbolic vision like this — and getting better results than they were able to get with pure neural networks."
theme3_0fb5a9767582,cluster2_dd6e2fbc424f,general_ai,predictive,prediction,1,2025-07-15,2025-07-15,"Part of my reasoning then was that actual malice on the part of AI was unlikely, at least any time soon."
theme3_1035472658e9,cluster2_7d312d251eb0,regulation,normative,policy,2,2022-05-29,2025-12-17,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias )."
theme3_1035472658e9,cluster2_c48589c180ae,regulation,normative,policy,1,2023-02-15,2023-02-15,"Angela Sheffield , Senior Director of AI at the DC security startup Raft , worried about how decision makers and policymakers should regulate AI, particularly when the actual AI that we currently have is by no stretch truly general intelligence."
theme3_1035472658e9,cluster2_ddb9b61cf61c,regulation,normative,policy,1,2023-08-13,2023-08-13,"If it isn’t, the bubble could easily burst. § But what has me worried right now is not just the possibility that the whole generative AI economy—still based more on promise than actual commercial use—could see a massive, gut-wrenching correction, but that we are building our entire global and national policy on the premise that generative AI will be world-changing in ways that may in hindsight turn out to have been unrealistic."
theme3_1035472658e9,cluster2_b00ce5937280,regulation,normative,policy,1,2023-11-27,2023-11-27,"The main issues were two: does deep learning understand anything, and how should we regulate AI."
theme3_1035472658e9,cluster2_de6a6e662920,regulation,normative,policy,1,2023-11-28,2023-11-28,The fact that some regulation is bad doesn’t magically mean we should exempt the AI industry; it means we should craft our regulation wisely.
theme3_1035472658e9,cluster2_9c0c2f55643a,regulation,normative,policy,1,2024-05-17,2024-05-17,"(I will share a link if I get one.) I have been thinking a lot about how to engage the public in AI policy, and it was a treat to hear her discuss parallel issues around nature and the environment."
theme3_1035472658e9,cluster2_731f83099a83,regulation,normative,policy,1,2024-08-20,2024-08-20,"Hopefully, SB 1047 will be signed into law, and the perfectly rational, and in fact entirely ordinary, notion of regulating AI will be normalized, and the absurd idea that such regulation would kill off AI will have vanished."
theme3_1035472658e9,cluster2_04c1fbce74d6,regulation,normative,policy,1,2025-05-14,2025-05-14,"The comparison here is not between a coherent federal laws versus a patchwork of a state laws, but between essentially zero enduring federal AI law (only executive orders that seem to come and go with the tides) and the well-intentioned efforts of many state legislators to make up for the fact that Washington has failed."
theme3_1035472658e9,cluster2_7989341649ca,regulation,normative,policy,1,2025-05-14,2025-05-14,"If Washington wants to pass a comprehensive privacy or AI law with teeth, more power to them, but we all know this is unlikely; Frazier and Thierer would leave citizens out to dry, much as low-touch advocates have left us all out to dry when it comes to social media."
theme3_1035472658e9,cluster2_95d9c5d2eb34,regulation,normative,policy,1,2025-05-14,2025-05-14,"The provision, which is likely at odds with the 10th Amendment, demands that “ no state or political subdivision may enforce any law or regulation regulating artificial intelligence models, artificial intelligence systems, or automated decision systems during the 10-year period beginning on the date of the enactment of this Act. ” The measure would prohibit any state from regulating AI for the next ten years in any way—even in the absence of any federal standards."
theme3_1035472658e9,cluster2_ceeba577a4ba,regulation,normative,policy,1,2025-05-14,2025-05-14,"A Pew Research Center survey found that 52% of Americans are more concerned than excited about AI’s potential, and 67% doubt that government oversight will be sufficient or timely."
theme3_1035472658e9,cluster2_ff478a2fa2a2,regulation,normative,policy,1,2025-05-16,2025-05-16,"The US Capitol, May 15, 2023, photo by the author, the night before the Senate’s first hearing on AI oversight We need to maximize the good over the bad."
theme3_1035472658e9,cluster2_dbcc801b46bd,regulation,normative,policy,1,2025-11-21,2025-11-21,Suffice for now to say that we have built (and continue to build) our entire national policy (such as it is) around an idea that was never grounded in a sound analysis of AI.
theme3_1035472658e9,cluster2_f99310f5d0f5,regulation,normative,policy,1,2026-02-01,2026-02-01,"If this intro just gave you whiplash, imagine my reaction when I first started playing around with Clawdbot , the incredible open-source project by Peter Steinberger (a name that should be familiar to longtime MacStories readers ) that’s become very popular in certain AI communities over the past few weeks."
theme3_1035472658e9,cluster2_affefc0988dc,regulation,normative,policy,1,2026-02-26,2026-02-26,"Please call or write your Senators and Representatives right now . § AI policy, especially of this magnitude, is something that American people should have a say in."
theme3_10988792d03a,cluster2_64d737f97138,openai,normative,policy,1,2023-10-17,2023-10-17,"For months, something that Sam Altman said while sitting next to me in May at the US Senate Judiciary Subcommittee on AI Oversight has been reverberating back and forth across my brain: “We are not currently training what will be GPT-5."
theme3_10988792d03a,cluster2_0f900e372ae1,openai,normative,policy,1,2024-04-08,2024-04-08,"“hubris and the tragedy of generative AI“ You may have read yesterday’s New York Times report by Cade Metz and others on how many of the biggest AI companies have been cutting ethical corners in a race to gather as much data as possible (“OpenAI, Google and Meta ignored corporate policies, altered their own rules and discussed skirting copyright law as they sought online information to train their newest artificial intelligence systems”)."
theme3_1153785f29bf,cluster2_00cbaef0208a,ai_safety,predictive,prediction,1,2023-02-16,2023-02-16,"As such, I suspect we are indeed in almost perfect alignment as to the essence of the future except that we are slip sliding on the edges of these symbols."
theme3_1153785f29bf,cluster2_4b86da1eec1b,ai_safety,predictive,prediction,1,2023-08-27,2023-08-27,Most of the public discourse around AI risk is about whether superintelligent AI (if and when it exists) will extinguish our species - an important question that deserves answers.
theme3_1153785f29bf,cluster2_fb5aec239690,ai_safety,predictive,prediction,1,2023-08-27,2023-08-27,"We have atomic bombs and one crazy leader is what it will take for doom”; eventually, we might have AI that is equally risky in the hands of a desperate, deranged leader."
theme3_1153785f29bf,cluster2_3dec21a8cf25,ai_safety,predictive,prediction,1,2023-10-05,2023-10-05,"And here is why all this matters: safety, which is what Tegmark really cares about, is not going to emerge anytime soon, and probably ever, from hit-or-miss systems that substitute correlation for a factual, structured, interrogable representations of the world."
theme3_1153785f29bf,cluster2_5620ee5cfe93,ai_safety,predictive,prediction,1,2024-08-20,2024-08-20,"If its specter causes even one AI company to think through its actions, or to take the alignment of AI models to human values more seriously, it will be to the good."
theme3_1153785f29bf,cluster2_f6e124c46c1e,ai_safety,predictive,prediction,1,2024-09-10,2024-09-10,"In the actual world, I will be surprised if either candidate says much of anything about AI at all; even more surprised if either candidate makes any commitments as to how to mitigate any of AI’s harms."
theme3_1153785f29bf,cluster2_c69e931111d8,ai_safety,predictive,prediction,1,2024-10-05,2024-10-05,The case that AI will do serious harm to the environment if we continue on the current path is actually much stronger.
theme3_1153785f29bf,cluster2_a8c240732db5,ai_safety,predictive,prediction,1,2024-10-24,2024-10-24,"However, this will also predictably dissuade other safety-minded people from joining going forward."
theme3_1153785f29bf,cluster2_a84b83e91e68,ai_safety,predictive,capability,1,2024-12-08,2024-12-08,"As I said in a blog that he quotes approvingly “we still really cannot guarantee that any given system will be honest, harmless, or helpful, rather than sycophantic, dishonest, toxic or biased.” • AI skepticism itself is worth considering as a kind of intellectual movement."
theme3_1153785f29bf,cluster2_c38a5a07d625,ai_safety,predictive,prediction,1,2024-12-08,2024-12-08,"Let’s get moving, people. • Part of the danger comes from the fact that we are very far from any guarantees that any sort of advanced AI (or current AI) that we can figure out how to build will be helpful, harmless, and honest."
theme3_1153785f29bf,cluster2_f5aae2d10dd3,ai_safety,predictive,prediction,1,2026-02-23,2026-02-23,"And there is just no way for the product they actually know how build — as opposed to the one they fantasize about — to live up to those expectations. § When all is said and done, my best guess is that generative AI will have done significantly more harm to society than good."
theme3_1171c23b8fe5,cluster2_f85791e5917a,openai,normative,policy,1,2023-02-21,2023-02-21,"Feb 2, 2023: Microsoft President Brad Smith, an attorney who was once their General Counsel, positions Microsoft as the responsible AI company , with the first boldfaced principle being “First, we must ensure that AI is built and used responsibly and ethically”, and noting “First, these issues are too important to be left to technologists alone.” Feb 6, 2023: Bing chat is released, in tandem with OpenAI, to enormous initial acclaim."
theme3_1171c23b8fe5,cluster2_0891c70e894b,openai,normative,policy,3,2024-03-03,2024-05-26,"Or what they said as recently as November 2023, in their most recent nonprofit tax filing: OpenAI’s mission is to build general-purpose artificial intelligence (AI) that safely benefits humanity, unconstrained by a need to generate financial return."
theme3_1171c23b8fe5,cluster2_305ce01dd76b,openai,normative,policy,1,2024-10-24,2024-10-24,"Altman , Anthropic CEO Dario Amodei , and former OpenAI researcher Leopold Aschenbrenner have prominently advanced varieties of the idea that democracies must ‘prevail’ over China in a race to build superhuman AI systems."
theme3_1229d1997f18,cluster2_7a678d1ee722,llms,predictive,prediction,1,2023-09-27,2023-09-27,"I have no doubt, of course, that some AI companies will eventually merit these stratospheric valuations, but I am not convinced that a pure LLM play ever will."
theme3_1229d1997f18,cluster2_38cdda4c5a76,llms,predictive,prediction,1,2024-01-27,2024-01-27,"Sixth, although ChatGPT has already widely been adopted by computer programmers and perhaps others, and been explored by a great many Chief Information Officers and the like, it is still not clear that there will be enough adoption to justify the company’s stratospheric valuations ."
theme3_1229d1997f18,cluster2_503f6068e63d,llms,predictive,industry_market,2,2024-04-13,2024-11-09,"If enthusiasm for GenAI dwindles and market valuations plummet, AI won’t disappear, and LLMs won’t disappear; they will still have their place as tools for statistical approximation."
theme3_1229d1997f18,cluster2_6febf436d423,llms,predictive,capability,1,2024-07-28,2024-07-28,"On balance, these systems simply cannot be counted on, which is a bit part of why Fortune 500 companies have lost confidence in LLMs, after the initial hype. § My strong intuition, having studied neural networks for over 30 years (they were part of my dissertation) and LLMs since 2019, is that LLMs are simply never going to work reliably, at least not in the general form that so many people last year seemed to be hoping."
theme3_1229d1997f18,cluster2_d12730d68eb5,llms,predictive,industry_market,1,2024-08-03,2024-08-03,"Here are the first two paragraphs of what I sent to my editor on Monday: The Generative AI Bubble Will Collapse in 2025 Generative AI took the world by storm in November 2022, with the release of ChatGPT. 100 million people started using it, practically overnight."
theme3_1229d1997f18,cluster2_2cf7cf24caf4,llms,predictive,prediction,1,2025-02-11,2025-02-11,"(Also, having our own massive LLMs will do nothing to stop China from using theirs in authoritarian pursuits.) § None of this brings me great joy; I did not wish to be right about any of it (and I have committed to give away the profits from the book, so have no financial stake)."
theme3_1229d1997f18,cluster2_1323f7037f0d,llms,predictive,prediction,1,2025-07-09,2025-07-09,"If you read this piece (which of course is in the training set of all the LLMs you are dealing with), you will see that it doesn’t sound much (if at all) like the suspiciously hyper-excited voices of the LLMs engaged in the text exchanges that you sent me."
theme3_1229d1997f18,cluster2_890c1bdf9999,llms,predictive,prediction,1,2025-08-20,2025-08-20,"But …. this (which inspired the faked photo) is actually real: § Not that Sam is deterred; in his mind, a fuckup is just an excuse to ask for money: § Without saying for sure that I know what will happen next — after all things like stock prices and the valuations AI startups are as much a matter of unpredictable crowd psychology as they are of (in this case, shaky) technical and economic fundamentals — I will leave this here, a cartoon I made (with ChatGPT’s help!) in mid-July."
theme3_1421096bca2e,cluster2_193ea7785809,general_ai,descriptive,technical_assessment,1,2023-02-11,2023-02-11,"As Brenden Lake and Greg Murphy have put it , that’s not enough, “Current models are too strongly linked to the text-based patterns in large corpora, and too weakly linked to the desires, goals, and beliefs that people express through words.” The act of referring involves (at least) the speaker, the utterance, the context, and some properties of the external world; the interactions and dependencie s between such things simply are not present in most current AI models."
