date,slug,title,url,category,claim_text,evidence_excerpt,file_path
2023-02-09,oops-how-google-bombed-while-doing,Marcus on AI,https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing,forecast,"I will always remember today (my birthday no less), February 8, 2023, as the day in which a chatbot-induced hallucination cost Alphabet $100 billion .","I will always remember today (my birthday no less), February 8, 2023, as the day in which a chatbot-induced hallucination cost Alphabet $100 billion .",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-09_oops-how-google-bombed-while-doing.txt
2023-02-11,does-ai-really-need-a-paradigm-shift,Marcus on AI,https://garymarcus.substack.com/p/does-ai-really-need-a-paradigm-shift,prescription,"E.g., if the field were to turn from simply scaling (GPT-3 is pretty much just GPT-2 but bigger) to using large language models as only one component in a larger architecture , with things like writable/readable discrete memory for symbolic propositions, I certainly think we should view that as a paradigm shift.","E.g., if the field were to turn from simply scaling (GPT-3 is pretty much just GPT-2 but bigger) to using large language models as only one component in a larger architecture , with things like writable/readable discrete memory for symbolic propositions, I certainly think we shou",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_does-ai-really-need-a-paradigm-shift.txt
2023-02-11,does-ai-really-need-a-paradigm-shift,Marcus on AI,https://garymarcus.substack.com/p/does-ai-really-need-a-paradigm-shift,limitation,"In inaccurately portraying me as a lone crusader, Alexander has not given the scaling is not enough for AGI view the “steelman” treatment that he is known for delivering.","In inaccurately portraying me as a lone crusader, Alexander has not given the scaling is not enough for AGI view the “steelman” treatment that he is known for delivering.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_does-ai-really-need-a-paradigm-shift.txt
2023-02-11,does-ai-really-need-a-paradigm-shift,Marcus on AI,https://garymarcus.substack.com/p/does-ai-really-need-a-paradigm-shift,forecast,"Where has his steelperson aspiration gone? 1 Another rhetorical trick is to paint me as a lone, lunatic voice, as if I were the only person doubting that scaling will get us to AGI (whatever that is) when in fact there are loads of people with similar concerns.","Where has his steelperson aspiration gone? 1 Another rhetorical trick is to paint me as a lone, lunatic voice, as if I were the only person doubting that scaling will get us to AGI (whatever that is) when in fact there are loads of people with similar concerns.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_does-ai-really-need-a-paradigm-shift.txt
2023-02-11,horse-rides-astronaut,Marcus on AI,https://garymarcus.substack.com/p/horse-rides-astronaut,prescription,"If we are to retain any credibility, this should stop. … It is hard to say where [we] have gone wronger, in underestimating language or overestimating computer programs.” — Drew McDermott, 1949-2022, in the 1976 essay Artificial Intelligence and Natural Stupidity In April, Open AI released a neural network model called DALL-E 2 that blew people’s minds; last week a new model came out from Google Brain called Imagen , and it was even better.","If we are to retain any credibility, this should stop. … It is hard to say where [we] have gone wronger, in underestimating language or overestimating computer programs.” — Drew McDermott, 1949-2022, in the 1976 essay Artificial Intelligence and Natural Stupidity In April, Open A",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_horse-rides-astronaut.txt
2023-02-11,horse-rides-astronaut,Marcus on AI,https://garymarcus.substack.com/p/horse-rides-astronaut,limitation,"More broadly, as Ernie Davis put it in an email to me earlier this week, “ the fact that, if you play around with prompts long enough, you can eventually get what you want, is relevant to some forms of human-in-the-loop AI but it won't cut the mustard for reliable AI.” § Some important caveats apply; my entire analysis is a bit like found art ; it’s science from the tea leaves Google deigned to share, rather than a proper experiment.","More broadly, as Ernie Davis put it in an email to me earlier this week, “ the fact that, if you play around with prompts long enough, you can eventually get what you want, is relevant to some forms of human-in-the-loop AI but it won't cut the mustard for reliable AI.” § Some imp",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_horse-rides-astronaut.txt
2023-02-11,horse-rides-astronaut,Marcus on AI,https://garymarcus.substack.com/p/horse-rides-astronaut,prescription,"The mascot for all of the current enthusiasm has been an image of an astronaut on a horse jumping over the moon; if AI today can draw horses jumping over the moon, each system better than last, I can see how it is tempting to conclude “AGI” (artificial general intelligence) must be imminent.","The mascot for all of the current enthusiasm has been an image of an astronaut on a horse jumping over the moon; if AI today can draw horses jumping over the moon, each system better than last, I can see how it is tempting to conclude “AGI” (artificial general intelligence) must ",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_horse-rides-astronaut.txt
2023-02-11,noam-chomsky-and-gpt-3,Marcus on AI,https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3,other,"(It would likely also have considerable payoff for engineering, but that’s a story for another day.) If Chomsky’s more than a little disappointed about by the attention surrounding systems like GPT-3, it’s because all this emphasis on statistical machines has distracted away from the incredibly important questions about the very nature of human language and cognition that he spent his career rightly trying to call attention to.","(It would likely also have considerable payoff for engineering, but that’s a story for another day.) If Chomsky’s more than a little disappointed about by the attention surrounding systems like GPT-3, it’s because all this emphasis on statistical machines has distracted away from",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_noam-chomsky-and-gpt-3.txt
2023-02-11,noam-chomsky-and-gpt-3,Marcus on AI,https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3,other,"A system like GPT can thus be quite capable of predicting how any given set of words might be continued; if you say “it’s a nice day; the sky is __“, GPT may well anticipate that a typical human response would be to guess that the word “blue” likely comes next—without having a basis to understand what the word blue means, or why human beings like skies that are blue.","A system like GPT can thus be quite capable of predicting how any given set of words might be continued; if you say “it’s a nice day; the sky is __“, GPT may well anticipate that a typical human response would be to guess that the word “blue” likely comes next—without having a ba",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_noam-chomsky-and-gpt-3.txt
2023-02-11,noam-chomsky-and-gpt-3,Marcus on AI,https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3,prescription,"Although there is no such thing as a truly blank slate, since all computational systems must start with some sort of algorithm in order to analyze whatever data they encounter, systems like GPT-3 come about as close to blank slates as is feasible, relying on immense amounts of experience to bootstrap whatever knowledge they might have.","Although there is no such thing as a truly blank slate, since all computational systems must start with some sort of algorithm in order to analyze whatever data they encounter, systems like GPT-3 come about as close to blank slates as is feasible, relying on immense amounts of ex",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_noam-chomsky-and-gpt-3.txt
2023-02-11,nonsense-on-stilts,Marcus on AI,https://garymarcus.substack.com/p/nonsense-on-stilts,other,"But 8 years later I doubt most people (even in AI) have ever even heard of his program, outside of my mentioning it here.","But 8 years later I doubt most people (even in AI) have ever even heard of his program, outside of my mentioning it here.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_nonsense-on-stilts.txt
2023-02-11,nonsense-on-stilts,Marcus on AI,https://garymarcus.substack.com/p/nonsense-on-stilts,forecast,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.","None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_nonsense-on-stilts.txt
2023-02-11,three-ideas-from-linguistics-that,Marcus on AI,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that,other,"June 29-30, 2022 [free registration required] 1 Considerable efforts are being made towards making “cross-modal” models like Gato that take in visual input as well strings of words; we think this is well worth investigating but unlikely in itself to suffice . 2 Arguments like Steven Piantadosi’s recent claim that the internal states of current neural networks represent semantic information that might be tantamount to meaning run up against this.","June 29-30, 2022 [free registration required] 1 Considerable efforts are being made towards making “cross-modal” models like Gato that take in visual input as well strings of words; we think this is well worth investigating but unlikely in itself to suffice . 2 Arguments like Ste",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_three-ideas-from-linguistics-that.txt
2023-02-11,three-ideas-from-linguistics-that,Marcus on AI,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that,other,"Rather, it means identify the second of the balls that are blue, regardless of which position; systems like GPT-3 likely have trouble with this sort of thing, as Ernie Davis just reported to us in an email. 3 Much simpler examples also serve to illustrate the point.","Rather, it means identify the second of the balls that are blue, regardless of which position; systems like GPT-3 likely have trouble with this sort of thing, as Ernie Davis just reported to us in an email. 3 Much simpler examples also serve to illustrate the point.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_three-ideas-from-linguistics-that.txt
2023-02-11,three-ideas-from-linguistics-that,Marcus on AI,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that,forecast,"The words will be fluid, because the model has mapped the query onto sentence fragments that contain phrases like “is good because”, but there is no referent in the system to what a sock actually is, or what meditation is.","The words will be fluid, because the model has mapped the query onto sentence fragments that contain phrases like “is good because”, but there is no referent in the system to what a sock actually is, or what meditation is.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_three-ideas-from-linguistics-that.txt
2023-02-11,what-does-it-mean-when-an-ai-fails,Marcus on AI,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails,forecast,"I am willing to bet SlateStarCodex now (terms to be negotiated) that if OpenAI gives us unrestricted access to GPT-4, whenever that is released, and assuming that is basically the same architecture but with more data, that within a day of playing around with it, Ernie and I will still be able find lots of examples of failures in physical reasoning, temporal reasoning, causal reasoning, and so forth .","I am willing to bet SlateStarCodex now (terms to be negotiated) that if OpenAI gives us unrestricted access to GPT-4, whenever that is released, and assuming that is basically the same architecture but with more data, that within a day of playing around with it, Ernie and I will ",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_what-does-it-mean-when-an-ai-fails.txt
2023-02-11,what-does-it-mean-when-an-ai-fails,Marcus on AI,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails,forecast,"Maybe it will take three paragraphs in a prompt rather than one to break it, but a big Transformer alone does not a a theory of the world create.","Maybe it will take three paragraphs in a prompt rather than one to break it, but a big Transformer alone does not a a theory of the world create.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_what-does-it-mean-when-an-ai-fails.txt
2023-02-11,what-does-it-mean-when-an-ai-fails,Marcus on AI,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails,forecast,"The it’s-not-true-intelligence objectors find other, slightly less trivial tasks that the new bigger AI still fails horribly at, then argue that surely these are the tasks that require true intelligence and that mere clever pattern-matchers will never complete.","The it’s-not-true-intelligence objectors find other, slightly less trivial tasks that the new bigger AI still fails horribly at, then argue that surely these are the tasks that require true intelligence and that mere clever pattern-matchers will never complete.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_what-does-it-mean-when-an-ai-fails.txt
2023-02-11,what-does-it-mean-when-an-ai-fails,Marcus on AI,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails,forecast,"The overall goalposts have remained the same; they are all in our 2019 book, Rebooting AI , which went to press before we had ever heard of GPT-2. 2 Maybe we will find fewer absolute howlers per attempt than we did with GPT-3, but it still won’t be so proficient as to have developed a genuine causal model of the world.","The overall goalposts have remained the same; they are all in our 2019 book, Rebooting AI , which went to press before we had ever heard of GPT-2. 2 Maybe we will find fewer absolute howlers per attempt than we did with GPT-3, but it still won’t be so proficient as to have develo",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_what-does-it-mean-when-an-ai-fails.txt
2023-02-11,will-tesla-ever-solve-full-self-driving,Marcus on AI,https://garymarcus.substack.com/p/will-tesla-ever-solve-full-self-driving,prescription,"It calls its stuff “Autopilot” and “Full Self Driving”, but it tells the state of California that it doesn’t need to supply self-driving intervention rates because it’s software is actually only Level 2.","It calls its stuff “Autopilot” and “Full Self Driving”, but it tells the state of California that it doesn’t need to supply self-driving intervention rates because it’s software is actually only Level 2.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_will-tesla-ever-solve-full-self-driving.txt
2023-02-11,will-tesla-ever-solve-full-self-driving,Marcus on AI,https://garymarcus.substack.com/p/will-tesla-ever-solve-full-self-driving,prescription,The whole point of “Full” self-driving is that the car should be able take you from point A to point B without requiring a human to pay attention at all.,The whole point of “Full” self-driving is that the car should be able take you from point A to point B without requiring a human to pay attention at all.,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-11_will-tesla-ever-solve-full-self-driving.txt
2023-02-12,learning-language-is-harder-than,Marcus on AI,https://garymarcus.substack.com/p/learning-language-is-harder-than,prescription,"(Implied bonus: systems like GPT-3 are pretty good at memorizing stuff, so we must be pretty close to solving the mystery of language acquisition.) You don’t, the thread seems to suggest, need all these complex devices like grammatical rules and syntax (grammar) trees that Chomsky and his other linguists have labored to understand.","(Implied bonus: systems like GPT-3 are pretty good at memorizing stuff, so we must be pretty close to solving the mystery of language acquisition.) You don’t, the thread seems to suggest, need all these complex devices like grammatical rules and syntax (grammar) trees that Chomsk",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-12_learning-language-is-harder-than.txt
2023-02-12,whats-wrong-with-googles-new-robot,Marcus on AI,https://garymarcus.substack.com/p/whats-wrong-with-googles-new-robot,other,"And the more actions a robot might consider, the worse performance is likely to be.","And the more actions a robot might consider, the worse performance is likely to be.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-12_whats-wrong-with-googles-new-robot.txt
2023-02-12,whats-wrong-with-googles-new-robot,Marcus on AI,https://garymarcus.substack.com/p/whats-wrong-with-googles-new-robot,limitation,"Big data won’t be enough to solve the problems of robotics: If you're talking about having a robot in your home—I'm still dreaming of Rosie the robot that's going to take care of my domestic situation—you can't afford for it to make mistakes. [Reinforcement learning, popular then and part of the new Google system] is very much about trial and error on an enormous scale.","Big data won’t be enough to solve the problems of robotics: If you're talking about having a robot in your home—I'm still dreaming of Rosie the robot that's going to take care of my domestic situation—you can't afford for it to make mistakes. [Reinforcement learning, popular then",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-12_whats-wrong-with-googles-new-robot.txt
2023-02-12,whats-wrong-with-googles-new-robot,Marcus on AI,https://garymarcus.substack.com/p/whats-wrong-with-googles-new-robot,limitation,"If you have a robot at home, you can't have it run into your furniture too many times.","If you have a robot at home, you can't have it run into your furniture too many times.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-12_whats-wrong-with-googles-new-robot.txt
2023-02-12,whats-wrong-with-googles-new-robot,Marcus on AI,https://garymarcus.substack.com/p/whats-wrong-with-googles-new-robot,prescription,"Three ideas from linguistics that everyone in AI should know and The New Science of Alt Intelligence ) , that’s because large language models are superficial statistical mimics, rather than systems that traffic in rich cognitive models of the world around them.","Three ideas from linguistics that everyone in AI should know and The New Science of Alt Intelligence ) , that’s because large language models are superficial statistical mimics, rather than systems that traffic in rich cognitive models of the world around them.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-12_whats-wrong-with-googles-new-robot.txt
2023-02-13,deepfakes-versus-deep-understanding,Marcus on AI,https://garymarcus.substack.com/p/deepfakes-versus-deep-understanding,prescription,Pranab Ghosh posted this on LinkedIn (GPT-3 in italic) Q what should I do if my pig starts flying?,Pranab Ghosh posted this on LinkedIn (GPT-3 in italic) Q what should I do if my pig starts flying?,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_deepfakes-versus-deep-understanding.txt
2023-02-13,did-googleai-just-snooker-one-of,Marcus on AI,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of,forecast,A will to believe in AI will never replace the need for careful science.,A will to believe in AI will never replace the need for careful science.,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_did-googleai-just-snooker-one-of.txt
2023-02-13,did-googleai-just-snooker-one-of,Marcus on AI,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of,other,"Elon Musk, for example, recently said that it was more likely than not that we would see AGI by 2029 .","Elon Musk, for example, recently said that it was more likely than not that we would see AGI by 2029 .",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_did-googleai-just-snooker-one-of.txt
2023-02-13,how-new-are-yann-lecuns-new-ideas,Marcus on AI,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas,prescription,"But, no, we are not done. § The key question is what we as field should do about the fact that you can’t really solve AI from large language models alone.","But, no, we are not done. § The key question is what we as field should do about the fact that you can’t really solve AI from large language models alone.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_how-new-are-yann-lecuns-new-ideas.txt
2023-02-13,how-new-are-yann-lecuns-new-ideas,Marcus on AI,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas,forecast,"LeCun and his collaborator Browning make a strong case that language input alone (which is the kind of thing that GPT-3 is trained on) is not enough, writing an essay called AI And The Limits Of Language arguing that “A system trained on language alone will never approximate human intelligence, even if trained from now until the heat death of the universe.” But here again there’s a lack of credit.","LeCun and his collaborator Browning make a strong case that language input alone (which is the kind of thing that GPT-3 is trained on) is not enough, writing an essay called AI And The Limits Of Language arguing that “A system trained on language alone will never approximate huma",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_how-new-are-yann-lecuns-new-ideas.txt
2023-02-13,sub-optimal,Marcus on AI,https://garymarcus.substack.com/p/sub-optimal,other,"At one point, in the question period, Musk argued that Tesla was likely to contribute to AI (and solve whatever needs solving) because it would have the most data and and the compute, weak version of the implausible alt intelligence hypothesis I discussed in May .","At one point, in the question period, Musk argued that Tesla was likely to contribute to AI (and solve whatever needs solving) because it would have the most data and and the compute, weak version of the implausible alt intelligence hypothesis I discussed in May .",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_sub-optimal.txt
2023-02-13,sub-optimal,Marcus on AI,https://garymarcus.substack.com/p/sub-optimal,forecast,"Second, there was very little vision for how Tesla would build the cognitive part of the AI they will need, beyond the basics of motor control (which Boston Dynamics already does so well), nor much recognition about why robotics is so hard in the real world.","Second, there was very little vision for how Tesla would build the cognitive part of the AI they will need, beyond the basics of motor control (which Boston Dynamics already does so well), nor much recognition about why robotics is so hard in the real world.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_sub-optimal.txt
2023-02-13,sub-optimal,Marcus on AI,https://garymarcus.substack.com/p/sub-optimal,forecast,"The implied subpremise is that lots of people will buy Tesla’s $20k robot, leading to the collection of a lot of data, but that’s speculative at best, and years away even in an optimistic scenario.","The implied subpremise is that lots of people will buy Tesla’s $20k robot, leading to the collection of a lot of data, but that’s speculative at best, and years away even in an optimistic scenario.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_sub-optimal.txt
2023-02-13,sub-optimal,Marcus on AI,https://garymarcus.substack.com/p/sub-optimal,limitation,"The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”.","The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_sub-optimal.txt
2023-02-13,the-new-sport-of-misrepresenting,Marcus on AI,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting,forecast,"(Quite of the few examples that Ernie Davis and I mentioned in Rebooting AI go back a long further, to the 1970s.) It may be boring to hear about the same challenges over and over, but it’s hard to see how we will get to trustworthy general intelligence until these problems are resolved, in ways that are robust, rather than merely statistically contingent.","(Quite of the few examples that Ernie Davis and I mentioned in Rebooting AI go back a long further, to the 1970s.) It may be boring to hear about the same challenges over and over, but it’s hard to see how we will get to trustworthy general intelligence until these problems are r",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_the-new-sport-of-misrepresenting.txt
2023-02-13,the-new-sport-of-misrepresenting,Marcus on AI,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting,other,"I suspect that I have been thinking about AI for longer than Hoel appears to have been alive, quite to the contrary of his false and irrelevant accusation of dilettantism.","I suspect that I have been thinking about AI for longer than Hoel appears to have been alive, quite to the contrary of his false and irrelevant accusation of dilettantism.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_the-new-sport-of-misrepresenting.txt
2023-02-13,the-new-sport-of-misrepresenting,Marcus on AI,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting,prescription,"The heart of Hoel’ss argument boils down to (my words not his) “AI has done better over time on benchmarks so we must be making progress”; in reality, progress can be and often is illusory.","The heart of Hoel’ss argument boils down to (my words not his) “AI has done better over time on benchmarks so we must be making progress”; in reality, progress can be and often is illusory.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_the-new-sport-of-misrepresenting.txt
2023-02-13,too-much-benefit-of-the-doubt,Marcus on AI,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt,forecast,Gary Marcus @GaryMarcus I hereby bet publicly that AI will not fully displace radiologists (as opposed to merely augmenting them) before the year 2033.,Gary Marcus @GaryMarcus I hereby bet publicly that AI will not fully displace radiologists (as opposed to merely augmenting them) before the year 2033.,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_too-much-benefit-of-the-doubt.txt
2023-02-13,too-much-benefit-of-the-doubt,Marcus on AI,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt,other,Hedging with probably makes it sounds like we think there is a viable competitor out there for human general intelligence in the AI world.,Hedging with probably makes it sounds like we think there is a viable competitor out there for human general intelligence in the AI world.,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_too-much-benefit-of-the-doubt.txt
2023-02-13,too-much-benefit-of-the-doubt,Marcus on AI,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt,forecast,"My own public prediction: One day, AI will fully displace radiologists.","My own public prediction: One day, AI will fully displace radiologists.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-13_too-much-benefit-of-the-doubt.txt
2023-02-14,a-few-words-about-bullshit,Marcus on AI,https://garymarcus.substack.com/p/a-few-words-about-bullshit,limitation,"It's as if you took a lot of very good food and some dog excrement and blended it all up so that you can't possibly figure out what's good or bad."" – Douglas Hofstadter MetaAI has got a new AI system—trained on a hardcore diet of science, no less—and Yann LeCun is really, really proud of it: Yann LeCun @ylecun A Large Language Model trained on scientific papers.","It's as if you took a lot of very good food and some dog excrement and blended it all up so that you can't possibly figure out what's good or bad."" – Douglas Hofstadter MetaAI has got a new AI system—trained on a hardcore diet of science, no less—and Yann LeCun is really, really ",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-14_a-few-words-about-bullshit.txt
2023-02-14,a-few-words-about-bullshit,Marcus on AI,https://garymarcus.substack.com/p/a-few-words-about-bullshit,forecast,"Type a text and galactica.ai will generate a paper with relevant references, formulas, and everything.","Type a text and galactica.ai will generate a paper with relevant references, formulas, and everything.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-14_a-few-words-about-bullshit.txt
2023-02-14,bravo-elonmusk-for-wanting-twitter,Marcus on AI,https://garymarcus.substack.com/p/bravo-elonmusk-for-wanting-twitter,forecast,"If you don’t get a handle on the sea of misinformation, Twitter will drown in it.","If you don’t get a handle on the sea of misinformation, Twitter will drown in it.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-14_bravo-elonmusk-for-wanting-twitter.txt
