theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,c2_clusters_merged,claim_occurrences,distinct_horizon_values,horizon_shift_detected,horizon_shift_type,certainty_shift,goalpost_shift_score,goalpost_shift_flag,cluster2_ids,representative_quote
theme3_051f3b425aa5,reasoning_common_sense,llms,predictive,2023-02-15,2025-12-30,9,12,2023-12-31;within_10_years,yes,more_specific_over_time,stable,1,no,cluster2_1031593ed53f;cluster2_166b90afee4c;cluster2_173455421d76;cluster2_3f62528bf4cc;cluster2_927052c5ef1a;cluster2_931b102f5fdb;cluster2_a1470c8802f3;cluster2_a4b7d7f87e1c;cluster2_fc7a0fb9e93e,"Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT."
theme3_edacd814a9aa,hallucination_misinformation,ai_safety,predictive,2023-02-14,2026-01-06,9,11,near_term,no,none,softened,1,no,cluster2_1450ca8b3a7c;cluster2_26e0189a6f88;cluster2_3b04ea466293;cluster2_5dca83675b2f;cluster2_841e64316024;cluster2_94de974940cc;cluster2_9a302b9fca86;cluster2_f92debba6b2a;cluster2_f9e714f7e044,"If you don’t get a handle on the sea of misinformation, Twitter will drown in it."
theme3_9afbf59166e9,copyright_ip,llms,predictive,2023-02-15,2025-07-27,9,11,2024-12-31,no,none,softened,1,no,cluster2_0442b59d24f6;cluster2_27263f2713b8;cluster2_5d53d2d3a2f7;cluster2_757d92826cf1;cluster2_772aa0112527;cluster2_8557f81ac735;cluster2_857d1c20b38c;cluster2_d5db8cbcf963;cluster2_d7ed858e9df3,"When it comes out, it will totally eclipse ChatGPT; it’s safe bet that even more people will be talking about it.."
theme3_843083c99dae,hallucination_misinformation,llms,descriptive,2023-02-16,2025-12-01,11,11,,no,none,softened,1,no,cluster2_102bebbe59bf;cluster2_3dead0b718e0;cluster2_4e5114d1c6d2;cluster2_6cb83b12e457;cluster2_8f966ddd439d;cluster2_9a5bec033295;cluster2_a453bdb54efd;cluster2_ab47c3eb54b3;cluster2_badbd11aabe1;cluster2_e168741f56d0;cluster2_ef7312c16783,"If you treat ChatGPT as a sentient being, when it clearly is not, you are misleading the public into thinking ChatGPT is sentient; rather than communicating good science, you are hyping bullshit."
theme3_aa23f30fb332,safety_alignment,llms,predictive,2023-02-15,2025-12-09,5,7,2022-12-31,no,less_specific_over_time,stable,1,no,cluster2_2e8dd3eba05d;cluster2_9b70fb170a99;cluster2_a96df6a889fe;cluster2_cb480f17ae77;cluster2_ecbbea53d4ed,"And so, against the tremendous optimism for GPT-4 that I have heard from much the AI community, here are seven dark predictions: GPT-4 will still, like its predecessors, be a bull in a china shop, reckless and hard to control ."
theme3_64bd8b6d3a0f,agents_reliability,general_ai,predictive,2023-10-27,2025-08-03,6,7,2025-12-31;near_term,yes,horizon_changed,hardened,1,no,cluster2_84ff11eec967;cluster2_b9d9b4239459;cluster2_bf7dec7e0820;cluster2_cd7b00efa88b;cluster2_d9c466e666f3;cluster2_e7782e3f32bd,"We will eventually see search engines that return neatly written paragraphs, and eventually see AI agents that can organize lives."
theme3_da5470fb91d7,market_hype_bubble,general_ai,predictive,2023-10-27,2026-01-06,7,7,2025-12-31,no,less_specific_over_time,hardened,1,no,cluster2_25c77a574690;cluster2_2cfff3b7fbc1;cluster2_6e695ed1d096;cluster2_6f7fc09a96c4;cluster2_7a89837a0a91;cluster2_802b22d16264;cluster2_fbbd6b0d3f90,"I agree that if Alphabet pull the plug, there will likely be a self-driving winter across the industry (though for now players like Aurora and Waabi may still have plenty of cash)."
theme3_5bb7238346d7,reasoning_common_sense,agi,predictive,2023-02-16,2025-08-09,6,6,2062-12-31,no,less_specific_over_time,hardened,1,no,cluster2_23e68513f1f4;cluster2_582ab5c77c5d;cluster2_ac12b937c62f;cluster2_b2f00526946c;cluster2_ee92ec4e7a8c;cluster2_f4fdda54ded8,"I expect for example that physical reasoning will improve (a radical boon for domestic robots) before psychological reasoning; there won’t be a magic day in which we say “aha AGI landed on January 27, 2062” or whatever it is."
theme3_1171c23b8fe5,openai_governance,openai,normative,2023-02-21,2024-10-24,3,5,2023-12-31,no,less_specific_over_time,hardened,1,no,cluster2_0891c70e894b;cluster2_305ce01dd76b;cluster2_f85791e5917a,"Feb 2, 2023: Microsoft President Brad Smith, an attorney who was once their General Counsel, positions Microsoft as the responsible AI company , with the first boldfaced principle being “First, we must ensure that AI is built and used responsibly and ethically”, and noting “First, these issues are too important to be left to technologists alone.” Feb 6, 2023: Bing chat is released, in tandem with OpenAI, to enormous initial acclaim."
theme3_315a8368ec1c,scaling_limits,llms,predictive,2023-02-13,2025-07-27,4,5,within_10_years,no,less_specific_over_time,stable,1,no,cluster2_0c058feafc9a;cluster2_2f73455ba9d2;cluster2_37a8622daf7a;cluster2_856ccc515e34,"LeCun and his collaborator Browning make a strong case that language input alone (which is the kind of thing that GPT-3 is trained on) is not enough, writing an essay called AI And The Limits Of Language arguing that “A system trained on language alone will never approximate human intelligence, even if trained from now until the heat death of the universe.” But here again there’s a lack of credit."
theme3_2cc418f5064a,scaling_limits,general_ai,predictive,2023-08-24,2025-12-20,5,5,2025-12-31,no,none,softened,1,no,cluster2_145640dc2744;cluster2_335fc42188aa;cluster2_510dee98ff76;cluster2_97b98e0a97eb;cluster2_b4313a3cfb16,"Quoting further, “Nearly 70% of respondents to the S&P Global survey said they have at least one AI project in production... but about half of those companies (31% of respondents) are still in pilot or proof-of-concept stage, outnumbering those who have reached enterprise scale with an AI project (28% of total respondents).” And of course not every enterprise-scale experiment will be successful."
theme3_172e5150cd97,scaling_limits,llms,normative,2023-02-11,2025-07-13,5,5,2023-12-31,no,less_specific_over_time,hardened,1,no,cluster2_00fc3649ff82;cluster2_1034bdfda6cd;cluster2_18b57218f5f0;cluster2_2d237eac5205;cluster2_3061f26a4803,"E.g., if the field were to turn from simply scaling (GPT-3 is pretty much just GPT-2 but bigger) to using large language models as only one component in a larger architecture , with things like writable/readable discrete memory for symbolic propositions, I certainly think we should view that as a paradigm shift."
theme3_b1a2bbb9ed57,safety_alignment,llms,descriptive,2023-02-14,2025-11-18,5,5,,no,none,softened,1,no,cluster2_43f9d46a55b2;cluster2_7528d8d7243d;cluster2_7eeae4cad52e;cluster2_cfbcd6cd02e1;cluster2_ff903566a590,"When an LLM produces a sentence, you can't directly use that sentence to control stuff, unless you build another system to parse the sentences into actions."
theme3_fc164b36a679,safety_alignment,llms,normative,2023-03-29,2024-10-05,4,4,,no,none,softened,1,no,cluster2_2f8e1159f55f;cluster2_30cc16aff32a;cluster2_387b8cb3f52a;cluster2_a0b708459abf,"I had no hand in drafting it, and there are things to fuss over (e.g., what exactly counts as more powerful than GPT-4? and how would we know, given that no details of GPT-4’s architecture or training set have been published?)—but the spirit of the letter is one that I support: until we get a better handle on the risks and benefits, we should proceed with caution."
theme3_d9446e6d7328,hallucination_misinformation,general_ai,predictive,2023-02-09,2024-07-28,3,3,2023-12-31,no,less_specific_over_time,hardened,1,no,cluster2_0068b78a8af5;cluster2_3893716b5d02;cluster2_7c73dc024f3e,"I will always remember today (my birthday no less), February 8, 2023, as the day in which a chatbot-induced hallucination cost Alphabet $100 billion ."
theme3_1844084fccbe,market_hype_bubble,llms,descriptive,2025-01-14,2025-08-20,3,3,,no,none,softened,1,no,cluster2_5015b37f2e4c;cluster2_6e1823f5320d;cluster2_970a01788069,"What was meant there was not merely having a generality of knowledge and capability similar to that of a typical humans (and to be clear o3 isn't there yet, it's way superhuman in some ways and badly subhuman in others), but also having a human-like ability to generalize from experience to very different situations... and no LLM-centered system I've seen comes remotely close to this. … Anyone who tries to tell you otherwise is either confused or trying to hype something."
theme3_28501faa0718,reasoning_common_sense,openai,predictive,2023-02-11,2025-01-26,3,3,near_term,no,more_specific_over_time,softened,1,no,cluster2_68b88e0baa2c;cluster2_71770901a837;cluster2_733560042b3b,"I am willing to bet SlateStarCodex now (terms to be negotiated) that if OpenAI gives us unrestricted access to GPT-4, whenever that is released, and assuming that is basically the same architecture but with more data, that within a day of playing around with it, Ernie and I will still be able find lots of examples of failures in physical reasoning, temporal reasoning, causal reasoning, and so forth ."
theme3_b801791847b6,safety_alignment,openai,descriptive,2024-05-26,2024-10-24,3,3,,no,none,softened,1,no,cluster2_7171e264b739;cluster2_9731bedc87e3;cluster2_9f52dbf3b8f3,"OpenAI promised to devote 20% of its efforts to AI safety, but never delivered , according to a recent report by Jeremy Kahn at Fortune."
theme3_8546265138f1,self_driving_robotics,general_ai,normative,2023-01-31,2023-02-11,2,2,2013-12-31,no,less_specific_over_time,stable,1,no,cluster2_3e1d1406a62c;cluster2_442dd0ed02fe,"Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it."
theme3_afea30eb45be,market_hype_bubble,general_ai,causal,2023-02-13,2024-07-28,2,2,,no,none,softened,1,no,cluster2_10499c739551;cluster2_f9b8152b759e,"If another AI winter does comes, it not be because AI is impossible, but because AI hype exceeds reality."
theme3_e0bf578dbd19,openai_governance,general_ai,causal,2023-11-26,2025-11-18,2,2,2019-12-31,no,less_specific_over_time,hardened,1,no,cluster2_8aba4c39aa76;cluster2_bb982eba86ac,"The whole nonprofit-hybrid model, introduced in 2019 (the company was originally pure non-profit) was always a ticking time bomb, because the people trying to make money were never going to have a perfect relationship with those in the nonprofit that were charged with keeping the world safe."
theme3_8e4a7ba67b7e,safety_alignment,llms,causal,2023-04-04,2025-06-23,2,2,near_term,no,less_specific_over_time,stable,1,no,cluster2_72ebd8947074;cluster2_a2733e6ac553,"Documentation, reports, decision support -- all seem more useful in the near term.” Let’s use LLM’s where there can be help, and be cautious where they might cause harm."
theme3_10988792d03a,regulation_policy,openai,normative,2023-10-17,2024-04-08,2,2,,no,none,softened,1,no,cluster2_0f900e372ae1;cluster2_64d737f97138,"For months, something that Sam Altman said while sitting next to me in May at the US Senate Judiciary Subcommittee on AI Oversight has been reverberating back and forth across my brain: “We are not currently training what will be GPT-5."
theme3_df801cea5953,agi_timeline,openai,predictive,2024-06-05,2025-08-07,2,2,2027-12-31,no,less_specific_over_time,hardened,1,no,cluster2_643d1bcedf0b;cluster2_fa16cd8dc27a,"Apparently OpenAI’s internal roadmap alleged that AGI would be achieved by 2027, according to the suddenly ubiquitous Leopold Aschenbrenner (recently fired by OpenAI, previous employed by SBF), who yesterday published the math to allegedly justify it: I was going to write a Substack about how naive and problematic the graph was, but I am afraid somebody else has beaten me to it: § Well, ok I will add a few words: GPT-4 is not actually equivalent to a smart high schooler."
theme3_baac05bbb9c7,safety_alignment,tesla,predictive,2023-02-13,2025-07-15,2,2,,no,none,softened,1,no,cluster2_7dea6b8e2a14;cluster2_9322bc482b25,"Second, there was very little vision for how Tesla would build the cognitive part of the AI they will need, beyond the basics of motor control (which Boston Dynamics already does so well), nor much recognition about why robotics is so hard in the real world."
theme3_f3ab8db480f5,agi_timeline,agi,descriptive,2023-02-15,2025-12-01,26,26,2001-12-31,no,none,hardened,0,no,cluster2_0a6cf70aaa95;cluster2_0d830dbdafce;cluster2_0f6dcc07312f;cluster2_412429cf39c9;cluster2_428f9bb79bce;cluster2_54f074b037ed;cluster2_570c8d4f372b;cluster2_70b37f0343d0;cluster2_7899beb3bfbc;cluster2_79b3a78c8b31;cluster2_8100f165ff27;cluster2_8d53d626658c;cluster2_9fd8983168e0;cluster2_a0cdbb21fcd4;cluster2_a6b0e52ed944;cluster2_ad2a1fc3cb59;cluster2_b3cab24a6384;cluster2_b4be7c04b93f;cluster2_b869689eb432;cluster2_b90a621af70f;cluster2_bfeb3e79e326;cluster2_d3452e638543;cluster2_db484fe405d0;cluster2_ec8b83706360;cluster2_ef9fef07411e;cluster2_fb52bb01c7fa,"But on either story, if you really were close to being first to AGI, wouldn’t you want to stick around and take a big slice of that, with as much control as possible? § My best guess?"
theme3_e1bb6980432f,reasoning_common_sense,general_ai,descriptive,2023-02-13,2026-01-06,17,17,2012-12-31,no,none,stable,0,no,cluster2_00b9b6453624;cluster2_1a315df08ad3;cluster2_2a85ac0fd642;cluster2_39324a4603a6;cluster2_45e0cfe248ec;cluster2_4739454bb728;cluster2_5f92defa1a24;cluster2_a4350b11b0b5;cluster2_a6165eb54986;cluster2_b34f371609f1;cluster2_bc3968d0a051;cluster2_cbdd5eff411c;cluster2_cdae4196aa97;cluster2_f30633127ae4;cluster2_f6b90686ec4d;cluster2_fb0cee45fb61;cluster2_fcd22bc90194,"In the evaluation of computational models, I have always been careful to distinguish two questions (and would urge the fields of AI and cognitive science to do the same): Is a particular model sufficient for its engineering purpose (e.g., for reasoning about the physical world)?"
theme3_1035472658e9,regulation_policy,regulation,normative,2022-05-29,2026-02-26,15,16,2023-12-31,no,none,stable,0,no,cluster2_04c1fbce74d6;cluster2_731f83099a83;cluster2_7989341649ca;cluster2_7d312d251eb0;cluster2_95d9c5d2eb34;cluster2_9c0c2f55643a;cluster2_affefc0988dc;cluster2_b00ce5937280;cluster2_c48589c180ae;cluster2_ceeba577a4ba;cluster2_dbcc801b46bd;cluster2_ddb9b61cf61c;cluster2_de6a6e662920;cluster2_f99310f5d0f5;cluster2_ff478a2fa2a2,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias )."
theme3_45dd29a88dd4,safety_alignment,ai_safety,descriptive,2023-04-02,2026-02-13,15,15,,no,none,hardened,0,no,cluster2_3f37bd7be635;cluster2_41558da79f6d;cluster2_4e7806843743;cluster2_5a53cfc710e5;cluster2_71fd5eca9313;cluster2_8a94f7693a54;cluster2_98ceee38d54f;cluster2_a9940b5175c6;cluster2_b6be51644593;cluster2_be282365bd28;cluster2_c12438e7b1b9;cluster2_c4a5c7a18664;cluster2_d0913220be49;cluster2_ddf4f73e7ad0;cluster2_f47a0206002a,A world in which cancer researchers belittled auto safety researchers (or vice versa) is not one I would want to live in.
theme3_6243728cd866,openai_governance,openai,descriptive,2023-09-21,2026-01-13,12,12,,no,none,hardened,0,no,cluster2_074e22abb29c;cluster2_1495ca5fa102;cluster2_2add04f7fb36;cluster2_4f97c7f27e47;cluster2_5023e5f72ee3;cluster2_569ba24850cf;cluster2_67d51eb2dda8;cluster2_73d648280bd5;cluster2_a4480c60ffe9;cluster2_dcd45db82f67;cluster2_e87a69c65c1d;cluster2_ed7fd5513b78,"Ironically, GPT-5–which is essentially the only thing that the pause letter (if you read it carefully) actually proposed to pause— does actually seem to be on pause , if Sam Altman’s May Senate testimony meant what I think it did."
theme3_1153785f29bf,safety_alignment,ai_safety,predictive,2023-02-16,2026-02-23,11,11,near_term,no,none,hardened,0,no,cluster2_00cbaef0208a;cluster2_3dec21a8cf25;cluster2_4b86da1eec1b;cluster2_5620ee5cfe93;cluster2_a84b83e91e68;cluster2_a8c240732db5;cluster2_c38a5a07d625;cluster2_c69e931111d8;cluster2_f5aae2d10dd3;cluster2_f6e124c46c1e;cluster2_fb5aec239690,"As such, I suspect we are indeed in almost perfect alignment as to the essence of the future except that we are slip sliding on the edges of these symbols."
theme3_0645fb99675a,copyright_ip,general_ai,descriptive,2022-05-29,2025-07-15,10,10,2019-12-31,no,none,hardened,0,no,cluster2_24202599a360;cluster2_523c4b92c841;cluster2_639d1d6870dc;cluster2_6e6cf4fa038b;cluster2_8c1d9800c957;cluster2_904ba2ea1010;cluster2_d5362b9b5fab;cluster2_e2b89e2a07b2;cluster2_eafd8cc6a66d;cluster2_f3f3dd741039,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out."
theme3_9b38ae8cd486,safety_alignment,ai_safety,normative,2023-10-26,2025-07-15,8,9,,no,none,hardened,0,no,cluster2_034a6ce6a467;cluster2_56297e69c634;cluster2_75a19b92f0a4;cluster2_89ebb6abcf1d;cluster2_94774f6d908f;cluster2_99e1ebe58db6;cluster2_c16765fd0c2d;cluster2_e2101051e230,"Period. § The other thing that should be said is that certain people are hard at work denying that there is any AI risk at all, either long term or short, such as Marc Andreessen, trying to turn the question of whether to pursue AI safety at all into a debate."
theme3_696ea994cd91,safety_alignment,ai_safety,causal,2023-08-27,2025-06-23,9,9,2027-12-31,no,none,stable,0,no,cluster2_1c799239d026;cluster2_42f5efa41493;cluster2_54733ae89498;cluster2_65f1bb9b3c04;cluster2_820bc8cd73a0;cluster2_cf0f534ef0af;cluster2_e928a0fa527f;cluster2_f2424b3bcf86;cluster2_f38689a0141c,I do think there is a lot of risk that AI will cause chaos.
theme3_cb87e9ec1415,agi_timeline,agi,causal,2023-02-16,2025-12-23,8,8,,no,none,hardened,0,no,cluster2_17dc3911c496;cluster2_1f7c47d311dd;cluster2_228113d95d9a;cluster2_5a79c7de3e7c;cluster2_69be444f81b4;cluster2_874f173e3c1f;cluster2_b56d3d22fec9;cluster2_c7cc3adb7044,"This seems like a really bad idea.) But we are not, per se, here to debate whether or not AGI will lead to the fall of civilization (not today, anyway); back to our original question of when it might arrive."
theme3_8fe53b7d86e3,regulation_policy,regulation,predictive,2023-02-26,2026-02-01,8,8,,no,none,stable,0,no,cluster2_09289df32930;cluster2_0a4e4b67b36c;cluster2_0f1b7d917ca4;cluster2_34639c3c612b;cluster2_568908be270d;cluster2_58a81103f89e;cluster2_68ccc7882b9a;cluster2_7b5630cacd8e,"Leave technology companies to their own devices, trust them to sort themselves out without any more regulations, and hope they will learn to corral their AI and find better, less chaotic ways of rolling them out."
theme3_5f90b0708be7,copyright_ip,llms,descriptive,2023-02-11,2026-01-12,8,8,,no,none,hardened,0,no,cluster2_261a64f68d6e;cluster2_3f56151a8a5e;cluster2_4a62dbc297b4;cluster2_7ce0b0be5d60;cluster2_9d940ed37422;cluster2_ac2edae528e6;cluster2_c1d696379cc0;cluster2_c69531d1b8f0,"A system like GPT can thus be quite capable of predicting how any given set of words might be continued; if you say “it’s a nice day; the sky is __“, GPT may well anticipate that a typical human response would be to guess that the word “blue” likely comes next—without having a basis to understand what the word blue means, or why human beings like skies that are blue."
theme3_fde6def617bf,scaling_limits,agi,predictive,2023-02-11,2025-12-01,4,7,,no,none,hardened,0,no,cluster2_2524d1975b5f;cluster2_6fc67030d52c;cluster2_a4faf65c6729;cluster2_d9938251ac9e,"Where has his steelperson aspiration gone? 1 Another rhetorical trick is to paint me as a lone, lunatic voice, as if I were the only person doubting that scaling will get us to AGI (whatever that is) when in fact there are loads of people with similar concerns."
theme3_8d9a23510bf7,openai_governance,general_ai,normative,2023-12-07,2025-11-18,6,7,,no,none,hardened,0,no,cluster2_0df0de96fe9a;cluster2_134b3eda5f2b;cluster2_2a2d2d3e0129;cluster2_324ad0fbfbf2;cluster2_6e0b8af37c4d;cluster2_c36bc50f2359,"If the Board was making a step towards bringing them back to their original mission, of AI for human interest rather than for profit, we should be praising them, not burying them."
theme3_331c20da7676,safety_alignment,regulation,normative,2023-02-26,2025-05-14,7,7,,no,none,hardened,0,no,cluster2_0c0ca3102877;cluster2_18aed017ad77;cluster2_2419a865a75d;cluster2_27700d1cd349;cluster2_48f5e1d43718;cluster2_4a9742481539;cluster2_ceed7c66cb6e,"The global absence of a comprehensive policy framework to ensure AI alignment - that is, safeguards to ensure an AI's function doesn't harm humans - begs for a new approach."
