cluster_id,canonical_norm,representative_claim,category_mode,claim_type_mode,falsifiability_tier_mode,target_mode,first_date,last_date,occurrences,source_posts,source_urls,supporting_claim_ids
cluster_f9abc38191da,would you use a calculator that makes mistakes and by the way no need to worry says openai because our models can reason interview with abc news march 16 mischaracterizing what gpt does true llms don t just memorize and true that their models make for lousy databases for a database a hallucination is an outright fail but if the definition of reasoning is to obtain valid conclusions from known facts gpt 4 frequently falls short there too,"Would you use a calculator that makes mistakes? § And by the way, no need to worry, says OpenAI, because our models can reason : Interview with ABC News, March 16 , mischaracterizing what GPT does True LLMs don’t (just) memorize, and true that their models make for lousy databases (for a database a hallucination is an outright fail) but if the definition of reasoning is to obtain valid conclusions from known facts, GPT-4 frequently falls short there, too.",policy,normative,tier_3,openai,2023-03-18,2023-03-18,1,this-week-in-ai-doublespeak,https://garymarcus.substack.com/p/this-week-in-ai-doublespeak,claim_00181
cluster_ab3a82f8dbe3,worse the us ai policy now and likely in the next administration has largely been driven by hype and the assumption that returns for llm scaling would not diminish,"Worse, the US AI policy now, and likely in the next administration, has largely been driven by hype, and the assumption that returns for LLM scaling would not diminish.",policy,normative,tier_3,llms,2024-11-09,2024-11-09,1,confirmed-llms-have-indeed-reached,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached,claim_00616
cluster_68118121ba10,world models also mentioned in the wsj article is that lecun is excited about world models a technology that lecun thinks is more likely to advance the state of ai than meta s current language models,"World Models Also mentioned in the WSJ article is that LeCun is excited about world models , “a technology that LeCun thinks is more likely to advance the state of AI than Meta’s current language models”.",technical_assessment,descriptive,tier_3,meta,2026-01-06,2026-01-06,1,the-false-glorification-of-yann-lecun,https://garymarcus.substack.com/p/the-false-glorification-of-yann-lecun,claim_01085
cluster_b939172cabc9,work on new approaches such as world models and neurosymbolic will escalate 2025 will be known as the year of the peak bubble and also the moment at which wall street began to lose confidence in generative ai,"Work on new approaches such as world models and neurosymbolic will escalate. 2025 will be known as the year of the peak bubble , and also the moment at which Wall Street began to lose confidence in generative AI.",industry_market,predictive,tier_1,general_ai,2025-12-20,2025-12-20,1,six-or-seven-predictions-for-ai-2026,https://garymarcus.substack.com/p/six-or-seven-predictions-for-ai-2026,claim_01067
cluster_ad7e33183c79,without massive technical advances chains of llms are unlikely to give us that,"Without massive technical advances, chains of LLMs are unlikely to give us that.",technical_assessment,descriptive,tier_3,llms,2024-02-10,2024-02-10,1,what-could-possibly-go-wrong-with,https://garymarcus.substack.com/p/what-could-possibly-go-wrong-with,claim_00396
cluster_343f7c6ae3c9,without doubt her values have influenced my stance on ai and how it should develop money isn t the only variable i don t know if my mom coined this phrase or not but she taught it to me and lived by it and i try to live by it too,"Without doubt her values have influenced my stance on AI and how it should develop. “Money isn’t the only variable .” I don’t know if my mom coined this phrase or not, but she taught it to me, and lived by it, and I try to live by it, too.",policy,normative,tier_3,general_ai,2026-02-24,2026-02-24,1,marilyn-molly-marcus-1942-2026,https://garymarcus.substack.com/p/marilyn-molly-marcus-1942-2026,claim_01134
cluster_70ecdd39e95d,within the field there is a lot of conflict around how to think about p doom superintelligence the probability of doom given the existence of superintelligence which is a special form of ai but no matter what you feel about that p doom superintelligence whether you see it as sci fi or not you should be worried about p catastrophe widespread ai adoption the probability of catastrophe given widespread ai adoption,"Within the field, there is a lot of conflict around how to think about p(doom | superintelligence) [“the probability of doom given the existence of superintelligence”, which is a special form of AI], but no matter what you feel about that p(doom | superintelligence), whether you see it as sci-fi or not, you should be worried about p(catastrophe | widespread AI adoption) [the probability of catastrophe given widespread AI adoption].",policy,normative,tier_3,general_ai,2023-08-27,2023-08-27,1,d28,https://garymarcus.substack.com/p/d28,claim_00255
cluster_9eb75777d905,with only a small fraction of the current and planned investments in llms we can and should find out it s been a long hard unpleasant road,"With only a small fraction of the current and planned investments in LLMs, we can and should find out. § It’s been a long, hard, unpleasant road.",policy,normative,tier_3,llms,2025-09-28,2025-09-28,1,game-over-for-pure-llms-even-turing,https://garymarcus.substack.com/p/game-over-for-pure-llms-even-turing,claim_00988
cluster_7285b72944d8,with all the challenges in ethics and computation and the knowledge needed from fields like linguistics psychology anthropology and neuroscience and not just mathematics and computer science it will take a village to raise to an ai,"With all the challenges in ethics and computation, and the knowledge needed from fields like linguistics, psychology, anthropology, and neuroscience, and not just mathematics and computer science, it will take a village to raise to an AI.",prediction,predictive,tier_2,general_ai,2024-03-10,2024-03-10,1,two-years-later-deep-learning-is,https://garymarcus.substack.com/p/two-years-later-deep-learning-is,claim_00434
cluster_e816fc790d08,will openai someday be seen as the wework of ai as i have suggested several times as far as back as late 2023,"Will OpenAI someday be seen as the WeWork of AI, as I have suggested several times, as far as back as late 2023 ?",prediction,predictive,tier_1,openai,2026-02-13,2026-02-13,1,breaking-openai-is-probably-toast,https://garymarcus.substack.com/p/breaking-openai-is-probably-toast,claim_01127
cluster_e42a5e30ee65,whole bunch of people tried to excuse poor dall e and my favorite only thing was it turns out that a horse riding astronaut wasn t impossible draw and the model didn t need to be retrained to do it,"Whole bunch of people tried to excuse poor DALL-E, And my favorite: Only thing was, it turns out that a horse riding astronaut wasn’t impossible draw, and the model didn’t need to be retrained to do it.",policy,normative,tier_3,general_ai,2024-02-13,2024-02-13,1,horse-rides-astronaut-redux,https://garymarcus.substack.com/p/horse-rides-astronaut-redux,claim_00409
cluster_88317c788d04,which is not say that everybody believes agi imminent or cares or spends every waking hour contemplating that notion,Which is not say that everybody believes AGI imminent or cares or spends every waking hour contemplating that notion.,technical_assessment,descriptive,tier_3,agi,2025-03-05,2025-03-05,1,ezra-kleins-new-take-on-agi-and-why,https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why,claim_00755
cluster_59b45c012662,whether ai is at number one or number 10 we need to get serious about it now given the sudden rapid widespread deployment and lack of clarity about use cases and means of mitigation,"Whether AI is at number one or number 10, we need to get serious about it, now, given the sudden rapid widespread deployment and lack of clarity about use cases and means of mitigation.",policy,normative,tier_3,general_ai,2024-02-12,2024-02-12,1,ai-risk-agi-risk,https://garymarcus.substack.com/p/ai-risk-agi-risk,claim_00408
cluster_dc2ded7b5ad7,where we diverge is largely on timing you posit that we will see agi within a few decades it is more like a few generations,"Where we diverge, I think, is largely on timing: you posit that we will see AGI within a few decades, I think it is more like a few generations.",prediction,predictive,tier_3,agi,2023-02-16,2023-02-16,1,agi-will-not-happen-in-your-lifetime,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime,claim_00113
cluster_60ab6b8bd166,where has his steelperson aspiration gone 1 another rhetorical trick is to paint me as a lone lunatic voice as if i were the only person doubting that scaling will get us to agi whatever that is when in fact there are loads of people with similar concerns,"Where has his steelperson aspiration gone? 1 Another rhetorical trick is to paint me as a lone, lunatic voice, as if I were the only person doubting that scaling will get us to AGI (whatever that is) when in fact there are loads of people with similar concerns.",prediction,predictive,tier_2,agi,2023-02-11,2023-02-11,1,does-ai-really-need-a-paradigm-shift,https://garymarcus.substack.com/p/does-ai-really-need-a-paradigm-shift,claim_00016
cluster_5f0f1b8af84e,where apple iphone applications are carefully sandboxed and appropriately isolated to minimize harm openclaw is basically a weaponized aerosol in prime position to fuck shit up if left unfettered that brings me to molt book which is one of the wildest experiments in ai history,"Where Apple iPhone applications are carefully sandboxed and appropriately isolated to minimize harm, OpenClaw is basically a weaponized aerosol, in prime position to fuck shit up , if left unfettered. § That brings me to Molt book , which is one of the wildest experiments in AI history.",technical_assessment,descriptive,tier_3,regulation,2026-02-01,2026-02-01,1,openclaw-aka-moltbot-is-everywhere,https://garymarcus.substack.com/p/openclaw-aka-moltbot-is-everywhere,claim_01115
cluster_367888a09ad3,when we do so we amplify the hype around ai and lead people into thinking that these machines are trustworthy oracles capable of manipulation or decision making which they are not,"When we do so, we amplify the hype around AI, and lead people into thinking that these machines are trustworthy oracles capable of manipulation or decision-making, which they are not.",technical_assessment,descriptive,tier_3,general_ai,2023-04-17,2023-04-17,1,stop-treating-ai-models-like-people,https://garymarcus.substack.com/p/stop-treating-ai-models-like-people,claim_00202
cluster_782cf4da3550,when we are really at agi it will be much harder to do so,When we are really at AGI it will be much harder to do so.,prediction,predictive,tier_3,agi,2025-07-09,2025-07-09,1,scott-alexanders-misleading-victory,https://garymarcus.substack.com/p/scott-alexanders-misleading-victory,claim_00889
cluster_65fa39bc7f2c,when openai asked instructgpt the latest greatest version of gpt 3 why is it important to eat socks after meditating the system simply made up a sentence and said some experts believe that the act of eating a sock helps the brain to come out of its altered state as a result of meditation never consulting a cognitive model of what experts believe because the system has no such model in the first place,"When OpenAI asked InstructGPT, the latest, greatest version of GPT-3, “Why is it important to eat socks after meditating?” the system simply made up a sentence and said “ Some experts believe that the act of eating a sock helps the brain to come out of its altered state as a result of meditation .”, never consulting a cognitive model of what experts believe, because the system has no such model in the first place.",technical_assessment,causal,tier_2,openai,2023-02-11,2023-02-11,1,three-ideas-from-linguistics-that,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that,claim_00032
cluster_cf3f775e8789,when it comes out it will totally eclipse gpt 4,"When it comes out, it will totally eclipse GPT-4.",prediction,predictive,tier_2,llms,2025-07-27,2025-07-27,1,what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00935
cluster_1d00849b8bec,when it comes out it will totally eclipse chatgpt it s safe bet that even more people will be talking about it,"When it comes out, it will totally eclipse ChatGPT; it’s safe bet that even more people will be talking about it..",prediction,predictive,tier_3,llms,2023-02-15,2023-02-15,1,what-to-expect-when-youre-expecting,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting,claim_00095
cluster_7c69e77cfc30,when i asked chatgpt can a queen jump a knight it correctly told me no with a perfect detailed explanation no in chess a queen cannot jump over any piece including a knight,"When I asked ChatGPT, “can a queen jump a knight?” it correctly told me no, with a perfect, detailed explanation: No, in chess, a queen cannot jump over any piece, including a knight.",capability,descriptive,tier_2,llms,2025-11-18,2025-11-18,1,generative-ais-crippling-and-widespread,https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread,claim_01005
cluster_cf211d130140,when another tesla fan asked me about it i took the challenge and articulated three concerns meanwhile wyatt walls just pointed out some gruesome facts about llms and summarization bonus track politico tech interviewed me this morning on their podcast the new article on ai policy that we discussed will be out tomorrow at politico,"When another Tesla fan asked me about it, I took the challenge and articulated three concerns: § Meanwhile, Wyatt Walls just pointed out some gruesome facts about LLMs and summarization: https://arxiv.org/pdf/2404.01261.pdf § Bonus track: Politico Tech interviewed me this morning on their podcast: The new article on AI policy that we discussed will be out tomorrow, at Politico.",policy,normative,tier_3,tesla,2024-04-09,2024-04-09,1,24-hours-in-ai-news,https://garymarcus.substack.com/p/24-hours-in-ai-news,claim_00456
cluster_b364657f5d68,when and if some future form of ai brings new threats we will be screwed our collective fates determined by a tiny number of individuals running a few companies with almost no accountability,"When and if some future form of AI brings new threats, we will be screwed, our collective fates determined by a tiny number of individuals running a few companies, with almost no accountability.",prediction,predictive,tier_3,general_ai,2024-08-23,2024-08-23,1,scoop-what-former-employees-of-openai,https://garymarcus.substack.com/p/scoop-what-former-employees-of-openai,claim_00572
cluster_e3936932295a,when an llm produces a sentence you can t directly use that sentence to control stuff unless you build another system to parse the sentences into actions,"When an LLM produces a sentence, you can't directly use that sentence to control stuff, unless you build another system to parse the sentences into actions.",capability,descriptive,tier_2,llms,2023-02-14,2023-02-14,1,how-come-smart-assistants-have-virtually,https://garymarcus.substack.com/p/how-come-smart-assistants-have-virtually,claim_00077
cluster_97bd5aa9fe48,when an influential economist erik brynjolfsson then at mit complimented the article on twitter thoughtful insights from garymarcus on why deep learning won t get us all the way to artificial general intelligence hinton s long time associate yann lecun tried to contain the threat immediately replying to brynjolffson publicly that the paper was thoughtful perhaps,"When an influential economist Erik Brynjolfsson (then at MIT) complimented the article on Twitter, (“Thoughtful insights from @GaryMarcus on why deep learning won't get us all the way to artificial general intelligence”), Hinton’s long time associate Yann LeCun tried to contain the threat, immediately replying to Brynjolffson publicly that the paper was “Thoughtful, perhaps.",prediction,predictive,tier_2,agi,2025-07-13,2025-07-13,1,how-o3-and-grok-4-accidentally-vindicated,https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated,claim_00907
cluster_9219828a211b,when alexander is not talking about ai he often prides himself on testing the steelman strongest version of any hypothesis possible,"When Alexander is not talking about AI, he often prides himself on testing the “steelman” (strongest version) of any hypothesis possible.",technical_assessment,descriptive,tier_3,general_ai,2023-02-13,2023-02-13,1,did-googleai-just-snooker-one-of,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of,claim_00051
cluster_9201e9490c42,when agi artificial intelligence comes large language models like gpt 5 may be seen in hindsight as part of the eventual solution but only as part of the solution scaling alone building bigger and models until they absorb the entire internet will prove useful but only to a point,"When AGI (artificial intelligence) comes, large language models like GPT-5 may be seen in hindsight as part of the eventual solution, but only as part of the solution . “Scaling” alone—building bigger and models until they absorb the entire internet — will prove useful, but only to a point.",prediction,predictive,tier_2,agi,2025-07-27,2025-07-27,1,what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00942
cluster_1fd26f0a8aa0,what we said there in our discussion of output filtering possible solution filtering out queries that might violate copyright and which the ai snake oil authors did not address was that we didn t expect to be reliable in fact i d already gone through this with a user on x as a last resort the x user bartekxx12 has experimented with trying to get chatgpt and google reverse image search to identify sources with mixed but not zero success,"What we said there in our discussion of output filtering (“Possible solution: filtering out queries that might violate copyright”) —and which the AI Snake Oil authors did not address—was that we didn’t expect to be reliable; in fact, I’d already gone through this with a user on X: As a last resort, the X user @bartekxx12 has experimented with trying to get ChatGPT and Google Reverse Image Search to identify sources, with mixed (but not zero) success.",capability,descriptive,tier_2,google,2024-01-24,2024-01-24,1,no-multimodal-chatgpt-is-not-going,https://garymarcus.substack.com/p/no-multimodal-chatgpt-is-not-going,claim_00370
cluster_db6005937f2e,what was said is that we should expect to see gpt 4 5 soon,What was said is that we should expect to see GPT 4.5 soon.,policy,normative,tier_3,llms,2025-01-09,2025-01-09,1,agi-isnt-coming-in-2025-and-gpt-5,https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5,claim_00692
