cluster2_id,theme_label,target_mode,claim_type_mode,category_mode,falsifiability_tier_mode,first_date,last_date,occurrences,distinct_posts,horizon_values,goalpost_shift_candidate,representative_quote,supporting_claim_ids,source_urls
cluster2_db8548158e8f,problems_all_critical_deep,general_ai,normative,policy,tier_3,2025-04-17,2025-07-13,2,2,2018-12-31,no,"In my 2018 article Deep Learning: A Critical Appraisal I summed the situation up this way: “Despite all of the problems I have sketched, I don’t think that we need to abandon deep learning.",claim_00803;claim_00904,https://garymarcus.substack.com/p/dear-elon-musk-here-are-five-things;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated
cluster2_3b1b97b8ccf6,logic_thin_industrial_revolution,general_ai,predictive,capability,tier_1,2025-05-22,2025-11-21,2,2,within_10_years,no,"The logic for their prediction that “superhuman AI over the next decade will exceed the Industrial Revolution”, though, is thin.",claim_00839;claim_01020,https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic
cluster2_4baf3df608c6,forgotten_something_learn_concepts,agi,normative,policy,tier_3,2022-05-29,2025-12-17,2,2,,no,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.",claim_00007;claim_01065,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_40b7af64913c,any_important_none_survived,agi,predictive,prediction,tier_2,2023-02-11,2025-04-25,2,2,,no,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",claim_00028;claim_00813,https://garymarcus.substack.com/p/new-adventures-in-ai-hype-our-language;https://garymarcus.substack.com/p/nonsense-on-stilts
cluster2_2524d1975b5f,enough_scaling_going_alone,agi,predictive,prediction,tier_2,2024-06-22,2024-08-05,2,2,,no,"LLMs are not AGI, and (on their own) never will be; scaling alone was never going to be enough.",claim_00519;claim_00553,https://garymarcus.substack.com/p/august-5-2024-a-big-day-in-tech;https://garymarcus.substack.com/p/the-great-ai-retrenchment-has-begun
cluster2_7d312d251eb0,certainly_cognitive_bias_human,regulation,normative,policy,tier_3,2022-05-29,2025-12-17,2,2,,no,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",claim_00006;claim_01064,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_745bfae38d3f,develop_cases_quantities_lecun,llms,descriptive,capability,tier_1,2023-02-02,2023-02-13,2,2,,no,"Gary Marcus @GaryMarcus Key problem with systems like GPT-2 is not that they dont deal with quantities (as @ylecun suggests below), it is they don't develop robust representations of *how events unfold over time* Clearest w number, but true in many cases, and it's part of why the quantity cases fail: Yann LeCun @ylecun @StanDehaene @GaryMarcus Actually, machines that are trained to deal with quantities do learn to deal with quantities.",claim_00010;claim_00059,https://garymarcus.substack.com/p/gaslighting-and-reality-in-ai;https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas
cluster2_d5db8cbcf963,when_comes_totally_eclipse,llms,predictive,prediction,tier_2,2023-02-15,2025-07-27,2,2,,no,"When it comes out, it will totally eclipse ChatGPT; it’s safe bet that even more people will be talking about it..",claim_00095;claim_00935,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_27263f2713b8,longer_used_prior_solve,llms,predictive,capability,tier_1,2023-02-15,2025-07-27,2,2,,no,"GPT-4 will solve many of the individual specific items used in prior benchmarks, but still get tripped up, particularly in longer and more complex scenarios.",claim_00101;claim_00937,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_a4b7d7f87e1c,teeter_may_perfectly_reasonable,llms,predictive,prediction,tier_3,2023-02-15,2025-07-27,2,2,,no,"Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests).",claim_00103;claim_00939,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_11b7d6401531,talks_downstream_feeds_processes,llms,predictive,capability,tier_1,2023-02-15,2025-07-27,2,2,,no,GPT-4 will not have reliable models of the things that it talks about that are accessible to external programmers in a way that reliably feeds downstream processes.,claim_00105;claim_00940,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_37a8622daf7a,within_scaling_integrating_range,llms,predictive,prediction,tier_2,2023-02-15,2025-07-27,2,2,within_10_years,no,"Within a decade, maybe much less, the focus of AI will move from a pure focus on scaling large language models to a focus on integrating them with a wide range of other techniques.",claim_00109;claim_00944,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_256cf6a0cb81,path_fully_optimal_fun,llms,descriptive,technical_assessment,tier_2,2023-02-15,2025-07-27,2,2,,no,"Shiny things are always fun to play with, and I fully expect GPT-4 to be the shiniest so far, but that doesn’t mean that it is a critical step on the optimal path to AI that we can trust .",claim_00110;claim_00945,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_9923d8236b9f,stunt_publicity_greatest_intoxicating,llms,predictive,prediction,tier_1,2023-04-28,2024-10-17,2,2,2012-12-31;2023-12-31,no,"elicited from ChatGPT by Roman Semenov, February 2023 In hindsight, ChatGPT may come to be seen as the greatest publicity stunt in AI history, an intoxicating glimpse at a future that may actually take years to realize—kind of like a 2012-vintage driverless car demo, but this time with a foretaste of an ethical guardrail that will take years to perfect.",claim_00209;claim_00594,https://garymarcus.substack.com/p/inside-the-heart-of-chatgpts-darkness;https://garymarcus.substack.com/p/when-it-comes-to-security-llms-are
cluster2_3d0b79a7b24d,worrying_terrorists_including_robots,llms,normative,policy,tier_3,2023-10-26,2024-02-12,2,2,,no,"We need to stop worrying (just) about Skynet and robots taking over the world, and think a lot more about what criminals, including terrorists, might do with LLMs, and what, if anything, we might do to stop them.",claim_00323;claim_00406,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/ai-risk-agi-risk
cluster2_503f6068e63d,approximation_genai_valuations_disappear,llms,predictive,industry_market,tier_2,2024-04-13,2024-11-09,2,2,,no,"If enthusiasm for GenAI dwindles and market valuations plummet, AI won’t disappear, and LLMs won’t disappear; they will still have their place as tools for statistical approximation.",claim_00460;claim_00617,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a
cluster2_1870a7d4b58d,possible_year_may_smaller,llms,predictive,prediction,tier_2,2024-04-13,2024-11-09,2,2,,no,But that place may be smaller; it is entirely possible that LLMs on their own will never live up to last year’s wild expectations.,claim_00461;claim_00618,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a
cluster2_33a629a7b1aa,wars_price_commodity_becoming,llms,predictive,industry_market,tier_2,2024-04-20,2024-11-09,2,2,,no,LLMs are well on their way to becoming a commodity; price wars will be intense.,claim_00471;claim_00615,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/groupthink-versus-tulips-what-will
cluster2_eb29aeaa5922,said_what_soon_expect,llms,normative,policy,tier_3,2025-01-09,2025-01-09,2,1,near_term,no,What was said is that we should expect to see GPT 4.5 soon.,claim_00692;claim_00693,https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5
cluster2_94774f6d908f,formal_know_safety_multiple,ai_safety,normative,policy,tier_3,2024-05-29,2024-05-30,2,2,,no,"But it’s not all: On multiple occasions he gave is inaccurate information about the small number of formal safety processes that the company did have in place, meaning that it was basically impossible to know how well those safety processes were working or what might need to change.",claim_00494;claim_00498,https://garymarcus.substack.com/p/disturbing-and-misleading-efforts;https://garymarcus.substack.com/p/kara-swisher-sam-altman-and-the-openai
cluster2_401055abd424,inspiration_part_intelligence_artificial,general_ai,normative,policy,tier_3,2022-05-29,2022-05-29,1,1,,no,"For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .",claim_00001,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_639d1d6870dc,symbols_spelled_science_long,general_ai,descriptive,technical_assessment,tier_3,2022-05-29,2022-05-29,1,1,,no,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out.",claim_00004,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_2a0ad3ef7ab3,used_know_era_especially,general_ai,normative,policy,tier_3,2023-01-31,2023-01-31,1,1,,no,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,claim_00008,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot
cluster2_442dd0ed02fe,right_test_people_urmson,general_ai,normative,policy,tier_3,2023-01-31,2023-01-31,1,1,2013-12-31,no,"Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.",claim_00009,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot
cluster2_70fb0828c080,out_account_garymarcus_figured,general_ai,descriptive,technical_assessment,tier_3,2023-02-04,2023-02-04,1,1,,no,Champandard ❄️ @alexjc@creative.ai @alexjc I think @GaryMarcus figured out the password to this account and is now trolling people...,claim_00013,https://garymarcus.substack.com/p/some-things-garymarcus-might-say
cluster2_7c73dc024f3e,induced_today_hallucination_cost,general_ai,predictive,prediction,tier_1,2023-02-09,2023-02-09,1,1,2023-12-31,no,"I will always remember today (my birthday no less), February 8, 2023, as the day in which a chatbot-induced hallucination cost Alphabet $100 billion .",claim_00014,https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing
cluster2_b06f326269b3,all_demos_reassurances_long,general_ai,normative,policy,tier_3,2023-02-09,2023-02-09,1,1,,no,"I am not saying with certainty that we are for witnessing the same movie all over again, but should anybody blithely accept the reassurances of some very interested parties when AI has such a long history of demos that never quite make it to solid product?",claim_00015,https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing
cluster2_19e8b2680f29,sense_know_starting_idea,general_ai,normative,policy,tier_3,2023-02-11,2023-02-11,1,1,,no,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts.",claim_00026,https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3
cluster2_f236c1f58932,slow_when_chimed_needle,general_ai,descriptive,technical_assessment,tier_2,2023-02-11,2023-02-11,1,1,,no,"Machine learning prof Tom Dietterich, never slow to needle me when he thinks I have gone too far, chimed in with full solidarity: Thomas G.",claim_00029,https://garymarcus.substack.com/p/nonsense-on-stilts
cluster2_9a8a19986cf9,outside_mentioning_even_years,general_ai,descriptive,technical_assessment,tier_2,2023-02-11,2023-02-11,1,1,,no,"But 8 years later I doubt most people (even in AI) have ever even heard of his program, outside of my mentioning it here.",claim_00030,https://garymarcus.substack.com/p/nonsense-on-stilts
cluster2_193ea7785809,weakly_words_strongly_dependencie,general_ai,descriptive,technical_assessment,tier_2,2023-02-11,2023-02-11,1,1,,no,"As Brenden Lake and Greg Murphy have put it , that’s not enough, “Current models are too strongly linked to the text-based patterns in large corpora, and too weakly linked to the desires, goals, and beliefs that people express through words.” The act of referring involves (at least) the speaker, the utterance, the context, and some properties of the external world; the interactions and dependencie s between such things simply are not present in most current AI models.",claim_00031,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_0b8ab4d73e00,system_words_fluid_referent,general_ai,causal,prediction,tier_3,2023-02-11,2023-02-11,1,1,,no,"The words will be fluid, because the model has mapped the query onto sentence fragments that contain phrases like “is good because”, but there is no referent in the system to what a sock actually is, or what meditation is.",claim_00033,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_d8d515498701,itself_words_gato_steven,general_ai,descriptive,technical_assessment,tier_1,2023-02-11,2023-02-11,1,1,2022-12-31,no,"June 29-30, 2022 [free registration required] 1 Considerable efforts are being made towards making “cross-modal” models like Gato that take in visual input as well strings of words; we think this is well worth investigating but unlikely in itself to suffice . 2 Arguments like Steven Piantadosi’s recent claim that the internal states of current neural networks represent semantic information that might be tantamount to meaning run up against this.",claim_00035,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_0e037aa35e2b,argue_pattern_find_bigger,general_ai,predictive,capability,tier_1,2023-02-11,2023-02-11,1,1,,no,"The it’s-not-true-intelligence objectors find other, slightly less trivial tasks that the new bigger AI still fails horribly at, then argue that surely these are the tasks that require true intelligence and that mere clever pattern-matchers will never complete.",claim_00036,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_f25fe936b9cf,pointed_all_him_november,general_ai,descriptive,technical_assessment,tier_1,2023-02-11,2023-02-11,1,1,2021-12-31,no,"(In November 2021, about 18 months after the model’s first announcement, access was made available to all.) When I pointed out to Greg that he had never made good on his promise, and asked him (publicly) re DALL-E2, he never replied, and I still don’t have direct access.",claim_00038,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_1363370099e7,big_world_rather_maybe,general_ai,predictive,prediction,tier_3,2023-02-11,2023-02-11,1,1,,no,"Maybe it will take three paragraphs in a prompt rather than one to break it, but a big Transformer alone does not a a theory of the world create.",claim_00041,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_3e1d1406a62c,able_human_all_driving,general_ai,normative,policy,tier_3,2023-02-11,2023-02-11,1,1,,no,The whole point of “Full” self-driving is that the car should be able take you from point A to point B without requiring a human to pay attention at all.,claim_00042,https://garymarcus.substack.com/p/will-tesla-ever-solve-full-self-driving
cluster2_03fe78c12388,possible_brains_narrow_include,general_ai,descriptive,technical_assessment,tier_3,2023-02-13,2023-02-13,1,1,,no,"You can also broaden the term empiricism to include every possible process, and narrow the term nativism to only include literal neural blueprints for entire brains.",claim_00046,https://garymarcus.substack.com/p/5-myths-about-learning-and-innateness
cluster2_5a6290cc7bfb,know_always_pointing_big,general_ai,descriptive,technical_assessment,tier_2,2023-02-13,2023-02-13,1,1,,no,"(Humans were at 90%) § But we all know how these things go; fans of neural networks are always pointing to the next big thing, racing to shot that this or that wall has been conquered.",claim_00050,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_f1a824b7d72d,any_possible_prides_strongest,general_ai,descriptive,technical_assessment,tier_3,2023-02-13,2023-02-13,1,1,,no,"When Alexander is not talking about AI, he often prides himself on testing the “steelman” (strongest version) of any hypothesis possible.",claim_00051,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_027cfbb77512,met_similar_which_wind,general_ai,descriptive,industry_market,tier_2,2023-02-13,2023-02-13,1,1,,no,"Kohane recalled the “AI Winter” of the 1980s, in which funding abruptly dropped after expectations were not met, and fears we could wind up with another, similar crash if we are not realistic about what is and is not feasible.",claim_00052,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_f9b8152b759e,hype_exceeds_winter_comes,general_ai,causal,industry_market,tier_3,2023-02-13,2023-02-13,1,1,,no,"If another AI winter does comes, it not be because AI is impossible, but because AI hype exceeds reality.",claim_00053,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_238e5e58bae7,believe_science_careful_never,general_ai,predictive,prediction,tier_2,2023-02-13,2023-02-13,1,1,,no,A will to believe in AI will never replace the need for careful science.,claim_00054,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_c6347a4f134e,anything_never_contributed,general_ai,descriptive,technical_assessment,tier_2,2023-02-13,2023-02-13,1,1,,no,He has never contributed anything to AI.,claim_00055,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas
cluster2_14234e3f0b9f,reviewed_peer_psychology_experimental,general_ai,descriptive,capability,tier_1,2023-02-13,2023-02-13,1,1,,no,He's done really good work in experimental psychology but he's never written a peer-reviewed paper on AI”— which is simply false.,claim_00056,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas
cluster2_e2b89e2a07b2,solved_problems_currently_such,general_ai,descriptive,capability,tier_2,2023-02-13,2023-02-13,1,1,,no,"The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”.",claim_00062,https://garymarcus.substack.com/p/sub-optimal
cluster2_cbdd5eff411c,results_den_nlp_statistical,general_ai,descriptive,technical_assessment,tier_1,2023-02-13,2023-02-13,1,1,2012-12-31,no,"As van den Broeck’s team put it, their results “unveil the fundamental difference between learning to reason and learning to achieve high performance on NLP [natural language processing] benchmarks using statistical features.” The problem for the neural network community is not that I have changed my goal posts, it’s that my 2012 concerns still stand.",claim_00063,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_61ac17a4cfc8,challenges_boring_ernie_resolved,general_ai,predictive,prediction,tier_3,2023-02-13,2023-02-13,1,1,,no,"(Quite of the few examples that Ernie Davis and I mentioned in Rebooting AI go back a long further, to the 1970s.) It may be boring to hear about the same challenges over and over, but it’s hard to see how we will get to trustworthy general intelligence until these problems are resolved, in ways that are robust, rather than merely statistically contingent.",claim_00064,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_4739454bb728,distinguish_sufficient_science_urge,general_ai,descriptive,technical_assessment,tier_2,2023-02-13,2023-02-13,1,1,,no,"In the evaluation of computational models, I have always been careful to distinguish two questions (and would urge the fields of AI and cognitive science to do the same): Is a particular model sufficient for its engineering purpose (e.g., for reasoning about the physical world)?",claim_00065,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_b8e49bdc1069,time_making_boils_down,general_ai,normative,policy,tier_3,2023-02-13,2023-02-13,1,1,,no,"The heart of Hoel’ss argument boils down to (my words not his) “AI has done better over time on benchmarks so we must be making progress”; in reality, progress can be and often is illusory.",claim_00066,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_23e996fd8041,thinking_longer_dilettantism_alive,general_ai,descriptive,technical_assessment,tier_3,2023-02-13,2023-02-13,1,1,,no,"I suspect that I have been thinking about AI for longer than Hoel appears to have been alive, quite to the contrary of his false and irrelevant accusation of dilettantism.",claim_00067,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_5ab0d9fe8d0b,fully_public_prediction_day,general_ai,predictive,prediction,tier_3,2023-02-13,2023-02-13,1,1,,no,"My own public prediction: One day, AI will fully displace radiologists.",claim_00068,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt
cluster2_95abe46aa583,publicly_fully_gary_bet,general_ai,predictive,prediction,tier_1,2023-02-13,2023-02-13,1,1,2033-12-31,no,Gary Marcus @GaryMarcus I hereby bet publicly that AI will not fully displace radiologists (as opposed to merely augmenting them) before the year 2033.,claim_00069,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt
cluster2_c1bbb272df16,text_galactica_relevant_references,general_ai,predictive,prediction,tier_3,2023-02-14,2023-02-14,1,1,,no,"Type a text and galactica.ai will generate a paper with relevant references, formulas, and everything.",claim_00072,https://garymarcus.substack.com/p/a-few-words-about-bullshit
cluster2_bd8d3a0a9688,important_fully_realities_gets,general_ai,descriptive,technical_assessment,tier_3,2023-02-14,2023-02-14,1,1,,no,And it gets at some important realities about current AI that aren't fully appreciated.,claim_00074,https://garymarcus.substack.com/p/how-come-smart-assistants-have-virtually
cluster2_eafd8cc6a66d,long_time_article_powerful,general_ai,descriptive,technical_assessment,tier_2,2023-02-14,2023-02-14,1,1,,no,"Cicero the computer program, announced in an article in Science on November 22, is a powerful AI system that plays Diplomacy; its implications for AI are not yet clear three days later, and may not be for a long time.",claim_00079,https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_8c1d9800c957,bot_system_play_able,general_ai,descriptive,technical_assessment,tier_2,2023-02-14,2023-02-14,1,1,,no,"Although the AI is not yet at or near world champion level, the system was able to integrate language with game play, in an online version of blitz Diplomacy, ranking within the top 10% of mixed crowd of professional and amateurs, with play and language use that were natural enough that only one human player suspected it of being a bot.",claim_00080,https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_9ef31471ece2,questions_implications_system_answer,general_ai,descriptive,technical_assessment,tier_2,2023-02-14,2023-02-14,1,1,,no,"In AI, it’s always hard to answer questions about implications without first looking at a system’s architecture.",claim_00081,https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_3b62f2470e2d,laboriously_rather_spontaneously_techniques,general_ai,descriptive,technical_assessment,tier_3,2023-02-14,2023-02-14,1,1,,no,"The first is that Cicero’s overall architecture Is not something that simply emerged spontaneously from the basic data, but it is rather an exquisitely engineered structure with many moving parts, laboriously worked out by a broad team of different types of AI experts, combining techniques from game theory with probabilistic analysis.",claim_00082,https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
