cluster2_id,claim_id,claim_date,target,claim_type,category,falsifiability_tier,horizon_type,horizon_value,quote,url
cluster2_193ea7785809,claim_00031,2023-02-11,general_ai,descriptive,technical_assessment,tier_2,none,,"As Brenden Lake and Greg Murphy have put it , that’s not enough, “Current models are too strongly linked to the text-based patterns in large corpora, and too weakly linked to the desires, goals, and beliefs that people express through words.” The act of referring involves (at least) the speaker, the utterance, the context, and some properties of the external world; the interactions and dependencie s between such things simply are not present in most current AI models.",https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_0b8ab4d73e00,claim_00033,2023-02-11,general_ai,causal,prediction,tier_3,none,,"The words will be fluid, because the model has mapped the query onto sentence fragments that contain phrases like “is good because”, but there is no referent in the system to what a sock actually is, or what meditation is.",https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_d8d515498701,claim_00035,2023-02-11,general_ai,descriptive,technical_assessment,tier_1,explicit_date,2022-12-31,"June 29-30, 2022 [free registration required] 1 Considerable efforts are being made towards making “cross-modal” models like Gato that take in visual input as well strings of words; we think this is well worth investigating but unlikely in itself to suffice . 2 Arguments like Steven Piantadosi’s recent claim that the internal states of current neural networks represent semantic information that might be tantamount to meaning run up against this.",https://garymarcus.substack.com/p/three-ideas-from-linguistics-that
cluster2_0e037aa35e2b,claim_00036,2023-02-11,general_ai,predictive,capability,tier_1,none,,"The it’s-not-true-intelligence objectors find other, slightly less trivial tasks that the new bigger AI still fails horribly at, then argue that surely these are the tasks that require true intelligence and that mere clever pattern-matchers will never complete.",https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_f25fe936b9cf,claim_00038,2023-02-11,general_ai,descriptive,technical_assessment,tier_1,explicit_date,2021-12-31,"(In November 2021, about 18 months after the model’s first announcement, access was made available to all.) When I pointed out to Greg that he had never made good on his promise, and asked him (publicly) re DALL-E2, he never replied, and I still don’t have direct access.",https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_1363370099e7,claim_00041,2023-02-11,general_ai,predictive,prediction,tier_3,none,,"Maybe it will take three paragraphs in a prompt rather than one to break it, but a big Transformer alone does not a a theory of the world create.",https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails
cluster2_3e1d1406a62c,claim_00042,2023-02-11,general_ai,normative,policy,tier_3,none,,The whole point of “Full” self-driving is that the car should be able take you from point A to point B without requiring a human to pay attention at all.,https://garymarcus.substack.com/p/will-tesla-ever-solve-full-self-driving
cluster2_03fe78c12388,claim_00046,2023-02-13,general_ai,descriptive,technical_assessment,tier_3,none,,"You can also broaden the term empiricism to include every possible process, and narrow the term nativism to only include literal neural blueprints for entire brains.",https://garymarcus.substack.com/p/5-myths-about-learning-and-innateness
cluster2_5a6290cc7bfb,claim_00050,2023-02-13,general_ai,descriptive,technical_assessment,tier_2,none,,"(Humans were at 90%) § But we all know how these things go; fans of neural networks are always pointing to the next big thing, racing to shot that this or that wall has been conquered.",https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_f1a824b7d72d,claim_00051,2023-02-13,general_ai,descriptive,technical_assessment,tier_3,none,,"When Alexander is not talking about AI, he often prides himself on testing the “steelman” (strongest version) of any hypothesis possible.",https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_027cfbb77512,claim_00052,2023-02-13,general_ai,descriptive,industry_market,tier_2,none,,"Kohane recalled the “AI Winter” of the 1980s, in which funding abruptly dropped after expectations were not met, and fears we could wind up with another, similar crash if we are not realistic about what is and is not feasible.",https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_f9b8152b759e,claim_00053,2023-02-13,general_ai,causal,industry_market,tier_3,none,,"If another AI winter does comes, it not be because AI is impossible, but because AI hype exceeds reality.",https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_238e5e58bae7,claim_00054,2023-02-13,general_ai,predictive,prediction,tier_2,none,,A will to believe in AI will never replace the need for careful science.,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of
cluster2_c6347a4f134e,claim_00055,2023-02-13,general_ai,descriptive,technical_assessment,tier_2,none,,He has never contributed anything to AI.,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas
cluster2_14234e3f0b9f,claim_00056,2023-02-13,general_ai,descriptive,capability,tier_1,none,,He's done really good work in experimental psychology but he's never written a peer-reviewed paper on AI”— which is simply false.,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas
cluster2_e2b89e2a07b2,claim_00062,2023-02-13,general_ai,descriptive,capability,tier_2,none,,"The thing about such problems is, as Wikipedia nicely puts it, “Currently, AI-complete problems cannot be solved with modern computer technology alone”.",https://garymarcus.substack.com/p/sub-optimal
cluster2_cbdd5eff411c,claim_00063,2023-02-13,general_ai,descriptive,technical_assessment,tier_1,explicit_date,2012-12-31,"As van den Broeck’s team put it, their results “unveil the fundamental difference between learning to reason and learning to achieve high performance on NLP [natural language processing] benchmarks using statistical features.” The problem for the neural network community is not that I have changed my goal posts, it’s that my 2012 concerns still stand.",https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_61ac17a4cfc8,claim_00064,2023-02-13,general_ai,predictive,prediction,tier_3,none,,"(Quite of the few examples that Ernie Davis and I mentioned in Rebooting AI go back a long further, to the 1970s.) It may be boring to hear about the same challenges over and over, but it’s hard to see how we will get to trustworthy general intelligence until these problems are resolved, in ways that are robust, rather than merely statistically contingent.",https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_4739454bb728,claim_00065,2023-02-13,general_ai,descriptive,technical_assessment,tier_2,none,,"In the evaluation of computational models, I have always been careful to distinguish two questions (and would urge the fields of AI and cognitive science to do the same): Is a particular model sufficient for its engineering purpose (e.g., for reasoning about the physical world)?",https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_b8e49bdc1069,claim_00066,2023-02-13,general_ai,normative,policy,tier_3,none,,"The heart of Hoel’ss argument boils down to (my words not his) “AI has done better over time on benchmarks so we must be making progress”; in reality, progress can be and often is illusory.",https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_23e996fd8041,claim_00067,2023-02-13,general_ai,descriptive,technical_assessment,tier_3,none,,"I suspect that I have been thinking about AI for longer than Hoel appears to have been alive, quite to the contrary of his false and irrelevant accusation of dilettantism.",https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting
cluster2_5ab0d9fe8d0b,claim_00068,2023-02-13,general_ai,predictive,prediction,tier_3,none,,"My own public prediction: One day, AI will fully displace radiologists.",https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt
cluster2_95abe46aa583,claim_00069,2023-02-13,general_ai,predictive,prediction,tier_1,explicit_date,2033-12-31,Gary Marcus @GaryMarcus I hereby bet publicly that AI will not fully displace radiologists (as opposed to merely augmenting them) before the year 2033.,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt
cluster2_c1bbb272df16,claim_00072,2023-02-14,general_ai,predictive,prediction,tier_3,none,,"Type a text and galactica.ai will generate a paper with relevant references, formulas, and everything.",https://garymarcus.substack.com/p/a-few-words-about-bullshit
cluster2_bd8d3a0a9688,claim_00074,2023-02-14,general_ai,descriptive,technical_assessment,tier_3,none,,And it gets at some important realities about current AI that aren't fully appreciated.,https://garymarcus.substack.com/p/how-come-smart-assistants-have-virtually
cluster2_eafd8cc6a66d,claim_00079,2023-02-14,general_ai,descriptive,technical_assessment,tier_2,none,,"Cicero the computer program, announced in an article in Science on November 22, is a powerful AI system that plays Diplomacy; its implications for AI are not yet clear three days later, and may not be for a long time.",https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_8c1d9800c957,claim_00080,2023-02-14,general_ai,descriptive,technical_assessment,tier_2,none,,"Although the AI is not yet at or near world champion level, the system was able to integrate language with game play, in an online version of blitz Diplomacy, ranking within the top 10% of mixed crowd of professional and amateurs, with play and language use that were natural enough that only one human player suspected it of being a bot.",https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_9ef31471ece2,claim_00081,2023-02-14,general_ai,descriptive,technical_assessment,tier_2,none,,"In AI, it’s always hard to answer questions about implications without first looking at a system’s architecture.",https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_3b62f2470e2d,claim_00082,2023-02-14,general_ai,descriptive,technical_assessment,tier_3,none,,"The first is that Cicero’s overall architecture Is not something that simply emerged spontaneously from the basic data, but it is rather an exquisitely engineered structure with many moving parts, laboriously worked out by a broad team of different types of AI experts, combining techniques from game theory with probabilistic analysis.",https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_0e574251b500,claim_00083,2023-02-14,general_ai,predictive,prediction,tier_3,none,,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?",https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
cluster2_1a315df08ad3,claim_00084,2023-02-14,general_ai,descriptive,technical_assessment,tier_3,none,,"This week saw a formal proof by William Merrill, Alex Warstadt, and Tal Linzen arguing that “current neural LMs are not well suited” to extracting natural language semantics “without an infeasible amount of data” .",https://garymarcus.substack.com/p/what-game-over-for-the-latest-paradigm
cluster2_80773baf99b8,claim_00085,2023-02-15,general_ai,normative,policy,tier_3,none,,"The core of that threat comes from the combination of three facts: • these systems are inherently unreliable, frequently making errors of both reasoning and fact, and prone to hallucination ; ask them to explain why crushed porcelain is good in breast milk , and they may tell you that “porcelain can help to balance the nutritional content of the milk, providing the infant with the nutrients they need to help grow and develop”.",https://garymarcus.substack.com/p/ais-jurassic-park-moment
cluster2_d42ae65272b0,claim_00087,2023-02-15,general_ai,normative,policy,tier_3,none,,"Fourth, we are going to need to build a new kind of AI to fight what has been unleashed.",https://garymarcus.substack.com/p/ais-jurassic-park-moment
cluster2_0068b78a8af5,claim_00090,2023-02-15,general_ai,predictive,prediction,tier_2,none,,"Meanwhile, a friend with access to Neeva.com, just ran a query about my views and got back a bio that is about 90% correct, but 10% frightening, falsely attributing to me a claim that I (noted skeptic of contemporary AI) think that “90% of jobs will be provided by AI in a few years.” (Spoiler alert: I never said any such thing).",https://garymarcus.substack.com/p/is-chatgpt-really-a-code-red-for
cluster2_a0cf35746917,claim_00112,2023-02-16,general_ai,predictive,prediction,tier_2,none,,"But I am cautiously optimistic that we’ll do better in the next 75, that once the hype cools off, people will finally dive deeper into neurosymbolic AI, and start to take some important steps.",https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_d295223ce0a0,claim_00115,2023-02-16,general_ai,predictive,prediction,tier_3,none,,I don't see anything in the near future of computing that will compress what needs to get AI from where it is today to where it needs to be to form a non-squishy mind.,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_ef00ad63aa88,claim_00117,2023-02-16,general_ai,descriptive,technical_assessment,tier_3,none,,"(Aside for another day: I think that better AI, in which we could directly instill values, might actually make us safer than the world in which we inhabit now, in which so much of what happens is down to the vagaries of what happens to be in this or that training set; I don’t leave my kids moral development to chance, and it terrifies me that so much of current AI is dependent on random details of training corpora that are not available to scientists for inquiry.",https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_307fcff5fb0b,claim_00123,2023-02-16,general_ai,predictive,prediction,tier_2,none,,So I don’t think we will waste more than 5 years before a substantial fraction of AI effort is looking outside the limited streetlight that currently are sucking up so much mental energy.,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_dcd36087260e,claim_00127,2023-02-16,general_ai,predictive,prediction,tier_3,none,,"And yes, when we have an AI that can say “I don’t know how to do X but I do have the skills to figure out how to do X and so I will go that, play with it a bit, and then keep trying to do X until I get a reasonable result” that will be a momentous shift.",https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_75e9d34470c3,claim_00128,2023-02-16,general_ai,normative,policy,tier_3,none,,"To be fair, I must recognize that I have consierable bias and hubris in what I just said, because - as a systems architect - I'm looking at the future of AI from the lens of architecture, and I see progress lacking.",https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime
cluster2_7aab16dd1729,claim_00132,2023-02-16,general_ai,descriptive,technical_assessment,tier_3,none,,"If you don’t know that, you are not up on the AI literature; if you do know that, you show that you just don’t care, which is even worse.",https://garymarcus.substack.com/p/scientists-please-dont-let-your-chatbots
cluster2_fcd22bc90194,claim_00138,2023-02-18,general_ai,descriptive,technical_assessment,tier_1,none,,"Seven years of AI has taught us that deep learning is unpredictable, and not always human like. “Adversarial attacks” like these have shown remarkable weakness, time and again, repeatedly establishing that what deep learning systems do just isn’t the same as what people do: Partly for that reason, I always wondered whether AlphaGo really and deeply understood Go, or whether it was relying in part on massive data without true depth.",https://garymarcus.substack.com/p/david-beats-go-liath
cluster2_0be85e528f8d,claim_00139,2023-02-18,general_ai,descriptive,technical_assessment,tier_2,none,,"Pellrine’s victory is a profound reminder that no matter how good deep-learning-driven AI looks when it is trained on an immense amount of data, we can never be sure that systems of this sort really can extend what they know to novel circumstances.",https://garymarcus.substack.com/p/david-beats-go-liath
cluster2_3b4d6ff6f71e,claim_00145,2023-02-18,general_ai,predictive,prediction,tier_3,none,,"These will certainly be in the AI’s training material, and it may have memorized the answer.",https://garymarcus.substack.com/p/how-not-to-test-gpt-3
cluster2_54ad64945337,claim_00146,2023-02-18,general_ai,descriptive,technical_assessment,tier_2,none,,"The important issue is not whether the AI can be tricked, it’s whether the AI understands things at all.",https://garymarcus.substack.com/p/how-not-to-test-gpt-3
cluster2_25f8ea7c749c,claim_00147,2023-02-18,general_ai,normative,policy,tier_3,none,,"Together, they are the authors of Rebooting AI: Building Artificial intelligence We Can Trust , one of Forbes's 7 Must Read Books in AI .",https://garymarcus.substack.com/p/how-not-to-test-gpt-3
cluster2_25f8ea7c749c,claim_00154,2023-02-18,general_ai,normative,policy,tier_3,none,,"Collaborators for many years, they are the authors of Rebooting AI: Building Artificial intelligence We Can Trust , one of Forbes's 7 Must Read Books in AI .",https://garymarcus.substack.com/p/large-language-models-like-chatgpt
cluster2_25f8ea7c749c,claim_00650,2024-12-09,general_ai,normative,policy,tier_3,none,,"Gary Marcus and Ernest Davis are authors of Rebooting AI, one of Forbes’ Must-Read books on AI.",https://garymarcus.substack.com/p/dont-ride-this-bike-generative-ais
cluster2_021ce84274ec,claim_00152,2023-02-18,general_ai,normative,policy,tier_3,none,,"In adding an example, the model that generated it, a brief description of the error, and either a screenshot or the text of the example are required, and, for verification purposes, you must supply an email address, which is not published.",https://garymarcus.substack.com/p/large-language-models-like-chatgpt
cluster2_f47dc98a092d,claim_00159,2023-02-22,general_ai,predictive,prediction,tier_3,none,,"To my knowledge, tech companies are free to leverage a human gullibility around chatbot technologies however they like, without consequence, just as big teach companies previously leveraged to a human need for attention to the point of creating addictions to social media, even to the point of sometimes causing “ Twitter poisoning ”; with the new generation of chatbots, we will see addictions no less potent.",https://garymarcus.substack.com/p/dont-go-breaking-my-heart
cluster2_e73a0de19dfb,claim_00172,2023-03-12,general_ai,normative,policy,tier_3,none,,"Aaronson’s biggest error, now corrected, sort of, in bold, is in assuming that Chomsky has spent his life in some sort of failed effort to build AI, which kind of entirely misses the point of Chomsky’s piece (which says in so many words that we need to study the mind first before we try to make AI) and also utterly misrepresents Chomsky’s career.",https://garymarcus.substack.com/p/caricaturing-noam-chomsky
cluster2_d2f654ef991f,claim_00173,2023-03-12,general_ai,descriptive,technical_assessment,tier_2,none,,"If Aaronson had bothered to ask, I am pretty sure Chomsky would have said, roughly, “since the ways in which humans acquire language remain a mystery, all this AI engineering is missing a source of insight that is likely to be essential, so it’s premature.",https://garymarcus.substack.com/p/caricaturing-noam-chomsky
cluster2_3018ca55d793,claim_00180,2023-03-18,general_ai,descriptive,technical_assessment,tier_3,none,,"Here’s some first-class AI doublespeak, straight from the Ministry of Damage Control, mostly from just this past week: CNBC Headline Except when those wrong answers are not.",https://garymarcus.substack.com/p/this-week-in-ai-doublespeak
cluster2_c484cf26174e,claim_00182,2023-03-25,general_ai,normative,policy,tier_3,none,,"Imagine if some random crank said, I have a really great idea, and you should give me a lot of scientific credibility for it, but I am not going to tell you a thing about how it works, just going to show you the output of my model.",https://garymarcus.substack.com/p/the-sparks-of-agi-or-the-end-of-science
cluster2_e0e71bd9756a,claim_00185,2023-03-30,general_ai,normative,policy,tier_3,none,,"I am with Stability AI founder Emad Mostaque in his read on how most people actually working on this stuff see things: Emad @EMostaque Like all the top labs agree this technology could be dangerous, that stuff should be more transparent, governance better and safeguards put in place.",https://garymarcus.substack.com/p/the-open-letter-controversy
cluster2_ea73c1cf47c3,claim_00188,2023-04-02,general_ai,normative,policy,tier_3,none,,"AI research and development should be refocused on making today's powerful, state-of-the-art systems more accurate, safe, interpretable, transparent, robust, aligned, trustworthy, and loyal./ Who on earth could actually object to that?",https://garymarcus.substack.com/p/i-am-not-afraid-of-robots-i-am-afraid
cluster2_d816b64034d0,claim_00193,2023-04-04,general_ai,descriptive,technical_assessment,tier_2,none,,"Ultimately I see the societal impact of those three as likely larger than the chatbot-administered medical and psychiatric advice, but I do remain quite concerned about the implications of not always competent medical and psychiatric advice.",https://garymarcus.substack.com/p/the-first-known-chatbot-associated
cluster2_4ce0672a5316,claim_00201,2023-04-09,general_ai,causal,prediction,tier_3,none,,"If China wins the AI war it will be partly because of data, partly because of choices about how to allocate resources, and partly because they ultimately do a better job educating their citizens and become the first to invent something new, and not because they scale up the exciting but rickety contraption that’s currently obsessing the West.",https://garymarcus.substack.com/p/gpt-5-and-irrational-exuberance
cluster2_4f95bed562f8,claim_00202,2023-04-17,general_ai,descriptive,technical_assessment,tier_3,none,,"When we do so, we amplify the hype around AI, and lead people into thinking that these machines are trustworthy oracles capable of manipulation or decision-making, which they are not.",https://garymarcus.substack.com/p/stop-treating-ai-models-like-people
cluster2_22ebdd934a83,claim_00203,2023-04-17,general_ai,predictive,prediction,tier_3,none,,Educating people to overcome the overattribution bias will be a vital step; we can’t have senators and members of the AI community making the problem worse.,https://garymarcus.substack.com/p/stop-treating-ai-models-like-people
cluster2_916998f28766,claim_00213,2023-05-01,general_ai,descriptive,technical_assessment,tier_3,none,,He thinks neural networks “understand” the world; I think they do not.,https://garymarcus.substack.com/p/scientists-governments-and-corporations
cluster2_25731d5aa2be,claim_00215,2023-05-01,general_ai,normative,policy,tier_3,none,,"In endorsing the “pause letter” (despite expressing some concerns about the details), I was saying we need to slow down, and to focus on the kind of research that the pause letter emphasized, viz work on making sure that AI systems would be trustworthy and reliable.",https://garymarcus.substack.com/p/scientists-governments-and-corporations
cluster2_d537d20433d4,claim_00216,2023-06-08,general_ai,predictive,prediction,tier_3,none,,"In a talk I gave earlier today to the IMF, I painted two scenarios, one positive, one negative: § We still have agency here; we can still, I think, build a very positive AI future.",https://garymarcus.substack.com/p/two-models-of-ai-oversight-and-how
cluster2_2f707596f0b9,claim_00219,2023-07-08,general_ai,normative,policy,tier_3,none,,"Throughout the time in which I have been advocating for international AI governance, I have emphasized the need to have scientists and civil society more generally at the table.",https://garymarcus.substack.com/p/jumpstarting-ai-governance
cluster2_99732fe669f0,claim_00220,2023-08-13,general_ai,descriptive,technical_assessment,tier_2,none,,"Fast-scaling technologies don’t invariably fulfill their promise With the possible exception of the quick to rise and quick to fall alleged room-temperature superconductor LK-99, few things I have ever seen have been more hyped than generative AI.",https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
cluster2_c20facedccec,claim_00221,2023-08-13,general_ai,predictive,capability,tier_2,none,,"I think coders will remain happy with generative AI assistance; its autocomplete nature is fabulous for their line of work, and they have the training to detect and fix the not-infrequent errors.",https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
cluster2_d46fd27d1a53,claim_00222,2023-08-13,general_ai,predictive,prediction,tier_2,none,,"And undergrads will continue to use generative AI, but their pockets aren’t deep (most likely they will turn to open source competitors).",https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
cluster2_26c69fbd193d,claim_00229,2023-08-13,general_ai,descriptive,technical_assessment,tier_2,none,,"I’ve been griping about hallucination errors for 22 years; people keep promising the solution is nigh, and it never happens.",https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
cluster2_a02be11c1391,claim_00231,2023-08-14,general_ai,causal,prediction,tier_3,none,,But of course just because something is powered by AI doesn’t mean it will make truckloads of money .,https://garymarcus.substack.com/p/what-exactly-are-the-economics-of
cluster2_5e67fd51326a,claim_00238,2023-08-20,general_ai,descriptive,technical_assessment,tier_2,none,,The dirty little secret that pretty much everyone in the AI community knows is that doing well on a benchmark is not actually tantamount to being intelligent.,https://garymarcus.substack.com/p/no-virginia-agi-is-not-imminent
cluster2_d5130316e32a,claim_00241,2023-08-20,general_ai,descriptive,technical_assessment,tier_3,none,,"If I ask a chatbot to write a biography, I expect it to summarize knowledge, not to make stuff up.",https://garymarcus.substack.com/p/no-virginia-agi-is-not-imminent
cluster2_510dee98ff76,claim_00244,2023-08-24,general_ai,predictive,prediction,tier_2,none,,"Quoting further, “Nearly 70% of respondents to the S&P Global survey said they have at least one AI project in production... but about half of those companies (31% of respondents) are still in pilot or proof-of-concept stage, outnumbering those who have reached enterprise scale with an AI project (28% of total respondents).” And of course not every enterprise-scale experiment will be successful.",https://garymarcus.substack.com/p/the-rise-and-fall-of-chatgpt
cluster2_c4e831611bc2,claim_00246,2023-08-27,general_ai,descriptive,technical_assessment,tier_2,none,,Can any of us truly say that’s simply not possible? § Yet a really large fraction of the AI and AI-adjacent community doesn’t really want to talk about any of this at all.,https://garymarcus.substack.com/p/d28
cluster2_6be7ba4f3123,claim_00248,2023-08-27,general_ai,normative,policy,tier_3,none,,"Yann LeCun wrote a long screed along these lines (which Steve Pinker later endorsed), saying we don’t need to worry about AI achieving dominance.",https://garymarcus.substack.com/p/d28
cluster2_eb8021a81ece,claim_00249,2023-08-27,general_ai,descriptive,technical_assessment,tier_3,none,,"The question is not whether we want to design AI to be like a supersmart-but-non-dominating staff member (obviously we are trying), but whether we can .",https://garymarcus.substack.com/p/d28
cluster2_ce8f857090c3,claim_00255,2023-08-27,general_ai,normative,policy,tier_3,none,,"Within the field, there is a lot of conflict around how to think about p(doom | superintelligence) [“the probability of doom given the existence of superintelligence”, which is a special form of AI], but no matter what you feel about that p(doom | superintelligence), whether you see it as sci-fi or not, you should be worried about p(catastrophe | widespread AI adoption) [the probability of catastrophe given widespread AI adoption].",https://garymarcus.substack.com/p/d28
cluster2_fc4255d52490,claim_00256,2023-08-27,general_ai,normative,policy,tier_3,none,,And you should care about p(catastrophe | widespread AI adoption) whatever you think about p(doom).,https://garymarcus.substack.com/p/d28
cluster2_b48b6a82697d,claim_00257,2023-08-27,general_ai,descriptive,capability,tier_2,none,,"Like if we put more effort into figuring out what's going on inside AI systems, that would actually change the ‘how likely is it that we can't make AI systems do the things we want?’ parameter."" Words to live by.",https://garymarcus.substack.com/p/d28
cluster2_b92f970c5190,claim_00260,2023-08-28,general_ai,descriptive,capability,tier_2,none,,"The fact that the US is apparently using these tools, or the fact that they aren’t likely to be reliable, almost certainly regularly reporting false alarms, and likely full of insidious bias, like so many previous AI systems have shown themselves to be?",https://garymarcus.substack.com/p/the-us-and-china-want-different-things
cluster2_6c0d38b3d2c2,claim_00261,2023-09-01,general_ai,descriptive,technical_assessment,tier_2,none,,"Cyc (and the parent company, Cycorp, that Lenat formed to incubate it) never exploded commercially – but hardly anybody ever gives it credit for the fact that it is still in business 40 years later; very very few AI companies have survived that long. 1 My own view is that Cyc has been neither a success nor a failure, but somewhere in between: I see it as a ground-breaking, clarion experiment that never fully gelled.",https://garymarcus.substack.com/p/doug-lenat-1950-2023
cluster2_ee56a23b8283,claim_00262,2023-09-01,general_ai,descriptive,technical_assessment,tier_2,none,,Most young AI researchers have never even heard about it.,https://garymarcus.substack.com/p/doug-lenat-1950-2023
cluster2_8c822a078c74,claim_00263,2023-09-01,general_ai,predictive,prediction,tier_3,none,,Gary Marcus has focused his career on integrating neural networks and symbolic approaches; he still hopes that will happen.,https://garymarcus.substack.com/p/doug-lenat-1950-2023
